CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,WAS,Chris Cooley,CoolCh00,2004-09-12,2004,1,REG,1,0,0,0,2,1,16,0,0,0
2,WAS,Chris Cooley,CoolCh00,2004-09-19,2004,2,REG,1,0,0,0,4,3,14,1,0,0
3,WAS,Chris Cooley,CoolCh00,2004-09-27,2004,3,REG,0,0,0,0,3,2,22,0,0,0
4,WAS,Chris Cooley,CoolCh00,2004-10-03,2004,4,REG,1,0,0,0,4,0,0,0,0,0
5,WAS,Chris Cooley,CoolCh00,2004-10-10,2004,5,REG,0,0,0,0,4,2,12,1,0,0
6,WAS,Chris Cooley,CoolCh00,2004-10-17,2004,6,REG,1,0,0,0,1,0,0,0,0,0
0,WAS,Chris Cooley,CoolCh00,,2004,7,BYE,0,0,0,0,0,0,0,0,0,0
7,WAS,Chris Cooley,CoolCh00,2004-10-31,2004,8,REG,0,0,0,0,3,2,23,0,0,0
8,WAS,Chris Cooley,CoolCh00,2004-11-07,2004,9,REG,1,0,0,0,1,0,0,0,0,0
9,WAS,Chris Cooley,CoolCh00,2004-11-14,2004,10,REG,0,0,0,0,3,1,9,1,0,0
10,WAS,Chris Cooley,CoolCh00,2004-11-21,2004,11,REG,1,0,0,0,3,2,22,0,0,0
11,WAS,Chris Cooley,CoolCh00,2004-11-28,2004,12,REG,1,0,0,0,10,7,31,1,0,0
12,WAS,Chris Cooley,CoolCh00,2004-12-05,2004,13,REG,1,0,0,0,3,3,21,1,0,0
13,WAS,Chris Cooley,CoolCh00,2004-12-12,2004,14,REG,0,0,0,0,9,5,75,0,0,0
14,WAS,Chris Cooley,CoolCh00,2004-12-18,2004,15,REG,0,0,0,0,3,3,21,0,0,0
15,WAS,Chris Cooley,CoolCh00,2004-12-26,2004,16,REG,1,0,0,0,5,3,24,0,0,0
16,WAS,Chris Cooley,CoolCh00,2005-01-02,2004,17,REG,0,0,0,0,5,3,24,1,0,0
17,WAS,Chris Cooley,CoolCh00,2005-09-11,2005,1,REG,1,0,0,0,6,3,34,0,0,0
18,WAS,Chris Cooley,CoolCh00,2005-09-19,2005,2,REG,1,0,0,0,3,2,20,0,0,0
0,WAS,Chris Cooley,CoolCh00,,2005,3,BYE,0,0,0,0,0,0,0,0,0,0
19,WAS,Chris Cooley,CoolCh00,2005-10-02,2005,4,REG,1,0,0,0,6,4,61,0,0,0
20,WAS,Chris Cooley,CoolCh00,2005-10-09,2005,5,REG,1,0,0,0,12,8,82,1,0,0
21,WAS,Chris Cooley,CoolCh00,2005-10-16,2005,6,REG,1,0,0,0,8,6,54,1,0,0
22,WAS,Chris Cooley,CoolCh00,2005-10-23,2005,7,REG,1,0,0,0,4,2,48,0,0,0
23,WAS,Chris Cooley,CoolCh00,2005-10-30,2005,8,REG,1,0,0,0,4,3,19,0,0,0
24,WAS,Chris Cooley,CoolCh00,2005-11-06,2005,9,REG,1,0,0,0,8,7,85,0,0,0
25,WAS,Chris Cooley,CoolCh00,2005-11-13,2005,10,REG,1,0,0,0,6,6,66,0,0,0
26,WAS,Chris Cooley,CoolCh00,2005-11-20,2005,11,REG,1,0,0,0,8,5,74,0,0,0
27,WAS,Chris Cooley,CoolCh00,2005-11-27,2005,12,REG,1,0,0,0,5,3,28,0,0,0
28,WAS,Chris Cooley,CoolCh00,2005-12-04,2005,13,REG,1,0,0,0,5,5,58,1,0,0
29,WAS,Chris Cooley,CoolCh00,2005-12-11,2005,14,REG,1,0,0,0,7,4,25,0,0,0
30,WAS,Chris Cooley,CoolCh00,2005-12-18,2005,15,REG,1,0,0,0,7,6,71,3,0,0
31,WAS,Chris Cooley,CoolCh00,2005-12-24,2005,16,REG,1,0,0,0,7,5,41,1,0,0
32,WAS,Chris Cooley,CoolCh00,2006-01-01,2005,17,REG,1,0,0,0,7,2,8,0,0,0
33,WAS,Chris Cooley,CoolCh00,2006-01-07,2005,18,POST,1,0,0,0,2,2,12,0,0,0
34,WAS,Chris Cooley,CoolCh00,2006-01-14,2005,19,POST,1,0,0,0,7,4,85,0,0,0
35,WAS,Chris Cooley,CoolCh00,2006-09-11,2006,1,REG,1,0,0,0,7,2,-3,0,0,0
36,WAS,Chris Cooley,CoolCh00,2006-09-17,2006,2,REG,1,0,0,0,6,1,23,0,0,0
37,WAS,Chris Cooley,CoolCh00,2006-09-24,2006,3,REG,1,0,0,0,4,4,18,0,0,0
38,WAS,Chris Cooley,CoolCh00,2006-10-01,2006,4,REG,1,0,0,0,5,4,70,0,0,0
39,WAS,Chris Cooley,CoolCh00,2006-10-08,2006,5,REG,1,0,0,0,8,4,41,0,0,0
40,WAS,Chris Cooley,CoolCh00,2006-10-15,2006,6,REG,1,0,0,0,4,2,27,1,0,0
41,WAS,Chris Cooley,CoolCh00,2006-10-22,2006,7,REG,1,0,0,0,4,4,42,1,0,0
0,WAS,Chris Cooley,CoolCh00,,2006,8,BYE,0,0,0,0,0,0,0,0,0,0
42,WAS,Chris Cooley,CoolCh00,2006-11-05,2006,9,REG,1,0,0,0,5,3,66,1,0,0
43,WAS,Chris Cooley,CoolCh00,2006-11-12,2006,10,REG,1,0,0,0,5,3,39,0,0,0
44,WAS,Chris Cooley,CoolCh00,2006-11-19,2006,11,REG,1,0,0,0,6,5,58,1,0,0
45,WAS,Chris Cooley,CoolCh00,2006-11-26,2006,12,REG,1,0,0,0,7,3,89,1,0,0
46,WAS,Chris Cooley,CoolCh00,2006-12-03,2006,13,REG,1,0,0,0,6,2,12,0,0,0
47,WAS,Chris Cooley,CoolCh00,2006-12-10,2006,14,REG,1,0,0,0,7,4,46,0,0,0
48,WAS,Chris Cooley,CoolCh00,2006-12-17,2006,15,REG,1,0,0,0,6,4,80,0,0,0
49,WAS,Chris Cooley,CoolCh00,2006-12-24,2006,16,REG,1,0,0,0,10,7,77,1,0,0
50,WAS,Chris Cooley,CoolCh00,2006-12-30,2006,17,REG,1,0,0,0,5,5,49,0,0,0
51,WAS,Chris Cooley,CoolCh00,2007-09-09,2007,1,REG,1,0,0,0,3,1,10,0,0,0
52,WAS,Chris Cooley,CoolCh00,2007-09-17,2007,2,REG,1,0,0,0,5,2,25,1,0,0
53,WAS,Chris Cooley,CoolCh00,2007-09-23,2007,3,REG,1,0,0,0,5,3,19,1,0,0
0,WAS,Chris Cooley,CoolCh00,,2007,4,BYE,0,0,0,0,0,0,0,0,0,0
54,WAS,Chris Cooley,CoolCh00,2007-10-07,2007,5,REG,1,0,0,0,7,4,26,1,0,0
