CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PIT,Chris Rainey,RainCh00,2012-09-09,2012,1,REG,0,2,5,0,1,1,-1,0,10,8
2,PIT,Chris Rainey,RainCh00,2012-09-16,2012,2,REG,0,2,3,0,2,1,5,0,9,5
3,PIT,Chris Rainey,RainCh00,2012-09-23,2012,3,REG,0,2,7,0,2,2,23,0,9,13
0,PIT,Chris Rainey,RainCh00,,2012,4,BYE,0,0,0,0,0,0,0,0,0,0
4,PIT,Chris Rainey,RainCh00,2012-10-07,2012,5,REG,0,1,0,0,1,1,6,0,12,6
5,PIT,Chris Rainey,RainCh00,2012-10-11,2012,6,REG,0,0,0,0,1,1,12,0,4,16
6,PIT,Chris Rainey,RainCh00,2012-10-21,2012,7,REG,0,4,17,1,1,1,8,0,19,8
7,PIT,Chris Rainey,RainCh00,2012-10-28,2012,8,REG,0,4,26,0,2,1,-5,0,11,12
8,PIT,Chris Rainey,RainCh00,2012-11-04,2012,9,REG,0,1,4,0,3,2,-3,0,11,8
9,PIT,Chris Rainey,RainCh00,2012-11-12,2012,10,REG,0,0,0,0,0,0,0,0,2,4
10,PIT,Chris Rainey,RainCh00,2012-11-18,2012,11,REG,0,0,0,0,1,0,0,0,2,4
11,PIT,Chris Rainey,RainCh00,2012-11-25,2012,12,REG,0,5,17,1,4,4,15,0,18,5
12,PIT,Chris Rainey,RainCh00,2012-12-02,2012,13,REG,0,0,0,0,0,0,0,0,2,14
13,PIT,Chris Rainey,RainCh00,2012-12-09,2012,14,REG,0,1,6,0,0,0,0,0,21,12
14,PIT,Chris Rainey,RainCh00,2012-12-16,2012,15,REG,0,3,15,0,2,0,0,0,14,15
15,PIT,Chris Rainey,RainCh00,2012-12-23,2012,16,REG,0,0,0,0,2,0,0,0,3,11
16,PIT,Chris Rainey,RainCh00,2012-12-30,2012,17,REG,0,1,2,0,0,0,0,0,3,14
0,IND,Chris Rainey,RainCh00,2013-09-08,2013,1,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-09-15,2013,2,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-09-22,2013,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-09-29,2013,4,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-10-06,2013,5,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-10-14,2013,6,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-10-20,2013,7,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,,2013,8,BYE,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-11-03,2013,9,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-11-10,2013,10,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-11-14,2013,11,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-11-24,2013,12,DNP,0,0,0,0,0,0,0,0,0,0
17,IND,Chris Rainey,RainCh00,2013-12-01,2013,13,REG,0,0,0,0,0,0,0,0,2,11
18,IND,Chris Rainey,RainCh00,2013-12-08,2013,14,REG,0,0,0,0,1,0,0,0,3,13
0,IND,Chris Rainey,RainCh00,2013-12-15,2013,15,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-12-22,2013,16,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Chris Rainey,RainCh00,2013-12-29,2013,17,DNP,0,0,0,0,0,0,0,0,0,0
