CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,SEA,Christine Michael,MichCh00,2013-09-08,2013,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-09-15,2013,2,DNP,0,0,0,0,0,0,0,0,0,0
1,SEA,Christine Michael,MichCh00,2013-09-22,2013,3,REG,0,9,37,0,0,0,0,0,15,6
0,SEA,Christine Michael,MichCh00,2013-09-29,2013,4,DNP,0,0,0,0,0,0,0,0,0,0
2,SEA,Christine Michael,MichCh00,2013-10-06,2013,5,REG,0,0,0,0,0,0,0,0,0,2
0,SEA,Christine Michael,MichCh00,2013-10-13,2013,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-10-17,2013,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-10-28,2013,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-11-03,2013,9,DNP,0,0,0,0,0,0,0,0,0,0
3,SEA,Christine Michael,MichCh00,2013-11-10,2013,10,REG,0,8,33,0,0,0,0,0,9,0
4,SEA,Christine Michael,MichCh00,2013-11-17,2013,11,REG,0,1,9,0,0,0,0,0,2,0
0,SEA,Christine Michael,MichCh00,1970-01-01,2013,12,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-12-02,2013,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-12-08,2013,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-12-15,2013,15,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-12-22,2013,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2013-12-29,2013,17,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2014-09-04,2014,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2014-09-14,2014,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2014-09-21,2014,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,1970-01-01,2014,4,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2014-10-06,2014,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Christine Michael,MichCh00,2014-10-12,2014,6,DNP,0,0,0,0,0,0,0,0,0,0
5,SEA,Christine Michael,MichCh00,2014-10-19,2014,7,REG,0,2,5,0,0,0,0,0,7,0
6,SEA,Christine Michael,MichCh00,2014-10-26,2014,8,REG,0,4,12,0,0,0,0,0,9,0
7,SEA,Christine Michael,MichCh00,2014-11-02,2014,9,REG,0,4,16,0,0,0,0,0,7,0
8,SEA,Christine Michael,MichCh00,2014-11-09,2014,10,REG,0,4,71,0,0,0,0,0,8,0
9,SEA,Christine Michael,MichCh00,2014-11-16,2014,11,REG,0,1,-2,0,0,0,0,0,2,0
0,SEA,Christine Michael,MichCh00,2014-11-23,2014,12,DNP,0,0,0,0,0,0,0,0,0,0
10,SEA,Christine Michael,MichCh00,2014-11-27,2014,13,REG,0,3,10,0,1,1,12,0,7,0
11,SEA,Christine Michael,MichCh00,2014-12-07,2014,14,REG,0,6,32,0,0,0,0,0,9,0
12,SEA,Christine Michael,MichCh00,2014-12-14,2014,15,REG,0,1,1,0,1,0,0,0,5,0
13,SEA,Christine Michael,MichCh00,2014-12-21,2014,16,REG,0,8,28,0,0,0,0,0,17,0
14,SEA,Christine Michael,MichCh00,2014-12-28,2014,17,REG,0,1,2,0,0,0,0,0,2,0
0,DAL,Christine Michael,MichCh00,2015-09-13,2015,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Christine Michael,MichCh00,2015-09-20,2015,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Christine Michael,MichCh00,2015-09-27,2015,3,DNP,0,0,0,0,0,0,0,0,0,0
15,DAL,Christine Michael,MichCh00,2015-10-04,2015,4,REG,0,1,-1,0,0,0,0,0,1,0
16,DAL,Christine Michael,MichCh00,2015-10-11,2015,5,REG,0,1,6,0,0,0,0,0,1,0
0,DAL,Christine Michael,MichCh00,1970-01-01,2015,6,BYE,0,0,0,0,0,0,0,0,0,0
17,DAL,Christine Michael,MichCh00,2015-10-25,2015,7,REG,0,5,18,0,1,1,2,0,7,0
18,DAL,Christine Michael,MichCh00,2015-11-01,2015,8,REG,0,5,20,0,2,0,0,0,11,0
0,DAL,Christine Michael,MichCh00,2015-11-08,2015,9,DNP,0,0,0,0,0,0,0,0,0,0
19,DAL,Christine Michael,MichCh00,2015-11-15,2015,10,REG,0,3,8,0,0,0,0,0,6,0
0,DAL,Christine Michael,MichCh00,2015-11-22,2015,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Christine Michael,MichCh00,2015-11-26,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Christine Michael,MichCh00,2015-12-07,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Christine Michael,MichCh00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
20,SEA,Christine Michael,MichCh00,2015-12-20,2015,15,REG,0,16,84,0,0,0,0,0,24,0
21,SEA,Christine Michael,MichCh00,2015-12-27,2015,16,REG,1,6,6,0,2,2,14,0,22,0
22,SEA,Christine Michael,MichCh00,2016-01-03,2015,17,REG,1,17,102,0,1,0,0,0,29,0
23,SEA,Christine Michael,MichCh00,2016-01-10,2015,18,POST,1,21,70,0,1,1,14,0,39,0
24,SEA,Christine Michael,MichCh00,2016-01-17,2015,19,POST,0,0,0,0,1,0,0,0,4,0
25,SEA,Christine Michael,MichCh00,2016-09-11,2016,1,REG,1,15,66,0,4,2,5,0,52,0
26,SEA,Christine Michael,MichCh00,2016-09-18,2016,2,REG,0,10,60,0,4,3,26,0,48,0
27,SEA,Christine Michael,MichCh00,2016-09-25,2016,3,REG,1,20,106,2,3,2,5,0,45,0
28,SEA,Christine Michael,MichCh00,2016-10-02,2016,4,REG,1,18,58,0,6,5,32,1,44,0
0,SEA,Christine Michael,MichCh00,1970-01-01,2016,5,BYE,0,0,0,0,0,0,0,0,0,0
29,SEA,Christine Michael,MichCh00,2016-10-16,2016,6,REG,1,18,64,2,3,3,19,0,48,0
30,SEA,Christine Michael,MichCh00,2016-10-23,2016,7,REG,1,16,52,0,3,3,3,0,46,0
31,SEA,Christine Michael,MichCh00,2016-10-30,2016,8,REG,1,10,40,1,2,1,2,0,28,0
32,SEA,Christine Michael,MichCh00,2016-11-07,2016,9,REG,1,5,1,1,0,0,0,0,18,0
33,SEA,Christine Michael,MichCh00,2016-11-13,2016,10,REG,0,5,22,0,1,1,4,0,11,0
0,SEA,Christine Michael,MichCh00,2016-11-20,2016,11,DNP,0,0,0,0,0,0,0,0,0,0
34,GNB,Christine Michael,MichCh00,2016-11-28,2016,12,REG,0,1,4,0,0,0,0,0,2,0
35,GNB,Christine Michael,MichCh00,2016-12-04,2016,13,REG,0,9,19,0,0,0,0,0,11,0
36,GNB,Christine Michael,MichCh00,2016-12-11,2016,14,REG,0,10,36,0,0,0,0,0,17,0
37,GNB,Christine Michael,MichCh00,2016-12-18,2016,15,REG,0,4,45,1,0,0,0,0,5,0
38,GNB,Christine Michael,MichCh00,2016-12-24,2016,16,REG,0,4,4,0,1,1,1,0,14,4
39,GNB,Christine Michael,MichCh00,2017-01-01,2016,17,REG,0,3,6,0,2,1,10,0,9,6
40,GNB,Christine Michael,MichCh00,2017-01-08,2016,18,POST,0,10,47,0,0,0,0,0,14,12
41,GNB,Christine Michael,MichCh00,2017-01-15,2016,19,POST,0,0,0,0,0,0,0,0,4,9
42,GNB,Christine Michael,MichCh00,2017-01-22,2016,20,POST,0,6,11,0,2,1,3,0,15,7
0,IND,Christine Michael,MichCh00,2017-09-10,2017,1,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-09-17,2017,2,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-09-24,2017,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-10-01,2017,4,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-10-08,2017,5,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-10-16,2017,6,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-10-22,2017,7,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-10-29,2017,8,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-11-05,2017,9,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-11-12,2017,10,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-11-26,2017,12,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-12-03,2017,13,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-12-10,2017,14,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-12-14,2017,15,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-12-23,2017,16,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2017-12-31,2017,17,DNP,0,0,0,0,0,0,0,0,0,0
43,IND,Christine Michael,MichCh00,2018-09-09,2018,1,REG,0,2,9,0,0,0,0,0,3,0
0,IND,Christine Michael,MichCh00,2018-09-16,2018,2,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-09-23,2018,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-09-30,2018,4,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-10-04,2018,5,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-10-14,2018,6,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-10-21,2018,7,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-10-28,2018,8,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,1970-01-01,2018,9,BYE,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-11-11,2018,10,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-11-18,2018,11,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-11-25,2018,12,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-12-02,2018,13,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-12-09,2018,14,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-12-16,2018,15,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-12-23,2018,16,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Christine Michael,MichCh00,2018-12-30,2018,17,DNP,0,0,0,0,0,0,0,0,0,0
