CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,ARI,Chuck Levy,LevyCh00,1994-09-04,1994,1,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1994-09-11,1994,2,DNP,0,0,0,0,0,0,0,0,0,0
1,ARI,Chuck Levy,LevyCh00,1994-09-18,1994,3,REG,0,0,0,0,5,4,35,0,0,0
0,ARI,Chuck Levy,LevyCh00,1970-01-01,1994,4,BYE,0,0,0,0,0,0,0,0,0,0
2,ARI,Chuck Levy,LevyCh00,1994-10-02,1994,5,REG,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1994-10-09,1994,6,DNP,0,0,0,0,0,0,0,0,0,0
3,ARI,Chuck Levy,LevyCh00,1994-10-16,1994,7,REG,0,1,-2,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1994-10-23,1994,8,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1994-10-30,1994,9,DNP,0,0,0,0,0,0,0,0,0,0
4,ARI,Chuck Levy,LevyCh00,1994-11-06,1994,10,REG,0,2,17,0,1,0,0,0,0,0
5,ARI,Chuck Levy,LevyCh00,1994-11-13,1994,11,REG,0,0,0,0,0,0,0,0,0,0
6,ARI,Chuck Levy,LevyCh00,1994-11-20,1994,12,REG,0,0,0,0,0,0,0,0,0,0
7,ARI,Chuck Levy,LevyCh00,1994-11-27,1994,13,REG,0,0,0,0,0,0,0,0,0,0
8,ARI,Chuck Levy,LevyCh00,1994-12-04,1994,14,REG,0,0,0,0,0,0,0,0,0,0
9,ARI,Chuck Levy,LevyCh00,1994-12-11,1994,15,REG,0,0,0,0,0,0,0,0,0,0
10,ARI,Chuck Levy,LevyCh00,1994-12-18,1994,16,REG,0,0,0,0,0,0,0,0,0,0
11,ARI,Chuck Levy,LevyCh00,1994-12-24,1994,17,REG,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-09-03,1995,1,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-09-10,1995,2,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-09-17,1995,3,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-09-24,1995,4,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-10-01,1995,5,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-10-08,1995,6,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-10-15,1995,7,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-10-29,1995,9,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-11-05,1995,10,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-11-12,1995,11,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-11-19,1995,12,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-11-26,1995,13,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-11-30,1995,14,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-12-09,1995,15,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-12-17,1995,16,SUSP,0,0,0,0,0,0,0,0,0,0
0,ARI,Chuck Levy,LevyCh00,1995-12-25,1995,17,SUSP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-09-01,1996,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-09-08,1996,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-09-22,1996,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-09-29,1996,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-10-06,1996,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-10-14,1996,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-10-20,1996,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-10-27,1996,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-11-03,1996,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-11-10,1996,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-11-17,1996,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-11-24,1996,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-12-02,1996,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-12-08,1996,15,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Chuck Levy,LevyCh00,1996-12-15,1996,16,DNP,0,0,0,0,0,0,0,0,0,0
