CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,HOU,Cierre Wood,WoodCi00,2013-09-09,2013,1,REG,0,0,0,0,0,0,0,0,0,2
0,HOU,Cierre Wood,WoodCi00,2013-09-15,2013,2,DNP,0,0,0,0,0,0,0,0,0,0
2,HOU,Cierre Wood,WoodCi00,2013-09-22,2013,3,REG,0,2,4,0,0,0,0,0,2,3
0,HOU,Cierre Wood,WoodCi00,2013-09-29,2013,4,DNP,0,0,0,0,0,0,0,0,0,0
3,HOU,Cierre Wood,WoodCi00,2013-10-06,2013,5,REG,0,1,5,0,0,0,0,0,1,3
0,HOU,Cierre Wood,WoodCi00,2013-10-13,2013,6,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-10-20,2013,7,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,,2013,8,BYE,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-11-03,2013,9,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-11-10,2013,10,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-11-17,2013,11,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-11-24,2013,12,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-12-01,2013,13,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-12-05,2013,14,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-12-15,2013,15,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-12-22,2013,16,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Cierre Wood,WoodCi00,2013-12-29,2013,17,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-09-13,2015,1,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-09-20,2015,2,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-09-27,2015,3,DNP,0,0,0,0,0,0,0,0,0,0
4,BUF,Cierre Wood,WoodCi00,2015-10-04,2015,4,REG,0,0,0,0,1,1,-6,0,8,0
5,BUF,Cierre Wood,WoodCi00,2015-10-11,2015,5,REG,0,2,3,0,0,0,0,0,2,0
0,BUF,Cierre Wood,WoodCi00,2015-10-18,2015,6,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-10-25,2015,7,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,,2015,8,BYE,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-11-08,2015,9,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-11-12,2015,10,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-11-23,2015,11,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-11-29,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-12-06,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-12-20,2015,15,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2015-12-27,2015,16,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Cierre Wood,WoodCi00,2016-01-03,2015,17,DNP,0,0,0,0,0,0,0,0,0,0
