CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,KAN,Cyrus Gray,GrayCy00,2012-09-09,2012,1,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2012-09-16,2012,2,DNP,0,0,0,0,0,0,0,0,0,0
1,KAN,Cyrus Gray,GrayCy00,2012-09-23,2012,3,REG,0,0,0,0,0,0,0,0,0,20
2,KAN,Cyrus Gray,GrayCy00,2012-09-30,2012,4,REG,0,1,15,0,1,0,0,0,10,15
3,KAN,Cyrus Gray,GrayCy00,2012-10-07,2012,5,REG,0,4,20,0,1,1,12,0,8,8
4,KAN,Cyrus Gray,GrayCy00,2012-10-14,2012,6,REG,0,0,0,0,0,0,0,0,0,6
0,KAN,Cyrus Gray,GrayCy00,1970-01-01,2012,7,BYE,0,0,0,0,0,0,0,0,0,0
5,KAN,Cyrus Gray,GrayCy00,2012-10-28,2012,8,REG,0,0,0,0,0,0,0,0,0,14
6,KAN,Cyrus Gray,GrayCy00,2012-11-01,2012,9,REG,0,0,0,0,0,0,0,0,0,4
0,KAN,Cyrus Gray,GrayCy00,2012-11-12,2012,10,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2012-11-18,2012,11,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2012-11-25,2012,12,DNP,0,0,0,0,0,0,0,0,0,0
7,KAN,Cyrus Gray,GrayCy00,2012-12-02,2012,13,REG,0,0,0,0,1,1,6,0,4,7
8,KAN,Cyrus Gray,GrayCy00,2012-12-09,2012,14,REG,0,0,0,0,0,0,0,0,0,2
0,KAN,Cyrus Gray,GrayCy00,2012-12-16,2012,15,DNP,0,0,0,0,0,0,0,0,0,0
9,KAN,Cyrus Gray,GrayCy00,2012-12-23,2012,16,REG,0,0,0,0,0,0,0,0,0,9
10,KAN,Cyrus Gray,GrayCy00,2012-12-30,2012,17,REG,0,2,9,0,0,0,0,0,8,5
11,KAN,Cyrus Gray,GrayCy00,2013-09-08,2013,1,REG,0,2,8,0,1,1,6,0,10,28
12,KAN,Cyrus Gray,GrayCy00,2013-09-15,2013,2,REG,0,0,0,0,1,0,0,0,1,20
13,KAN,Cyrus Gray,GrayCy00,2013-09-19,2013,3,REG,0,0,0,0,0,0,0,0,2,19
14,KAN,Cyrus Gray,GrayCy00,2013-09-29,2013,4,REG,0,0,0,0,0,0,0,0,1,21
15,KAN,Cyrus Gray,GrayCy00,2013-10-06,2013,5,REG,0,0,0,0,0,0,0,0,2,22
16,KAN,Cyrus Gray,GrayCy00,2013-10-13,2013,6,REG,0,0,0,0,0,0,0,0,0,23
17,KAN,Cyrus Gray,GrayCy00,2013-10-20,2013,7,REG,0,1,3,0,0,0,0,0,1,18
18,KAN,Cyrus Gray,GrayCy00,2013-10-27,2013,8,REG,0,0,0,0,0,0,0,0,0,21
19,KAN,Cyrus Gray,GrayCy00,2013-11-03,2013,9,REG,0,0,0,0,0,0,0,0,0,19
0,KAN,Cyrus Gray,GrayCy00,1970-01-01,2013,10,BYE,0,0,0,0,0,0,0,0,0,0
20,KAN,Cyrus Gray,GrayCy00,2013-11-17,2013,11,REG,0,0,0,0,0,0,0,0,1,24
21,KAN,Cyrus Gray,GrayCy00,2013-11-24,2013,12,REG,0,0,0,0,0,0,0,0,0,24
22,KAN,Cyrus Gray,GrayCy00,2013-12-01,2013,13,REG,0,0,0,0,1,1,8,0,1,19
23,KAN,Cyrus Gray,GrayCy00,2013-12-08,2013,14,REG,0,3,8,0,1,0,0,0,10,20
24,KAN,Cyrus Gray,GrayCy00,2013-12-15,2013,15,REG,0,1,3,0,1,1,18,0,5,21
25,KAN,Cyrus Gray,GrayCy00,2013-12-22,2013,16,REG,0,0,0,0,1,1,7,0,4,17
26,KAN,Cyrus Gray,GrayCy00,2013-12-29,2013,17,REG,0,2,2,0,4,3,7,0,21,23
27,KAN,Cyrus Gray,GrayCy00,2014-01-04,2013,18,POST,0,2,5,0,1,0,0,0,20,19
28,KAN,Cyrus Gray,GrayCy00,2014-09-07,2014,1,REG,0,2,5,0,0,0,0,0,1,24
29,KAN,Cyrus Gray,GrayCy00,2014-09-14,2014,2,REG,0,2,8,0,0,0,0,0,14,14
30,KAN,Cyrus Gray,GrayCy00,2014-09-21,2014,3,REG,0,4,18,1,0,0,0,0,7,21
31,KAN,Cyrus Gray,GrayCy00,2014-09-29,2014,4,REG,0,0,0,0,0,0,0,0,2,20
32,KAN,Cyrus Gray,GrayCy00,2014-10-05,2014,5,REG,0,0,0,0,0,0,0,0,3,16
0,KAN,Cyrus Gray,GrayCy00,1970-01-01,2014,6,BYE,0,0,0,0,0,0,0,0,0,0
33,KAN,Cyrus Gray,GrayCy00,2014-10-19,2014,7,REG,0,0,0,0,0,0,0,0,0,20
34,KAN,Cyrus Gray,GrayCy00,2014-10-26,2014,8,REG,0,0,0,0,0,0,0,0,0,18
35,KAN,Cyrus Gray,GrayCy00,2014-11-02,2014,9,REG,0,0,0,0,0,0,0,0,0,14
36,KAN,Cyrus Gray,GrayCy00,2014-11-09,2014,10,REG,0,0,0,0,0,0,0,0,1,17
0,KAN,Cyrus Gray,GrayCy00,2014-11-16,2014,11,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2014-11-20,2014,12,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2014-11-30,2014,13,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2014-12-07,2014,14,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2014-12-14,2014,15,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2014-12-21,2014,16,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Cyrus Gray,GrayCy00,2014-12-28,2014,17,DNP,0,0,0,0,0,0,0,0,0,0
