CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,MIN,Dalvin Cook,CookDa01,2017-09-11,2017,1,REG,1,22,127,0,5,3,10,0,51,0
2,MIN,Dalvin Cook,CookDa01,2017-09-17,2017,2,REG,1,12,64,0,3,2,0,0,37,0
3,MIN,Dalvin Cook,CookDa01,2017-09-24,2017,3,REG,1,27,97,1,5,5,72,0,54,0
4,MIN,Dalvin Cook,CookDa01,2017-10-01,2017,4,REG,1,13,66,1,3,1,8,0,27,0
0,MIN,Dalvin Cook,CookDa01,2017-10-09,2017,5,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-10-15,2017,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-10-22,2017,7,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-10-29,2017,8,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,,2017,9,BYE,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-11-12,2017,10,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-11-19,2017,11,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-11-23,2017,12,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-12-03,2017,13,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-12-10,2017,14,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-12-17,2017,15,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-12-23,2017,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2017-12-31,2017,17,DNP,0,0,0,0,0,0,0,0,0,0
5,MIN,Dalvin Cook,CookDa01,2018-09-09,2018,1,REG,1,16,40,0,7,6,55,0,57,0
6,MIN,Dalvin Cook,CookDa01,2018-09-16,2018,2,REG,1,10,38,0,5,3,52,0,50,0
0,MIN,Dalvin Cook,CookDa01,2018-09-23,2018,3,DNP,0,0,0,0,0,0,0,0,0,0
7,MIN,Dalvin Cook,CookDa01,2018-09-27,2018,4,REG,1,10,20,0,0,0,0,0,18,0
0,MIN,Dalvin Cook,CookDa01,2018-10-07,2018,5,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2018-10-14,2018,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2018-10-21,2018,7,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Dalvin Cook,CookDa01,2018-10-28,2018,8,DNP,0,0,0,0,0,0,0,0,0,0
8,MIN,Dalvin Cook,CookDa01,2018-11-04,2018,9,REG,0,10,89,0,4,4,20,0,28,0
0,MIN,Dalvin Cook,CookDa01,,2018,10,BYE,0,0,0,0,0,0,0,0,0,0
9,MIN,Dalvin Cook,CookDa01,2018-11-18,2018,11,REG,1,9,12,0,3,3,-2,0,59,0
10,MIN,Dalvin Cook,CookDa01,2018-11-25,2018,12,REG,1,10,29,0,3,3,47,1,41,0
11,MIN,Dalvin Cook,CookDa01,2018-12-02,2018,13,REG,1,9,84,0,10,8,22,0,47,0
12,MIN,Dalvin Cook,CookDa01,2018-12-10,2018,14,REG,1,13,55,0,7,5,28,1,50,0
13,MIN,Dalvin Cook,CookDa01,2018-12-16,2018,15,REG,1,19,136,2,2,1,27,0,42,0
14,MIN,Dalvin Cook,CookDa01,2018-12-23,2018,16,REG,1,16,73,0,3,3,35,0,46,0
15,MIN,Dalvin Cook,CookDa01,2018-12-30,2018,17,REG,1,11,39,0,5,4,21,0,53,0
