CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NYG,Damon Washington,WashDa00,2000-09-03,2000,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-09-10,2000,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-09-17,2000,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-09-24,2000,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-10-01,2000,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-10-08,2000,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-10-15,2000,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,1970-01-01,2000,8,BYE,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-10-29,2000,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-11-05,2000,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-11-12,2000,11,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-11-19,2000,12,DNP,0,0,0,0,0,0,0,0,0,0
1,NYG,Damon Washington,WashDa00,2000-11-26,2000,13,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-12-03,2000,14,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Damon Washington,WashDa00,2000-12-10,2000,15,DNP,0,0,0,0,0,0,0,0,0,0
2,NYG,Damon Washington,WashDa00,2000-12-17,2000,16,REG,0,0,0,0,0,0,0,0,0,0
3,NYG,Damon Washington,WashDa00,2000-12-23,2000,17,REG,0,0,0,0,0,0,0,0,0,0
4,NYG,Damon Washington,WashDa00,2001-01-07,2000,19,POST,0,0,0,0,0,0,0,0,0,0
5,NYG,Damon Washington,WashDa00,2001-01-14,2000,20,POST,0,0,0,0,0,0,0,0,0,0
6,NYG,Damon Washington,WashDa00,2001-01-28,2000,21,POST,0,0,0,0,0,0,0,0,0,0
7,NYG,Damon Washington,WashDa00,2001-09-10,2001,1,REG,0,0,0,0,0,0,0,0,0,0
8,NYG,Damon Washington,WashDa00,2001-09-23,2001,2,REG,0,0,0,0,0,0,0,0,0,0
9,NYG,Damon Washington,WashDa00,2001-09-30,2001,3,REG,0,1,1,0,1,1,2,0,0,0
10,NYG,Damon Washington,WashDa00,2001-10-07,2001,4,REG,0,25,90,0,1,1,16,0,0,0
