CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,MIA,Daniel Thomas,ThomDa03,2011-09-12,2011,1,DNP,0,0,0,0,0,0,0,0,0,0
1,MIA,Daniel Thomas,ThomDa03,2011-09-18,2011,2,REG,0,18,107,0,1,1,10,0,0,0
2,MIA,Daniel Thomas,ThomDa03,2011-09-25,2011,3,REG,0,23,95,0,3,3,27,1,0,0
0,MIA,Daniel Thomas,ThomDa03,2011-10-02,2011,4,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Daniel Thomas,ThomDa03,1970-01-01,2011,5,BYE,0,0,0,0,0,0,0,0,0,0
3,MIA,Daniel Thomas,ThomDa03,2011-10-17,2011,6,REG,0,15,47,0,1,1,12,0,0,0
4,MIA,Daniel Thomas,ThomDa03,2011-10-23,2011,7,REG,0,19,53,0,5,2,0,0,0,0
0,MIA,Daniel Thomas,ThomDa03,2011-10-30,2011,8,DNP,0,0,0,0,0,0,0,0,0,0
5,MIA,Daniel Thomas,ThomDa03,2011-11-06,2011,9,REG,0,7,12,0,0,0,0,0,0,0
6,MIA,Daniel Thomas,ThomDa03,2011-11-13,2011,10,REG,1,17,42,0,0,0,0,0,0,0
7,MIA,Daniel Thomas,ThomDa03,2011-11-20,2011,11,REG,0,15,50,0,1,0,0,0,0,0
8,MIA,Daniel Thomas,ThomDa03,2011-11-24,2011,12,REG,0,6,25,0,1,1,2,0,0,0
9,MIA,Daniel Thomas,ThomDa03,2011-12-04,2011,13,REG,0,13,73,0,0,0,0,0,0,0
10,MIA,Daniel Thomas,ThomDa03,2011-12-11,2011,14,REG,0,7,4,0,2,2,9,0,0,0
11,MIA,Daniel Thomas,ThomDa03,2011-12-18,2011,15,REG,0,11,42,0,0,0,0,0,0,0
12,MIA,Daniel Thomas,ThomDa03,2011-12-24,2011,16,REG,0,2,3,0,0,0,0,0,0,0
13,MIA,Daniel Thomas,ThomDa03,2012-01-01,2011,17,REG,1,12,28,0,2,2,12,0,0,0
14,MIA,Daniel Thomas,ThomDa03,2012-09-09,2012,1,REG,0,3,11,0,3,1,32,0,14,4
0,MIA,Daniel Thomas,ThomDa03,2012-09-16,2012,2,DNP,0,0,0,0,0,0,0,0,0,0
15,MIA,Daniel Thomas,ThomDa03,2012-09-23,2012,3,REG,0,19,69,1,2,1,11,0,49,12
16,MIA,Daniel Thomas,ThomDa03,2012-09-30,2012,4,REG,0,4,4,0,1,1,6,0,22,8
17,MIA,Daniel Thomas,ThomDa03,2012-10-07,2012,5,REG,0,10,29,1,1,1,8,0,27,6
0,MIA,Daniel Thomas,ThomDa03,2012-10-14,2012,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Daniel Thomas,ThomDa03,1970-01-01,2012,7,BYE,0,0,0,0,0,0,0,0,0,0
18,MIA,Daniel Thomas,ThomDa03,2012-10-28,2012,8,REG,0,15,42,1,2,1,3,0,41,8
19,MIA,Daniel Thomas,ThomDa03,2012-11-04,2012,9,REG,0,6,37,0,4,2,25,0,33,9
20,MIA,Daniel Thomas,ThomDa03,2012-11-11,2012,10,REG,0,5,21,0,6,5,34,0,29,15
