CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NYG,Danny Ware,WareDa00,2007-09-09,2007,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-09-16,2007,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-09-23,2007,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-09-30,2007,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-10-07,2007,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-10-15,2007,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-10-21,2007,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-10-28,2007,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,1970-01-01,2007,9,BYE,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-11-11,2007,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-11-18,2007,11,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-11-25,2007,12,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-12-02,2007,13,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-12-09,2007,14,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-12-16,2007,15,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2007-12-23,2007,16,DNP,0,0,0,0,0,0,0,0,0,0
1,NYG,Danny Ware,WareDa00,2007-12-29,2007,17,REG,0,0,0,0,0,0,0,0,0,0
2,NYG,Danny Ware,WareDa00,2008-09-04,2008,1,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-09-14,2008,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-09-21,2008,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,1970-01-01,2008,4,BYE,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-10-05,2008,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-10-13,2008,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-10-19,2008,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-10-26,2008,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-11-02,2008,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-11-09,2008,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-11-16,2008,11,DNP,0,0,0,0,0,0,0,0,0,0
3,NYG,Danny Ware,WareDa00,2008-11-23,2008,12,REG,0,0,0,0,0,0,0,0,0,0
4,NYG,Danny Ware,WareDa00,2008-11-30,2008,13,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2008-12-07,2008,14,DNP,0,0,0,0,0,0,0,0,0,0
5,NYG,Danny Ware,WareDa00,2008-12-14,2008,15,REG,0,0,0,0,0,0,0,0,0,0
6,NYG,Danny Ware,WareDa00,2008-12-21,2008,16,REG,0,0,0,0,0,0,0,0,0,0
7,NYG,Danny Ware,WareDa00,2008-12-28,2008,17,REG,0,2,15,0,0,0,0,0,0,0
8,NYG,Danny Ware,WareDa00,2009-09-13,2009,1,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2009-09-20,2009,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2009-09-27,2009,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2009-10-04,2009,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2009-10-11,2009,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Danny Ware,WareDa00,2009-10-18,2009,6,DNP,0,0,0,0,0,0,0,0,0,0
9,NYG,Danny Ware,WareDa00,2009-10-25,2009,7,REG,0,0,0,0,0,0,0,0,0,0
10,NYG,Danny Ware,WareDa00,2009-11-01,2009,8,REG,0,0,0,0,0,0,0,0,0,0
11,NYG,Danny Ware,WareDa00,2009-11-08,2009,9,REG,0,2,9,0,0,0,0,0,0,0
