CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,MIN,Darius Reynaud,ReynDa00,2008-09-08,2008,1,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-09-14,2008,2,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-09-21,2008,3,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-09-28,2008,4,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-10-06,2008,5,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-10-12,2008,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-10-19,2008,7,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,1970-01-01,2008,8,BYE,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-11-02,2008,9,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-11-09,2008,10,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-11-16,2008,11,DNP,0,0,0,0,0,0,0,0,0,0
1,MIN,Darius Reynaud,ReynDa00,2008-11-23,2008,12,REG,0,0,0,0,0,0,0,0,0,0
2,MIN,Darius Reynaud,ReynDa00,2008-11-30,2008,13,REG,0,0,0,0,0,0,0,0,0,0
3,MIN,Darius Reynaud,ReynDa00,2008-12-07,2008,14,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-12-14,2008,15,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-12-21,2008,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2008-12-28,2008,17,DNP,0,0,0,0,0,0,0,0,0,0
4,MIN,Darius Reynaud,ReynDa00,2009-09-13,2009,1,REG,0,0,0,0,0,0,0,0,0,0
5,MIN,Darius Reynaud,ReynDa00,2009-09-20,2009,2,REG,0,0,0,0,0,0,0,0,0,0
6,MIN,Darius Reynaud,ReynDa00,2009-09-27,2009,3,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2009-10-05,2009,4,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2009-10-11,2009,5,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2009-10-18,2009,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2009-10-25,2009,7,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,2009-11-01,2009,8,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Darius Reynaud,ReynDa00,1970-01-01,2009,9,BYE,0,0,0,0,0,0,0,0,0,0
7,MIN,Darius Reynaud,ReynDa00,2009-11-15,2009,10,REG,0,0,0,0,0,0,0,0,0,0
8,MIN,Darius Reynaud,ReynDa00,2009-11-22,2009,11,REG,0,0,0,0,0,0,0,0,0,0
9,MIN,Darius Reynaud,ReynDa00,2009-11-29,2009,12,REG,0,0,0,0,0,0,0,0,0,0
10,MIN,Darius Reynaud,ReynDa00,2009-12-06,2009,13,REG,0,0,0,0,0,0,0,0,0,0
11,MIN,Darius Reynaud,ReynDa00,2009-12-13,2009,14,REG,0,0,0,0,1,0,0,0,0,0
12,MIN,Darius Reynaud,ReynDa00,2009-12-20,2009,15,REG,0,0,0,0,0,0,0,0,0,0
13,MIN,Darius Reynaud,ReynDa00,2009-12-28,2009,16,REG,0,0,0,0,0,0,0,0,0,0
14,MIN,Darius Reynaud,ReynDa00,2010-01-03,2009,17,REG,0,0,0,0,1,0,0,0,0,0
15,MIN,Darius Reynaud,ReynDa00,2010-01-17,2009,19,POST,0,0,0,0,0,0,0,0,0,0
16,MIN,Darius Reynaud,ReynDa00,2010-01-24,2009,20,POST,0,0,0,0,0,0,0,0,0,0
17,NYG,Darius Reynaud,ReynDa00,2010-09-12,2010,1,REG,0,0,0,0,0,0,0,0,0,0
18,NYG,Darius Reynaud,ReynDa00,2010-09-19,2010,2,REG,0,0,0,0,0,0,0,0,0,0
19,NYG,Darius Reynaud,ReynDa00,2010-09-26,2010,3,REG,0,0,0,0,0,0,0,0,0,0
20,NYG,Darius Reynaud,ReynDa00,2010-10-03,2010,4,REG,0,0,0,0,0,0,0,0,0,0
21,NYG,Darius Reynaud,ReynDa00,2010-10-10,2010,5,REG,0,0,0,0,0,0,0,0,0,0
22,NYG,Darius Reynaud,ReynDa00,2010-10-17,2010,6,REG,0,0,0,0,0,0,0,0,0,0
23,NYG,Darius Reynaud,ReynDa00,2010-10-25,2010,7,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,1970-01-01,2010,8,BYE,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,2010-11-07,2010,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,2010-11-14,2010,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,2010-11-21,2010,11,DNP,0,0,0,0,0,0,0,0,0,0
24,NYG,Darius Reynaud,ReynDa00,2010-11-28,2010,12,REG,0,0,0,0,0,0,0,0,0,0
25,NYG,Darius Reynaud,ReynDa00,2010-12-05,2010,13,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,2010-12-13,2010,14,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,2010-12-19,2010,15,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,2010-12-26,2010,16,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Darius Reynaud,ReynDa00,2011-01-02,2010,17,DNP,0,0,0,0,0,0,0,0,0,0
26,TEN,Darius Reynaud,ReynDa00,2012-09-09,2012,1,REG,0,2,2,0,4,3,17,0,18,9
27,TEN,Darius Reynaud,ReynDa00,2012-09-16,2012,2,REG,0,0,0,0,0,0,0,0,1,7
28,TEN,Darius Reynaud,ReynDa00,2012-09-23,2012,3,REG,0,1,0,0,0,0,0,0,7,13
29,TEN,Darius Reynaud,ReynDa00,2012-09-30,2012,4,REG,0,0,0,0,0,0,0,0,3,13
30,TEN,Darius Reynaud,ReynDa00,2012-10-07,2012,5,REG,0,1,8,0,1,0,0,0,7,10
31,TEN,Darius Reynaud,ReynDa00,2012-10-11,2012,6,REG,0,0,0,0,0,0,0,0,5,10
32,TEN,Darius Reynaud,ReynDa00,2012-10-21,2012,7,REG,0,1,-4,0,2,2,18,0,9,7
33,TEN,Darius Reynaud,ReynDa00,2012-10-28,2012,8,REG,0,1,4,0,0,0,0,0,2,6
34,TEN,Darius Reynaud,ReynDa00,2012-11-04,2012,9,REG,0,0,0,0,0,0,0,0,3,14
35,TEN,Darius Reynaud,ReynDa00,2012-11-11,2012,10,REG,0,4,15,0,1,0,0,0,10,9
0,TEN,Darius Reynaud,ReynDa00,1970-01-01,2012,11,BYE,0,0,0,0,0,0,0,0,0,0
36,TEN,Darius Reynaud,ReynDa00,2012-11-25,2012,12,REG,0,2,5,0,2,0,0,0,16,10
37,TEN,Darius Reynaud,ReynDa00,2012-12-02,2012,13,REG,0,0,0,0,0,0,0,0,3,15
38,TEN,Darius Reynaud,ReynDa00,2012-12-09,2012,14,REG,0,1,2,0,0,0,0,0,2,9
39,TEN,Darius Reynaud,ReynDa00,2012-12-17,2012,15,REG,0,0,0,0,0,0,0,0,0,9
40,TEN,Darius Reynaud,ReynDa00,2012-12-23,2012,16,REG,0,0,0,0,0,0,0,0,0,10
41,TEN,Darius Reynaud,ReynDa00,2012-12-30,2012,17,REG,0,3,1,0,0,0,0,0,4,9
42,TEN,Darius Reynaud,ReynDa00,2013-09-08,2013,1,REG,0,0,0,0,0,0,0,0,0,15
43,TEN,Darius Reynaud,ReynDa00,2013-09-15,2013,2,REG,0,0,0,0,0,0,0,0,0,17
44,TEN,Darius Reynaud,ReynDa00,2013-09-22,2013,3,REG,0,0,0,0,0,0,0,0,0,14
