CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CHI,Darnell Autry,AutrDa00,1997-09-01,1997,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darnell Autry,AutrDa00,1997-09-07,1997,2,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darnell Autry,AutrDa00,1997-09-14,1997,3,DNP,0,0,0,0,0,0,0,0,0,0
1,CHI,Darnell Autry,AutrDa00,1997-09-21,1997,4,REG,0,1,3,0,0,0,0,0,0,0
2,CHI,Darnell Autry,AutrDa00,1997-09-28,1997,5,REG,0,3,22,0,0,0,0,0,0,0
3,CHI,Darnell Autry,AutrDa00,1997-10-05,1997,6,REG,0,0,0,0,0,0,0,0,0,0
4,CHI,Darnell Autry,AutrDa00,1997-10-12,1997,7,REG,0,2,7,0,0,0,0,0,0,0
0,CHI,Darnell Autry,AutrDa00,1970-01-01,1997,8,BYE,0,0,0,0,0,0,0,0,0,0
5,CHI,Darnell Autry,AutrDa00,1997-10-27,1997,9,REG,0,7,21,0,1,1,8,0,0,0
6,CHI,Darnell Autry,AutrDa00,1997-11-02,1997,10,REG,0,0,0,0,1,1,12,0,0,0
7,CHI,Darnell Autry,AutrDa00,1997-11-09,1997,11,REG,0,13,59,0,1,1,0,0,0,0
8,CHI,Darnell Autry,AutrDa00,1997-11-16,1997,12,REG,1,19,39,0,4,2,23,0,0,0
9,CHI,Darnell Autry,AutrDa00,1997-11-23,1997,13,REG,0,5,11,0,1,0,0,0,0,0
10,CHI,Darnell Autry,AutrDa00,1997-11-27,1997,14,REG,0,6,10,0,1,1,4,0,0,0
11,CHI,Darnell Autry,AutrDa00,1997-12-07,1997,15,REG,0,14,40,0,0,0,0,0,0,0
12,CHI,Darnell Autry,AutrDa00,1997-12-14,1997,16,REG,1,26,62,0,1,1,8,0,0,0
13,CHI,Darnell Autry,AutrDa00,1997-12-21,1997,17,REG,1,16,45,1,4,2,4,0,0,0
0,PHI,Darnell Autry,AutrDa00,1998-09-06,1998,1,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Darnell Autry,AutrDa00,1998-09-13,1998,2,DNP,0,0,0,0,0,0,0,0,0,0
