CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,TEN,Darrynton Evans,EvanDa02,2020-09-14,2020,1,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-09-20,2020,2,DNP,0,0,0,0,0,0,0,0,0,0
1,TEN,Darrynton Evans,EvanDa02,2020-09-27,2020,3,REG,0,3,9,0,0,0,0,0,8,0
0,TEN,Darrynton Evans,EvanDa02,1970-01-01,2020,4,BYE,0,0,0,0,0,0,0,0,0,0
2,TEN,Darrynton Evans,EvanDa02,2020-10-13,2020,5,REG,0,2,12,0,0,0,0,0,5,0
0,TEN,Darrynton Evans,EvanDa02,2020-10-18,2020,6,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-10-25,2020,7,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-11-01,2020,8,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-11-08,2020,9,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-11-12,2020,10,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-11-22,2020,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-11-29,2020,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-12-06,2020,13,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2020-12-13,2020,14,DNP,0,0,0,0,0,0,0,0,0,0
3,TEN,Darrynton Evans,EvanDa02,2020-12-20,2020,15,REG,0,8,30,0,2,2,27,1,13,4
4,TEN,Darrynton Evans,EvanDa02,2020-12-27,2020,16,REG,0,1,3,0,2,0,0,0,6,13
5,TEN,Darrynton Evans,EvanDa02,2021-01-03,2020,17,REG,0,0,0,0,0,0,0,0,1,17
6,TEN,Darrynton Evans,EvanDa02,2021-01-10,2020,18,POST,0,1,1,0,0,0,0,0,2,15
0,TEN,Darrynton Evans,EvanDa02,2021-09-12,2021,1,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-09-19,2021,2,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-09-26,2021,3,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-10-03,2021,4,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-10-10,2021,5,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-10-18,2021,6,DNP,0,0,0,0,0,0,0,0,0,0
7,TEN,Darrynton Evans,EvanDa02,2021-10-24,2021,7,REG,0,2,7,0,2,2,11,0,6,2
0,TEN,Darrynton Evans,EvanDa02,2021-10-31,2021,8,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-11-07,2021,9,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-11-14,2021,10,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-11-21,2021,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-11-28,2021,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,1970-01-01,2021,13,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-12-12,2021,14,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-12-19,2021,15,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2021-12-23,2021,16,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2022-01-02,2021,17,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Darrynton Evans,EvanDa02,2022-01-09,2021,18,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-09-11,2022,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-09-18,2022,2,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-09-25,2022,3,DNP,0,0,0,0,0,0,0,0,0,0
8,CHI,Darrynton Evans,EvanDa02,2022-10-02,2022,4,REG,0,0,0,0,0,0,0,0,0,10
0,CHI,Darrynton Evans,EvanDa02,2022-10-09,2022,5,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-10-13,2022,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-10-24,2022,7,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-10-30,2022,8,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-11-06,2022,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Darrynton Evans,EvanDa02,2022-11-13,2022,10,DNP,0,0,0,0,0,0,0,0,0,0
9,CHI,Darrynton Evans,EvanDa02,2022-11-20,2022,11,REG,0,0,0,0,0,0,0,0,2,6
