CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,KAN,Darwin Thompson,ThomDa06,2019-09-08,2019,1,REG,0,0,0,0,1,1,3,0,2,9
2,KAN,Darwin Thompson,ThomDa06,2019-09-15,2019,2,REG,0,1,1,0,0,0,0,0,4,9
3,KAN,Darwin Thompson,ThomDa06,2019-09-22,2019,3,REG,0,3,8,0,0,0,0,0,5,13
4,KAN,Darwin Thompson,ThomDa06,2019-09-29,2019,4,REG,0,0,0,0,0,0,0,0,3,14
0,KAN,Darwin Thompson,ThomDa06,2019-10-06,2019,5,DNP,0,0,0,0,0,0,0,0,0,0
5,KAN,Darwin Thompson,ThomDa06,2019-10-13,2019,6,REG,0,0,0,0,0,0,0,0,0,11
0,KAN,Darwin Thompson,ThomDa06,2019-10-17,2019,7,DNP,0,0,0,0,0,0,0,0,0,0
6,KAN,Darwin Thompson,ThomDa06,2019-10-27,2019,8,REG,0,0,0,0,1,1,-1,0,2,6
0,KAN,Darwin Thompson,ThomDa06,2019-11-03,2019,9,DNP,0,0,0,0,0,0,0,0,0,0
7,KAN,Darwin Thompson,ThomDa06,2019-11-10,2019,10,REG,0,1,-1,0,1,1,8,0,5,8
0,KAN,Darwin Thompson,ThomDa06,2019-11-18,2019,11,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Darwin Thompson,ThomDa06,,2019,12,BYE,0,0,0,0,0,0,0,0,0,0
8,KAN,Darwin Thompson,ThomDa06,2019-12-01,2019,13,REG,0,11,44,1,0,0,0,0,23,12
9,KAN,Darwin Thompson,ThomDa06,2019-12-08,2019,14,REG,0,4,7,0,5,4,36,0,21,0
10,KAN,Darwin Thompson,ThomDa06,2019-12-15,2019,15,REG,0,8,38,0,1,1,1,0,24,2
11,KAN,Darwin Thompson,ThomDa06,2019-12-22,2019,16,REG,0,5,14,0,0,0,0,0,6,6
12,KAN,Darwin Thompson,ThomDa06,2019-12-29,2019,17,REG,0,4,17,0,1,1,-4,0,12,9
13,KAN,Darwin Thompson,ThomDa06,2020-01-12,2019,19,POST,0,0,0,0,0,0,0,0,1,19
14,KAN,Darwin Thompson,ThomDa06,2020-01-19,2019,20,POST,0,1,7,0,1,0,0,0,11,14
15,KAN,Darwin Thompson,ThomDa06,2020-02-02,2019,21,POST,0,1,0,0,1,0,0,0,11,13
16,KAN,Darwin Thompson,ThomDa06,2020-09-10,2020,1,REG,0,0,0,0,0,0,0,0,0,8
17,KAN,Darwin Thompson,ThomDa06,2020-09-20,2020,2,REG,0,4,21,0,1,0,0,0,15,10
18,KAN,Darwin Thompson,ThomDa06,2020-09-28,2020,3,REG,0,2,11,0,2,0,0,0,6,11
19,KAN,Darwin Thompson,ThomDa06,2020-10-05,2020,4,REG,0,0,0,0,0,0,0,0,0,9
20,KAN,Darwin Thompson,ThomDa06,2020-10-11,2020,5,REG,0,0,0,0,0,0,0,0,0,13
21,KAN,Darwin Thompson,ThomDa06,2020-10-19,2020,6,REG,0,3,17,0,0,0,0,0,3,9
0,KAN,Darwin Thompson,ThomDa06,2020-10-25,2020,7,DNP,0,0,0,0,0,0,0,0,0,0
22,KAN,Darwin Thompson,ThomDa06,2020-11-01,2020,8,REG,0,4,3,0,1,0,0,0,7,10
23,KAN,Darwin Thompson,ThomDa06,2020-11-08,2020,9,REG,0,0,0,0,0,0,0,0,0,12
0,KAN,Darwin Thompson,ThomDa06,,2020,10,BYE,0,0,0,0,0,0,0,0,0,0
24,KAN,Darwin Thompson,ThomDa06,2020-11-22,2020,11,REG,0,0,0,0,0,0,0,0,0,12
25,KAN,Darwin Thompson,ThomDa06,2020-11-29,2020,12,REG,0,0,0,0,0,0,0,0,0,10
26,KAN,Darwin Thompson,ThomDa06,2020-12-06,2020,13,REG,0,0,0,0,0,0,0,0,0,10
27,KAN,Darwin Thompson,ThomDa06,2020-12-13,2020,14,REG,0,0,0,0,0,0,0,0,0,10
0,KAN,Darwin Thompson,ThomDa06,2020-12-20,2020,15,DNP,0,0,0,0,0,0,0,0,0,0
28,KAN,Darwin Thompson,ThomDa06,2020-12-27,2020,16,REG,0,0,0,0,0,0,0,0,0,7
29,KAN,Darwin Thompson,ThomDa06,2021-01-03,2020,17,REG,1,14,45,1,7,7,65,1,49,0
30,KAN,Darwin Thompson,ThomDa06,2021-01-17,2020,19,POST,0,0,0,0,0,0,0,0,0,6
31,KAN,Darwin Thompson,ThomDa06,2021-01-24,2020,20,POST,0,0,0,0,0,0,0,0,3,7
