CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DAL,Daryl Johnston,JohnDa00,1989-09-10,1989,1,REG,0,0,0,0,0,0,0,0,0,0
2,DAL,Daryl Johnston,JohnDa00,1989-09-17,1989,2,REG,0,0,0,0,1,1,4,0,0,0
3,DAL,Daryl Johnston,JohnDa00,1989-09-24,1989,3,REG,0,0,0,0,0,0,0,0,0,0
4,DAL,Daryl Johnston,JohnDa00,1989-10-01,1989,4,REG,0,0,0,0,0,0,0,0,0,0
5,DAL,Daryl Johnston,JohnDa00,1989-10-08,1989,5,REG,1,1,1,0,1,1,8,0,0,0
6,DAL,Daryl Johnston,JohnDa00,1989-10-15,1989,6,REG,1,3,3,0,2,2,13,0,0,0
7,DAL,Daryl Johnston,JohnDa00,1989-10-22,1989,7,REG,1,3,5,0,1,1,28,0,0,0
8,DAL,Daryl Johnston,JohnDa00,1989-10-29,1989,8,REG,0,0,0,0,2,1,6,0,0,0
9,DAL,Daryl Johnston,JohnDa00,1989-11-05,1989,9,REG,0,3,5,0,1,1,7,0,0,0
10,DAL,Daryl Johnston,JohnDa00,1989-11-12,1989,10,REG,1,1,4,0,2,1,8,0,0,0
11,DAL,Daryl Johnston,JohnDa00,1989-11-19,1989,11,REG,1,11,50,0,5,3,21,1,0,0
12,DAL,Daryl Johnston,JohnDa00,1989-11-23,1989,12,REG,1,6,39,0,0,0,0,0,0,0
13,DAL,Daryl Johnston,JohnDa00,1989-12-03,1989,13,REG,1,15,30,0,4,2,15,1,0,0
14,DAL,Daryl Johnston,JohnDa00,1989-12-10,1989,14,REG,1,4,0,0,4,3,23,1,0,0
15,DAL,Daryl Johnston,JohnDa00,1989-12-16,1989,15,REG,1,4,15,0,1,0,0,0,0,0
16,DAL,Daryl Johnston,JohnDa00,1989-12-24,1989,16,REG,1,16,60,0,0,0,0,0,0,0
17,DAL,Daryl Johnston,JohnDa00,1990-09-09,1990,1,REG,0,3,6,0,1,0,0,0,0,0
18,DAL,Daryl Johnston,JohnDa00,1990-09-16,1990,2,REG,0,0,0,0,2,1,19,0,0,0
19,DAL,Daryl Johnston,JohnDa00,1990-09-23,1990,3,REG,0,1,8,0,4,3,28,0,0,0
20,DAL,Daryl Johnston,JohnDa00,1990-09-30,1990,4,REG,0,0,0,0,1,1,9,0,0,0
21,DAL,Daryl Johnston,JohnDa00,1990-10-07,1990,5,REG,0,1,2,0,2,1,6,0,0,0
22,DAL,Daryl Johnston,JohnDa00,1990-10-14,1990,6,REG,0,0,0,0,1,0,0,0,0,0
23,DAL,Daryl Johnston,JohnDa00,1990-10-21,1990,7,REG,0,0,0,0,1,1,8,0,0,0
24,DAL,Daryl Johnston,JohnDa00,1990-10-28,1990,8,REG,0,0,0,0,0,0,0,0,0,0
25,DAL,Daryl Johnston,JohnDa00,1990-11-04,1990,9,REG,0,0,0,0,2,2,24,0,0,0
26,DAL,Daryl Johnston,JohnDa00,1990-11-11,1990,10,REG,0,0,0,0,1,1,26,0,0,0
27,DAL,Daryl Johnston,JohnDa00,1990-11-18,1990,11,REG,0,0,0,0,1,1,10,0,0,0
