CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,STL,David Thompson,ThomDa00,1997-08-31,1997,1,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1997-09-07,1997,2,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1997-09-14,1997,3,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1997-09-21,1997,4,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1997-09-28,1997,5,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1970-01-01,1997,6,BYE,0,0,0,0,0,0,0,0,0,0
1,STL,David Thompson,ThomDa00,1997-10-12,1997,7,REG,0,0,0,0,0,0,0,0,0,0
2,STL,David Thompson,ThomDa00,1997-10-19,1997,8,REG,0,0,0,0,0,0,0,0,0,0
3,STL,David Thompson,ThomDa00,1997-10-26,1997,9,REG,0,0,0,0,0,0,0,0,0,0
4,STL,David Thompson,ThomDa00,1997-11-02,1997,10,REG,0,0,0,0,0,0,0,0,0,0
5,STL,David Thompson,ThomDa00,1997-11-09,1997,11,REG,0,0,0,0,0,0,0,0,0,0
6,STL,David Thompson,ThomDa00,1997-11-16,1997,12,REG,0,0,0,0,0,0,0,0,0,0
7,STL,David Thompson,ThomDa00,1997-11-23,1997,13,REG,0,0,0,0,0,0,0,0,0,0
8,STL,David Thompson,ThomDa00,1997-11-30,1997,14,REG,0,2,-4,0,0,0,0,0,0,0
9,STL,David Thompson,ThomDa00,1997-12-07,1997,15,REG,0,9,18,0,2,0,0,0,0,0
10,STL,David Thompson,ThomDa00,1997-12-14,1997,16,REG,0,2,5,0,0,0,0,0,0,0
11,STL,David Thompson,ThomDa00,1997-12-20,1997,17,REG,0,3,11,1,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-09-06,1998,1,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-09-13,1998,2,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-09-20,1998,3,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-09-27,1998,4,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1970-01-01,1998,5,BYE,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-10-11,1998,6,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-10-18,1998,7,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-10-25,1998,8,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-11-01,1998,9,DNP,0,0,0,0,0,0,0,0,0,0
12,STL,David Thompson,ThomDa00,1998-11-08,1998,10,REG,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-11-15,1998,11,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-11-22,1998,12,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-11-29,1998,13,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-12-03,1998,14,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-12-13,1998,15,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-12-20,1998,16,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,David Thompson,ThomDa00,1998-12-27,1998,17,DNP,0,0,0,0,0,0,0,0,0,0
