CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,GNB,DeMond Parker,ParkDe00,1999-09-12,1999,1,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,1999-09-19,1999,2,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,1999-09-26,1999,3,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,1970-01-01,1999,4,BYE,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,1999-10-10,1999,5,DNP,0,0,0,0,0,0,0,0,0,0
1,GNB,DeMond Parker,ParkDe00,1999-10-17,1999,6,REG,0,0,0,0,0,0,0,0,0,0
2,GNB,DeMond Parker,ParkDe00,1999-10-24,1999,7,REG,0,4,35,0,0,0,0,0,0,0
3,GNB,DeMond Parker,ParkDe00,1999-11-01,1999,8,REG,0,0,0,0,0,0,0,0,0,0
4,GNB,DeMond Parker,ParkDe00,1999-11-07,1999,9,REG,0,0,0,0,0,0,0,0,0,0
5,GNB,DeMond Parker,ParkDe00,1999-11-14,1999,10,REG,0,0,0,0,0,0,0,0,0,0
6,GNB,DeMond Parker,ParkDe00,1999-11-21,1999,11,REG,0,2,17,0,0,0,0,0,0,0
7,GNB,DeMond Parker,ParkDe00,1999-11-29,1999,12,REG,0,5,19,0,1,1,2,0,0,0
8,GNB,DeMond Parker,ParkDe00,1999-12-05,1999,13,REG,0,19,113,2,2,2,6,0,0,0
9,GNB,DeMond Parker,ParkDe00,1999-12-12,1999,14,REG,0,6,0,0,2,1,7,0,0,0
10,GNB,DeMond Parker,ParkDe00,1999-12-20,1999,15,REG,0,0,0,0,0,0,0,0,0,0
11,GNB,DeMond Parker,ParkDe00,1999-12-26,1999,16,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-01-02,1999,17,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-09-03,2000,1,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-09-10,2000,2,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-09-17,2000,3,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-09-24,2000,4,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-10-01,2000,5,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-10-08,2000,6,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-10-15,2000,7,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,1970-01-01,2000,8,BYE,0,0,0,0,0,0,0,0,0,0
0,GNB,DeMond Parker,ParkDe00,2000-10-29,2000,9,DNP,0,0,0,0,0,0,0,0,0,0
12,GNB,DeMond Parker,ParkDe00,2000-11-06,2000,10,REG,0,1,-1,0,0,0,0,0,0,0
13,GNB,DeMond Parker,ParkDe00,2000-11-12,2000,11,REG,0,2,16,0,1,1,6,0,0,0
14,GNB,DeMond Parker,ParkDe00,2000-11-19,2000,12,REG,0,3,-5,0,1,1,1,0,0,0
15,GNB,DeMond Parker,ParkDe00,2000-11-27,2000,13,REG,0,2,26,0,7,4,18,0,0,0
16,GNB,DeMond Parker,ParkDe00,2000-12-03,2000,14,REG,0,3,8,0,0,0,0,0,0,0
17,GNB,DeMond Parker,ParkDe00,2000-12-10,2000,15,REG,0,1,6,0,0,0,0,0,0,0
18,GNB,DeMond Parker,ParkDe00,2000-12-17,2000,16,REG,0,1,0,0,1,1,10,0,0,0
19,GNB,DeMond Parker,ParkDe00,2000-12-24,2000,17,REG,0,5,35,0,2,2,15,0,0,0
