CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CAR,Dee Brown,BrowDe02,2002-09-08,2002,1,DNP,0,0,0,0,0,0,0,0,0,0
1,CAR,Dee Brown,BrowDe02,2002-09-15,2002,2,REG,0,3,-2,0,0,0,0,0,0,0
2,CAR,Dee Brown,BrowDe02,2002-09-22,2002,3,REG,0,0,0,0,0,0,0,0,0,0
3,CAR,Dee Brown,BrowDe02,2002-09-29,2002,4,REG,0,9,52,0,1,0,0,0,0,0
4,CAR,Dee Brown,BrowDe02,2002-10-06,2002,5,REG,0,1,0,0,3,2,6,0,0,0
5,CAR,Dee Brown,BrowDe02,2002-10-13,2002,6,REG,0,2,9,0,0,0,0,0,0,0
6,CAR,Dee Brown,BrowDe02,2002-10-20,2002,7,REG,0,1,-3,0,1,0,0,0,0,0
7,CAR,Dee Brown,BrowDe02,2002-10-27,2002,8,REG,0,0,0,0,0,0,0,0,0,0
0,CAR,Dee Brown,BrowDe02,1970-01-01,2002,9,BYE,0,0,0,0,0,0,0,0,0,0
8,CAR,Dee Brown,BrowDe02,2002-11-10,2002,10,REG,0,3,17,0,6,3,9,0,0,0
9,CAR,Dee Brown,BrowDe02,2002-11-17,2002,11,REG,0,4,17,0,7,6,44,0,0,0
10,CAR,Dee Brown,BrowDe02,2002-11-24,2002,12,REG,0,4,29,0,5,2,8,0,0,0
11,CAR,Dee Brown,BrowDe02,2002-12-01,2002,13,REG,1,27,122,0,2,1,4,0,0,0
12,CAR,Dee Brown,BrowDe02,2002-12-08,2002,14,REG,1,17,45,1,5,2,9,0,0,0
13,CAR,Dee Brown,BrowDe02,2002-12-15,2002,15,REG,0,8,19,1,2,1,6,1,0,0
14,CAR,Dee Brown,BrowDe02,2002-12-22,2002,16,REG,1,23,55,2,1,0,0,0,0,0
0,CAR,Dee Brown,BrowDe02,2002-12-29,2002,17,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-09-07,2003,1,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-09-14,2003,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-09-21,2003,3,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-09-28,2003,4,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-10-05,2003,5,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-10-12,2003,6,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,1970-01-01,2003,7,BYE,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-10-26,2003,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-11-02,2003,9,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-11-09,2003,10,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-11-17,2003,11,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-11-23,2003,12,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dee Brown,BrowDe02,2003-11-30,2003,13,DNP,0,0,0,0,0,0,0,0,0,0
