CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NYG,Delvin Joyce,JoycDe00,2002-09-05,2002,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Delvin Joyce,JoycDe00,2002-09-15,2002,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Delvin Joyce,JoycDe00,2002-09-22,2002,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Delvin Joyce,JoycDe00,2002-09-29,2002,4,DNP,0,0,0,0,0,0,0,0,0,0
1,NYG,Delvin Joyce,JoycDe00,2002-10-06,2002,5,REG,0,1,1,0,0,0,0,0,0,0
2,NYG,Delvin Joyce,JoycDe00,2002-10-13,2002,6,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Delvin Joyce,JoycDe00,1970-01-01,2002,7,BYE,0,0,0,0,0,0,0,0,0,0
3,NYG,Delvin Joyce,JoycDe00,2002-10-28,2002,8,REG,0,1,1,0,1,1,5,0,0,0
4,NYG,Delvin Joyce,JoycDe00,2002-11-03,2002,9,REG,0,0,0,0,0,0,0,0,0,0
5,NYG,Delvin Joyce,JoycDe00,2002-11-10,2002,10,REG,0,0,0,0,0,0,0,0,0,0
6,NYG,Delvin Joyce,JoycDe00,2002-11-17,2002,11,REG,0,0,0,0,0,0,0,0,0,0
7,NYG,Delvin Joyce,JoycDe00,2002-11-24,2002,12,REG,0,0,0,0,1,0,0,0,0,0
8,NYG,Delvin Joyce,JoycDe00,2002-12-01,2002,13,REG,0,0,0,0,0,0,0,0,0,0
9,NYG,Delvin Joyce,JoycDe00,2002-12-08,2002,14,REG,0,0,0,0,0,0,0,0,0,0
10,NYG,Delvin Joyce,JoycDe00,2002-12-15,2002,15,REG,0,0,0,0,0,0,0,0,0,0
11,NYG,Delvin Joyce,JoycDe00,2002-12-22,2002,16,REG,0,0,0,0,0,0,0,0,0,0
12,NYG,Delvin Joyce,JoycDe00,2002-12-28,2002,17,REG,0,0,0,0,0,0,0,0,0,0
13,NYG,Delvin Joyce,JoycDe00,2003-01-05,2002,18,POST,0,0,0,0,0,0,0,0,0,0
14,NYG,Delvin Joyce,JoycDe00,2003-09-07,2003,1,REG,0,0,0,0,2,1,0,0,0,0
15,NYG,Delvin Joyce,JoycDe00,2003-09-15,2003,2,REG,0,0,0,0,0,0,0,0,0,0
16,NYG,Delvin Joyce,JoycDe00,2003-09-21,2003,3,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Delvin Joyce,JoycDe00,1970-01-01,2003,4,BYE,0,0,0,0,0,0,0,0,0,0
17,NYG,Delvin Joyce,JoycDe00,2003-10-05,2003,5,REG,0,3,6,0,2,1,5,0,0,0
18,NYG,Delvin Joyce,JoycDe00,2003-10-12,2003,6,REG,0,1,0,0,0,0,0,0,0,0
19,NYG,Delvin Joyce,JoycDe00,2003-10-19,2003,7,REG,0,2,9,0,0,0,0,0,0,0
20,NYG,Delvin Joyce,JoycDe00,2003-10-26,2003,8,REG,0,0,0,0,0,0,0,0,0,0
21,NYG,Delvin Joyce,JoycDe00,2003-11-02,2003,9,REG,0,0,0,0,0,0,0,0,0,0
22,NYG,Delvin Joyce,JoycDe00,2003-11-09,2003,10,REG,0,1,3,0,1,1,2,0,0,0
23,NYG,Delvin Joyce,JoycDe00,2003-11-16,2003,11,REG,0,0,0,0,0,0,0,0,0,0
24,NYG,Delvin Joyce,JoycDe00,2003-11-24,2003,12,REG,0,0,0,0,0,0,0,0,0,0
25,NYG,Delvin Joyce,JoycDe00,2003-11-30,2003,13,REG,0,0,0,0,0,0,0,0,0,0
26,NYG,Delvin Joyce,JoycDe00,2003-12-07,2003,14,REG,0,0,0,0,0,0,0,0,0,0
27,NYG,Delvin Joyce,JoycDe00,2003-12-14,2003,15,REG,0,4,21,0,0,0,0,0,0,0
28,NYG,Delvin Joyce,JoycDe00,2003-12-21,2003,16,REG,0,0,0,0,0,0,0,0,0,0
29,NYG,Delvin Joyce,JoycDe00,2003-12-28,2003,17,REG,0,0,0,0,0,0,0,0,0,0
