CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,GNB,Devante Mays,MaysDe00,2017-09-10,2017,1,REG,0,0,0,0,0,0,0,0,0,1
0,GNB,Devante Mays,MaysDe00,2017-09-17,2017,2,DNP,0,0,0,0,0,0,0,0,0,0
2,GNB,Devante Mays,MaysDe00,2017-09-24,2017,3,REG,0,0,0,0,0,0,0,0,0,11
0,GNB,Devante Mays,MaysDe00,2017-09-28,2017,4,DNP,0,0,0,0,0,0,0,0,0,0
3,GNB,Devante Mays,MaysDe00,2017-10-08,2017,5,REG,0,0,0,0,0,0,0,0,0,8
0,GNB,Devante Mays,MaysDe00,2017-10-15,2017,6,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Devante Mays,MaysDe00,2017-10-22,2017,7,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Devante Mays,MaysDe00,,2017,8,BYE,0,0,0,0,0,0,0,0,0,0
0,GNB,Devante Mays,MaysDe00,2017-11-06,2017,9,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Devante Mays,MaysDe00,2017-11-12,2017,10,DNP,0,0,0,0,0,0,0,0,0,0
4,GNB,Devante Mays,MaysDe00,2017-11-19,2017,11,REG,0,3,-1,0,0,0,0,0,5,8
0,GNB,Devante Mays,MaysDe00,2017-11-26,2017,12,DNP,0,0,0,0,0,0,0,0,0,0
5,GNB,Devante Mays,MaysDe00,2017-12-03,2017,13,REG,0,0,0,0,0,0,0,0,0,5
0,GNB,Devante Mays,MaysDe00,2017-12-10,2017,14,DNP,0,0,0,0,0,0,0,0,0,0
6,GNB,Devante Mays,MaysDe00,2017-12-17,2017,15,REG,0,0,0,0,0,0,0,0,0,4
7,GNB,Devante Mays,MaysDe00,2017-12-23,2017,16,REG,0,0,0,0,0,0,0,0,0,7
8,GNB,Devante Mays,MaysDe00,2017-12-31,2017,17,REG,0,1,2,0,3,3,0,0,9,7
