CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PHI,Dion Lewis,LewiDi00,2011-09-11,2011,1,REG,0,2,10,0,1,1,-3,0,0,0
2,PHI,Dion Lewis,LewiDi00,2011-09-18,2011,2,REG,0,0,0,0,0,0,0,0,0,0
3,PHI,Dion Lewis,LewiDi00,2011-09-25,2011,3,REG,0,1,3,0,0,0,0,0,0,0
4,PHI,Dion Lewis,LewiDi00,2011-10-02,2011,4,REG,0,0,0,0,0,0,0,0,0,0
5,PHI,Dion Lewis,LewiDi00,2011-10-09,2011,5,REG,0,2,8,0,0,0,0,0,0,0
6,PHI,Dion Lewis,LewiDi00,2011-10-16,2011,6,REG,0,2,10,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,,2011,7,BYE,0,0,0,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,2011-10-30,2011,8,DNP,0,0,0,0,0,0,0,0,0,0
7,PHI,Dion Lewis,LewiDi00,2011-11-07,2011,9,REG,0,0,0,0,0,0,0,0,0,0
8,PHI,Dion Lewis,LewiDi00,2011-11-13,2011,10,REG,0,1,2,0,0,0,0,0,0,0
9,PHI,Dion Lewis,LewiDi00,2011-11-20,2011,11,REG,0,1,1,0,0,0,0,0,0,0
10,PHI,Dion Lewis,LewiDi00,2011-11-27,2011,12,REG,0,0,0,0,0,0,0,0,0,0
11,PHI,Dion Lewis,LewiDi00,2011-12-01,2011,13,REG,0,0,0,0,0,0,0,0,0,0
12,PHI,Dion Lewis,LewiDi00,2011-12-11,2011,14,REG,0,0,0,0,0,0,0,0,0,0
13,PHI,Dion Lewis,LewiDi00,2011-12-18,2011,15,REG,0,2,10,0,0,0,0,0,0,0
14,PHI,Dion Lewis,LewiDi00,2011-12-24,2011,16,REG,0,0,0,0,0,0,0,0,0,0
15,PHI,Dion Lewis,LewiDi00,2012-01-01,2011,17,REG,0,12,58,1,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,2012-09-09,2012,1,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,2012-09-16,2012,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,2012-09-23,2012,3,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,2012-09-30,2012,4,DNP,0,0,0,0,0,0,0,0,0,0
16,PHI,Dion Lewis,LewiDi00,2012-10-07,2012,5,REG,0,0,0,0,0,0,0,0,3,6
0,PHI,Dion Lewis,LewiDi00,2012-10-14,2012,6,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,,2012,7,BYE,0,0,0,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,2012-10-28,2012,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Dion Lewis,LewiDi00,2012-11-05,2012,9,DNP,0,0,0,0,0,0,0,0,0,0
17,PHI,Dion Lewis,LewiDi00,2012-11-11,2012,10,REG,0,0,0,0,0,0,0,0,0,9
18,PHI,Dion Lewis,LewiDi00,2012-11-18,2012,11,REG,0,0,0,0,0,0,0,0,0,9
19,PHI,Dion Lewis,LewiDi00,2012-11-26,2012,12,REG,0,5,24,0,0,0,0,0,8,11
20,PHI,Dion Lewis,LewiDi00,2012-12-02,2012,13,REG,0,2,14,0,0,0,0,0,5,8
21,PHI,Dion Lewis,LewiDi00,2012-12-09,2012,14,REG,0,1,-4,0,1,1,28,0,26,17
22,PHI,Dion Lewis,LewiDi00,2012-12-13,2012,15,REG,0,1,3,0,1,1,-4,0,5,16
23,PHI,Dion Lewis,LewiDi00,2012-12-23,2012,16,REG,0,1,17,1,0,0,0,0,3,1
24,PHI,Dion Lewis,LewiDi00,2012-12-30,2012,17,REG,0,3,15,0,0,0,0,0,10,2
0,IND,Dion Lewis,LewiDi00,2014-09-07,2014,1,DNP,0,0,0,0,0,0,0,0,0,0
