CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PIT,Dri Archer,ArchDr00,2014-09-07,2014,1,REG,0,1,4,0,1,0,0,0,14,6
0,PIT,Dri Archer,ArchDr00,2014-09-11,2014,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2014-09-21,2014,3,DNP,0,0,0,0,0,0,0,0,0,0
2,PIT,Dri Archer,ArchDr00,2014-09-28,2014,4,REG,0,0,0,0,1,1,1,0,3,7
3,PIT,Dri Archer,ArchDr00,2014-10-05,2014,5,REG,0,1,2,0,2,2,8,0,6,5
4,PIT,Dri Archer,ArchDr00,2014-10-12,2014,6,REG,0,3,24,0,1,1,0,0,4,9
5,PIT,Dri Archer,ArchDr00,2014-10-20,2014,7,REG,0,2,7,0,0,0,0,0,3,6
6,PIT,Dri Archer,ArchDr00,2014-10-26,2014,8,REG,0,0,0,0,1,0,0,0,1,0
7,PIT,Dri Archer,ArchDr00,2014-11-02,2014,9,REG,0,1,4,0,1,0,0,0,3,5
8,PIT,Dri Archer,ArchDr00,2014-11-09,2014,10,REG,0,0,0,0,0,0,0,0,2,10
9,PIT,Dri Archer,ArchDr00,2014-11-17,2014,11,REG,0,0,0,0,1,1,-5,0,2,1
0,PIT,Dri Archer,ArchDr00,,2014,12,BYE,0,0,0,0,0,0,0,0,0,0
10,PIT,Dri Archer,ArchDr00,2014-11-30,2014,13,REG,0,1,0,0,0,0,0,0,3,3
0,PIT,Dri Archer,ArchDr00,2014-12-07,2014,14,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2014-12-14,2014,15,DNP,0,0,0,0,0,0,0,0,0,0
11,PIT,Dri Archer,ArchDr00,2014-12-21,2014,16,REG,0,0,0,0,0,0,0,0,1,0
12,PIT,Dri Archer,ArchDr00,2014-12-28,2014,17,REG,0,1,-1,0,2,2,19,0,8,0
13,PIT,Dri Archer,ArchDr00,2015-01-03,2014,18,POST,0,1,-1,0,4,3,15,0,31,0
14,PIT,Dri Archer,ArchDr00,2015-09-10,2015,1,REG,0,0,0,0,0,0,0,0,3,5
15,PIT,Dri Archer,ArchDr00,2015-09-20,2015,2,REG,0,0,0,0,0,0,0,0,0,4
16,PIT,Dri Archer,ArchDr00,2015-09-27,2015,3,REG,0,0,0,0,0,0,0,0,0,3
17,PIT,Dri Archer,ArchDr00,2015-10-01,2015,4,REG,0,0,0,0,0,0,0,0,0,6
18,PIT,Dri Archer,ArchDr00,2015-10-12,2015,5,REG,0,0,0,0,0,0,0,0,0,5
19,PIT,Dri Archer,ArchDr00,2015-10-18,2015,6,REG,0,0,0,0,0,0,0,0,0,4
20,PIT,Dri Archer,ArchDr00,2015-10-25,2015,7,REG,0,0,0,0,0,0,0,0,0,6
21,PIT,Dri Archer,ArchDr00,2015-11-01,2015,8,REG,0,0,0,0,0,0,0,0,0,5
0,PIT,Dri Archer,ArchDr00,2015-11-08,2015,9,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2015-11-15,2015,10,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,,2015,11,BYE,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2015-11-29,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2015-12-06,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2015-12-20,2015,15,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2015-12-27,2015,16,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Dri Archer,ArchDr00,2016-01-03,2015,17,DNP,0,0,0,0,0,0,0,0,0,0
