CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DET,Dwayne Washington,WashDw00,2016-09-11,2016,1,REG,0,2,1,1,0,0,0,0,2,17
2,DET,Dwayne Washington,WashDw00,2016-09-18,2016,2,REG,0,4,31,0,0,0,0,0,11,15
3,DET,Dwayne Washington,WashDw00,2016-09-25,2016,3,REG,0,10,38,0,1,1,-3,0,25,9
4,DET,Dwayne Washington,WashDw00,2016-10-02,2016,4,REG,0,2,6,0,1,1,8,0,7,4
0,DET,Dwayne Washington,WashDw00,2016-10-09,2016,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2016-10-16,2016,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2016-10-23,2016,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2016-10-30,2016,8,DNP,0,0,0,0,0,0,0,0,0,0
5,DET,Dwayne Washington,WashDw00,2016-11-06,2016,9,REG,0,10,26,0,1,0,0,0,21,0
0,DET,Dwayne Washington,WashDw00,,2016,10,BYE,0,0,0,0,0,0,0,0,0,0
6,DET,Dwayne Washington,WashDw00,2016-11-20,2016,11,REG,0,13,6,0,2,2,15,0,24,0
7,DET,Dwayne Washington,WashDw00,2016-11-24,2016,12,REG,0,5,19,0,0,0,0,0,13,0
8,DET,Dwayne Washington,WashDw00,2016-12-04,2016,13,REG,0,7,21,0,2,2,19,0,23,0
9,DET,Dwayne Washington,WashDw00,2016-12-11,2016,14,REG,1,16,64,0,2,1,10,0,44,0
10,DET,Dwayne Washington,WashDw00,2016-12-18,2016,15,REG,1,14,31,0,4,2,9,0,44,0
11,DET,Dwayne Washington,WashDw00,2016-12-26,2016,16,REG,0,7,22,0,2,1,4,0,16,3
12,DET,Dwayne Washington,WashDw00,2017-01-01,2016,17,REG,0,0,0,0,0,0,0,0,0,14
13,DET,Dwayne Washington,WashDw00,2017-01-07,2016,18,POST,0,0,0,0,0,0,0,0,1,16
14,DET,Dwayne Washington,WashDw00,2017-09-10,2017,1,REG,0,6,22,0,0,0,0,0,14,19
15,DET,Dwayne Washington,WashDw00,2017-09-18,2017,2,REG,0,3,9,0,0,0,0,0,7,10
0,DET,Dwayne Washington,WashDw00,2017-09-24,2017,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-10-01,2017,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-10-08,2017,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-10-15,2017,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,,2017,7,BYE,0,0,0,0,0,0,0,0,0,0
16,DET,Dwayne Washington,WashDw00,2017-10-29,2017,8,REG,0,6,12,0,1,1,4,0,14,12
17,DET,Dwayne Washington,WashDw00,2017-11-06,2017,9,REG,0,5,1,0,0,0,0,0,11,12
18,DET,Dwayne Washington,WashDw00,2017-11-12,2017,10,REG,0,0,0,0,1,1,10,0,4,16
0,DET,Dwayne Washington,WashDw00,2017-11-19,2017,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-11-23,2017,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-12-03,2017,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-12-10,2017,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-12-16,2017,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-12-24,2017,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Dwayne Washington,WashDw00,2017-12-31,2017,17,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Dwayne Washington,WashDw00,2018-09-09,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Dwayne Washington,WashDw00,2018-09-16,2018,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Dwayne Washington,WashDw00,2018-09-23,2018,3,DNP,0,0,0,0,0,0,0,0,0,0
19,NOR,Dwayne Washington,WashDw00,2018-09-30,2018,4,REG,0,2,2,0,0,0,0,0,2,12
20,NOR,Dwayne Washington,WashDw00,2018-10-08,2018,5,REG,0,0,0,0,0,0,0,0,0,14
0,NOR,Dwayne Washington,WashDw00,,2018,6,BYE,0,0,0,0,0,0,0,0,0,0
21,NOR,Dwayne Washington,WashDw00,2018-10-21,2018,7,REG,0,0,0,0,0,0,0,0,0,12
22,NOR,Dwayne Washington,WashDw00,2018-10-28,2018,8,REG,0,0,0,0,0,0,0,0,0,12
23,NOR,Dwayne Washington,WashDw00,2018-11-04,2018,9,REG,0,0,0,0,0,0,0,0,0,15
24,NOR,Dwayne Washington,WashDw00,2018-11-11,2018,10,REG,0,11,47,0,0,0,0,0,16,17
25,NOR,Dwayne Washington,WashDw00,2018-11-18,2018,11,REG,0,3,-3,0,0,0,0,0,4,15
26,NOR,Dwayne Washington,WashDw00,2018-11-22,2018,12,REG,0,0,0,0,0,0,0,0,0,11
27,NOR,Dwayne Washington,WashDw00,2018-11-29,2018,13,REG,0,0,0,0,0,0,0,0,0,12
28,NOR,Dwayne Washington,WashDw00,2018-12-09,2018,14,REG,0,0,0,0,0,0,0,0,0,15
29,NOR,Dwayne Washington,WashDw00,2018-12-17,2018,15,REG,0,0,0,0,0,0,0,0,0,11
30,NOR,Dwayne Washington,WashDw00,2018-12-23,2018,16,REG,0,0,0,0,0,0,0,0,0,15
31,NOR,Dwayne Washington,WashDw00,2018-12-30,2018,17,REG,0,11,108,0,0,0,0,0,24,12
32,NOR,Dwayne Washington,WashDw00,2019-09-09,2019,1,REG,0,0,0,0,0,0,0,0,0,18
33,NOR,Dwayne Washington,WashDw00,2019-09-15,2019,2,REG,0,0,0,0,0,0,0,0,0,15
34,NOR,Dwayne Washington,WashDw00,2019-09-22,2019,3,REG,0,0,0,0,0,0,0,0,0,19
35,NOR,Dwayne Washington,WashDw00,2019-09-29,2019,4,REG,0,0,0,0,0,0,0,0,0,13
36,NOR,Dwayne Washington,WashDw00,2019-10-06,2019,5,REG,0,0,0,0,0,0,0,0,0,21
37,NOR,Dwayne Washington,WashDw00,2019-10-13,2019,6,REG,0,0,0,0,0,0,0,0,0,18
38,NOR,Dwayne Washington,WashDw00,2019-10-20,2019,7,REG,0,0,0,0,1,1,6,0,1,22
39,NOR,Dwayne Washington,WashDw00,2019-10-27,2019,8,REG,0,3,38,0,0,0,0,0,6,13
0,NOR,Dwayne Washington,WashDw00,,2019,9,BYE,0,0,0,0,0,0,0,0,0,0
40,NOR,Dwayne Washington,WashDw00,2019-11-10,2019,10,REG,0,0,0,0,0,0,0,0,0,18
41,NOR,Dwayne Washington,WashDw00,2019-11-17,2019,11,REG,0,0,0,0,0,0,0,0,0,16
42,NOR,Dwayne Washington,WashDw00,2019-11-24,2019,12,REG,0,0,0,0,0,0,0,0,0,19
43,NOR,Dwayne Washington,WashDw00,2019-11-28,2019,13,REG,0,0,0,0,0,0,0,0,0,19
44,NOR,Dwayne Washington,WashDw00,2019-12-08,2019,14,REG,0,0,0,0,0,0,0,0,0,23
45,NOR,Dwayne Washington,WashDw00,2019-12-16,2019,15,REG,0,3,20,0,0,0,0,0,6,16
46,NOR,Dwayne Washington,WashDw00,2019-12-22,2019,16,REG,0,0,0,0,0,0,0,0,0,24
47,NOR,Dwayne Washington,WashDw00,2019-12-29,2019,17,REG,0,2,2,0,0,0,0,0,5,21
48,NOR,Dwayne Washington,WashDw00,2020-01-05,2019,18,POST,0,0,0,0,0,0,0,0,0,23
0,NOR,Dwayne Washington,WashDw00,2020-09-13,2020,1,DNP,0,0,0,0,0,0,0,0,0,0
