CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,IND,Evan Hull,HullEv00,2023-09-10,2023,1,REG,0,1,1,0,1,1,6,0,8,0
0,IND,Evan Hull,HullEv00,2023-09-17,2023,2,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-09-24,2023,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-10-01,2023,4,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-10-08,2023,5,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-10-15,2023,6,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-10-22,2023,7,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-10-29,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-11-05,2023,9,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-11-12,2023,10,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,,2023,11,BYE,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-11-26,2023,12,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-12-03,2023,13,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-12-10,2023,14,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-12-16,2023,15,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-12-24,2023,16,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2023-12-31,2023,17,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-01-06,2023,18,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-09-08,2024,1,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-09-15,2024,2,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-09-22,2024,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-09-29,2024,4,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-10-06,2024,5,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-10-13,2024,6,DNP,0,0,0,0,0,0,0,0,0,0
2,IND,Evan Hull,HullEv00,2024-10-20,2024,7,REG,0,0,0,0,0,0,0,0,1,0
0,IND,Evan Hull,HullEv00,2024-10-27,2024,8,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-11-03,2024,9,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-11-10,2024,10,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-11-17,2024,11,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-11-24,2024,12,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-12-01,2024,13,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,,2024,14,BYE,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-12-15,2024,15,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-12-22,2024,16,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2024-12-29,2024,17,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Evan Hull,HullEv00,2025-01-05,2024,18,DNP,0,0,0,0,0,0,0,0,0,0
