CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NYG,Gary Brightwell,BrigGa00,2021-09-12,2021,1,REG,0,0,0,0,1,1,6,0,8,11
2,NYG,Gary Brightwell,BrigGa00,2021-09-16,2021,2,REG,0,0,0,0,0,0,0,0,0,20
3,NYG,Gary Brightwell,BrigGa00,2021-09-26,2021,3,REG,0,1,4,0,0,0,0,0,2,13
4,NYG,Gary Brightwell,BrigGa00,2021-10-03,2021,4,REG,0,0,0,0,0,0,0,0,0,15
5,NYG,Gary Brightwell,BrigGa00,2021-10-10,2021,5,REG,0,0,0,0,0,0,0,0,0,16
6,NYG,Gary Brightwell,BrigGa00,2021-10-17,2021,6,REG,0,0,0,0,0,0,0,0,0,15
7,NYG,Gary Brightwell,BrigGa00,2021-10-24,2021,7,REG,0,0,0,0,0,0,0,0,0,18
8,NYG,Gary Brightwell,BrigGa00,2021-11-01,2021,8,REG,0,0,0,0,0,0,0,0,0,17
0,NYG,Gary Brightwell,BrigGa00,2021-11-07,2021,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Gary Brightwell,BrigGa00,,2021,10,BYE,0,0,0,0,0,0,0,0,0,0
9,NYG,Gary Brightwell,BrigGa00,2021-11-22,2021,11,REG,0,0,0,0,0,0,0,0,1,16
10,NYG,Gary Brightwell,BrigGa00,2021-11-28,2021,12,REG,0,0,0,0,0,0,0,0,1,12
11,NYG,Gary Brightwell,BrigGa00,2021-12-05,2021,13,REG,0,0,0,0,0,0,0,0,0,18
12,NYG,Gary Brightwell,BrigGa00,2021-12-12,2021,14,REG,0,0,0,0,0,0,0,0,0,20
13,NYG,Gary Brightwell,BrigGa00,2021-12-19,2021,15,REG,0,0,0,0,0,0,0,0,0,4
0,NYG,Gary Brightwell,BrigGa00,2021-12-26,2021,16,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Gary Brightwell,BrigGa00,2022-01-02,2021,17,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Gary Brightwell,BrigGa00,2022-01-09,2021,18,DNP,0,0,0,0,0,0,0,0,0,0
14,NYG,Gary Brightwell,BrigGa00,2022-09-11,2022,1,REG,0,0,0,0,0,0,0,0,0,19
15,NYG,Gary Brightwell,BrigGa00,2022-09-18,2022,2,REG,0,1,14,0,0,0,0,0,1,17
16,NYG,Gary Brightwell,BrigGa00,2022-09-26,2022,3,REG,0,0,0,0,0,0,0,0,0,16
