CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,RAM,Gaston Green,GreeGa00,1988-09-04,1988,1,REG,0,5,14,0,1,1,14,0,0,0
2,RAM,Gaston Green,GreeGa00,1988-09-11,1988,2,REG,0,1,3,0,0,0,0,0,0,0
3,RAM,Gaston Green,GreeGa00,1988-09-18,1988,3,REG,0,4,10,0,0,0,0,0,0,0
4,RAM,Gaston Green,GreeGa00,1988-09-25,1988,4,REG,0,2,2,0,0,0,0,0,0,0
5,RAM,Gaston Green,GreeGa00,1988-10-02,1988,5,REG,0,1,1,0,3,2,10,0,0,0
6,RAM,Gaston Green,GreeGa00,1988-10-09,1988,6,REG,0,14,61,0,2,2,34,0,0,0
7,RAM,Gaston Green,GreeGa00,1988-10-16,1988,7,REG,0,2,6,0,0,0,0,0,0,0
8,RAM,Gaston Green,GreeGa00,1988-10-30,1988,9,REG,0,1,1,0,1,0,0,0,0,0
9,RAM,Gaston Green,GreeGa00,1988-11-20,1988,12,REG,0,0,0,0,0,0,0,0,0,0
10,RAM,Gaston Green,GreeGa00,1988-12-11,1988,15,REG,0,5,19,0,1,1,-1,0,0,0
11,RAM,Gaston Green,GreeGa00,1989-09-10,1989,1,REG,0,4,6,0,1,1,-5,0,0,0
12,RAM,Gaston Green,GreeGa00,1989-10-08,1989,5,REG,0,9,36,0,1,0,0,0,0,0
13,RAM,Gaston Green,GreeGa00,1989-10-22,1989,7,REG,0,1,1,0,0,0,0,0,0,0
14,RAM,Gaston Green,GreeGa00,1989-10-29,1989,8,REG,1,5,14,0,0,0,0,0,0,0
15,RAM,Gaston Green,GreeGa00,1989-11-19,1989,11,REG,0,3,9,0,0,0,0,0,0,0
16,RAM,Gaston Green,GreeGa00,1989-12-17,1989,15,REG,0,4,7,0,0,0,0,0,0,0
17,RAM,Gaston Green,GreeGa00,1990-09-09,1990,1,REG,0,5,12,0,0,0,0,0,0,0
18,RAM,Gaston Green,GreeGa00,1990-09-16,1990,2,REG,0,9,44,0,1,1,7,0,0,0
19,RAM,Gaston Green,GreeGa00,1990-09-23,1990,3,REG,0,1,9,0,0,0,0,0,0,0
0,RAM,Gaston Green,GreeGa00,,1990,4,BYE,0,0,0,0,0,0,0,0,0,0
0,RAM,Gaston Green,GreeGa00,1990-10-07,1990,5,DNP,0,0,0,0,0,0,0,0,0,0
0,RAM,Gaston Green,GreeGa00,1990-10-07,1990,5,DNP,0,0,0,0,0,0,0,0,0,0
20,RAM,Gaston Green,GreeGa00,1990-10-14,1990,6,REG,0,5,20,0,0,0,0,0,0,0
21,RAM,Gaston Green,GreeGa00,1990-10-21,1990,7,REG,1,3,4,0,0,0,0,0,0,0
22,RAM,Gaston Green,GreeGa00,1990-10-29,1990,8,REG,0,0,0,0,0,0,0,0,0,0
23,RAM,Gaston Green,GreeGa00,1990-11-04,1990,9,REG,0,0,0,0,0,0,0,0,0,0
24,RAM,Gaston Green,GreeGa00,1990-11-11,1990,10,REG,0,1,31,0,0,0,0,0,0,0
25,RAM,Gaston Green,GreeGa00,1990-11-18,1990,11,REG,0,2,6,0,0,0,0,0,0,0
26,RAM,Gaston Green,GreeGa00,1990-11-25,1990,12,REG,0,5,11,0,0,0,0,0,0,0
27,RAM,Gaston Green,GreeGa00,1990-12-02,1990,13,REG,0,13,57,0,1,1,16,1,0,0
28,RAM,Gaston Green,GreeGa00,1990-12-09,1990,14,REG,0,6,20,0,0,0,0,0,0,0
29,RAM,Gaston Green,GreeGa00,1990-12-17,1990,15,REG,1,12,34,0,0,0,0,0,0,0
30,RAM,Gaston Green,GreeGa00,1990-12-23,1990,16,REG,1,6,13,0,1,0,0,0,0,0
31,RAM,Gaston Green,GreeGa00,1990-12-31,1990,17,REG,0,0,0,0,0,0,0,0,0,0
32,DEN,Gaston Green,GreeGa00,1991-09-01,1991,1,REG,1,24,116,0,1,1,9,0,0,0
33,DEN,Gaston Green,GreeGa00,1991-09-08,1991,2,REG,1,11,25,0,4,3,18,0,0,0
34,DEN,Gaston Green,GreeGa00,1991-09-15,1991,3,REG,1,25,92,0,2,1,10,0,0,0
35,DEN,Gaston Green,GreeGa00,1991-09-22,1991,4,REG,1,24,127,3,3,2,12,0,0,0
36,DEN,Gaston Green,GreeGa00,1991-09-29,1991,5,REG,1,26,158,0,3,1,9,0,0,0
