CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DEN,Gene Lang,LangGe00,1984-09-02,1984,1,REG,0,3,18,1,1,1,5,0,0,0
2,DEN,Gene Lang,LangGe00,1984-09-09,1984,2,REG,0,1,6,0,1,1,4,0,0,0
3,DEN,Gene Lang,LangGe00,1984-09-16,1984,3,REG,0,1,6,0,0,0,0,0,0,0
4,DEN,Gene Lang,LangGe00,1984-09-23,1984,4,REG,0,0,0,0,0,0,0,0,0,0
5,DEN,Gene Lang,LangGe00,1984-09-30,1984,5,REG,0,0,0,0,0,0,0,0,0,0
6,DEN,Gene Lang,LangGe00,1984-10-07,1984,6,REG,0,0,0,0,0,0,0,0,0,0
7,DEN,Gene Lang,LangGe00,1984-10-15,1984,7,REG,0,0,0,0,0,0,0,0,0,0
8,DEN,Gene Lang,LangGe00,1984-10-21,1984,8,REG,0,0,0,0,0,0,0,0,0,0
9,DEN,Gene Lang,LangGe00,1984-10-28,1984,9,REG,0,0,0,0,0,0,0,0,0,0
10,DEN,Gene Lang,LangGe00,1984-11-04,1984,10,REG,0,0,0,0,0,0,0,0,0,0
11,DEN,Gene Lang,LangGe00,1984-11-11,1984,11,REG,0,0,0,0,0,0,0,0,0,0
12,DEN,Gene Lang,LangGe00,1984-11-18,1984,12,REG,0,2,10,0,0,0,0,0,0,0
13,DEN,Gene Lang,LangGe00,1984-11-25,1984,13,REG,0,1,2,1,2,2,15,1,0,0
14,DEN,Gene Lang,LangGe00,1984-12-02,1984,14,REG,0,0,0,0,0,0,0,0,0,0
15,DEN,Gene Lang,LangGe00,1984-12-09,1984,15,REG,0,0,0,0,0,0,0,0,0,0
16,DEN,Gene Lang,LangGe00,1984-12-15,1984,16,REG,0,0,0,0,0,0,0,0,0,0
17,DEN,Gene Lang,LangGe00,1984-12-30,1984,18,POST,0,0,0,0,0,0,0,0,0,0
18,DEN,Gene Lang,LangGe00,1985-09-08,1985,1,REG,0,3,-5,0,1,1,8,0,0,0
19,DEN,Gene Lang,LangGe00,1985-09-15,1985,2,REG,0,0,0,0,2,1,10,1,0,0
20,DEN,Gene Lang,LangGe00,1985-09-22,1985,3,REG,0,17,77,1,6,3,25,0,0,0
21,DEN,Gene Lang,LangGe00,1985-09-29,1985,4,REG,0,6,30,1,3,2,29,0,0,0
22,DEN,Gene Lang,LangGe00,1985-10-06,1985,5,REG,0,10,25,0,1,0,0,0,0,0
23,DEN,Gene Lang,LangGe00,1985-10-13,1985,6,REG,0,5,8,0,0,0,0,0,0,0
24,DEN,Gene Lang,LangGe00,1985-10-20,1985,7,REG,0,9,28,0,1,0,0,0,0,0
25,DEN,Gene Lang,LangGe00,1985-10-27,1985,8,REG,1,12,71,1,7,5,33,0,0,0
26,DEN,Gene Lang,LangGe00,1985-11-03,1985,9,REG,0,0,0,0,1,1,6,0,0,0
27,DEN,Gene Lang,LangGe00,1985-11-11,1985,10,REG,0,3,26,0,1,1,3,1,0,0
28,DEN,Gene Lang,LangGe00,1985-11-17,1985,11,REG,1,15,51,2,7,5,45,0,0,0
29,DEN,Gene Lang,LangGe00,1985-12-01,1985,13,REG,0,4,7,0,5,4,21,0,0,0
30,DEN,Gene Lang,LangGe00,1986-09-07,1986,1,REG,1,9,28,1,4,3,12,1,0,0
31,DEN,Gene Lang,LangGe00,1986-09-15,1986,2,REG,1,4,16,0,2,0,0,0,0,0
32,DEN,Gene Lang,LangGe00,1986-09-21,1986,3,REG,0,0,0,0,0,0,0,0,0,0
33,DEN,Gene Lang,LangGe00,1986-09-28,1986,4,REG,0,0,0,0,0,0,0,0,0,0
34,DEN,Gene Lang,LangGe00,1986-10-05,1986,5,REG,0,1,3,0,1,1,12,1,0,0
35,DEN,Gene Lang,LangGe00,1986-10-12,1986,6,REG,0,4,16,0,0,0,0,0,0,0
36,DEN,Gene Lang,LangGe00,1986-10-20,1986,7,REG,0,0,0,0,0,0,0,0,0,0
37,DEN,Gene Lang,LangGe00,1986-11-02,1986,9,REG,0,0,0,0,0,0,0,0,0,0
38,DEN,Gene Lang,LangGe00,1986-11-09,1986,10,REG,0,1,1,0,0,0,0,0,0,0
