CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CIN,Giovani Bernard,BernGi00,2013-09-08,2013,1,REG,0,4,22,0,2,1,8,0,21,3
2,CIN,Giovani Bernard,BernGi00,2013-09-16,2013,2,REG,0,8,38,1,2,1,27,1,28,0
3,CIN,Giovani Bernard,BernGi00,2013-09-22,2013,3,REG,0,10,50,1,4,4,49,0,30,0
4,CIN,Giovani Bernard,BernGi00,2013-09-29,2013,4,REG,0,10,37,0,7,6,38,0,50,0
5,CIN,Giovani Bernard,BernGi00,2013-10-06,2013,5,REG,0,13,62,0,3,2,7,0,34,0
6,CIN,Giovani Bernard,BernGi00,2013-10-13,2013,6,REG,0,15,28,0,7,6,72,1,50,0
7,CIN,Giovani Bernard,BernGi00,2013-10-20,2013,7,REG,0,7,27,0,6,5,32,0,28,0
8,CIN,Giovani Bernard,BernGi00,2013-10-27,2013,8,REG,0,5,18,0,2,1,9,0,26,0
9,CIN,Giovani Bernard,BernGi00,2013-10-31,2013,9,REG,0,9,79,2,4,4,25,0,45,0
10,CIN,Giovani Bernard,BernGi00,2013-11-10,2013,10,REG,0,14,58,0,8,8,37,1,60,0
11,CIN,Giovani Bernard,BernGi00,2013-11-17,2013,11,REG,0,10,45,0,5,4,41,0,30,0
0,CIN,Giovani Bernard,BernGi00,,2013,12,BYE,0,0,0,0,0,0,0,0,0,0
12,CIN,Giovani Bernard,BernGi00,2013-12-01,2013,13,REG,0,14,57,0,2,1,9,0,31,0
13,CIN,Giovani Bernard,BernGi00,2013-12-08,2013,14,REG,0,12,99,0,4,4,49,0,42,0
14,CIN,Giovani Bernard,BernGi00,2013-12-15,2013,15,REG,0,13,33,1,4,2,13,0,52,0
15,CIN,Giovani Bernard,BernGi00,2013-12-22,2013,16,REG,0,13,20,0,4,2,47,0,43,0
16,CIN,Giovani Bernard,BernGi00,2013-12-29,2013,17,REG,0,13,22,0,7,5,51,0,43,0
17,CIN,Giovani Bernard,BernGi00,2014-01-05,2013,18,POST,0,12,45,0,11,7,73,0,67,0
18,CIN,Giovani Bernard,BernGi00,2014-09-07,2014,1,REG,1,14,48,0,10,6,62,0,57,0
19,CIN,Giovani Bernard,BernGi00,2014-09-14,2014,2,REG,1,27,90,1,6,5,79,0,45,0
20,CIN,Giovani Bernard,BernGi00,2014-09-21,2014,3,REG,1,14,47,2,3,1,7,0,39,1
0,CIN,Giovani Bernard,BernGi00,,2014,4,BYE,0,0,0,0,0,0,0,0,0,0
21,CIN,Giovani Bernard,BernGi00,2014-10-05,2014,5,REG,1,13,62,0,3,2,10,0,42,0
22,CIN,Giovani Bernard,BernGi00,2014-10-12,2014,6,REG,1,18,137,1,5,4,20,0,55,0
23,CIN,Giovani Bernard,BernGi00,2014-10-19,2014,7,REG,1,7,17,0,5,2,-1,0,40,0
24,CIN,Giovani Bernard,BernGi00,2014-10-26,2014,8,REG,1,16,45,1,2,2,2,0,37,0
0,CIN,Giovani Bernard,BernGi00,2014-11-02,2014,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Giovani Bernard,BernGi00,2014-11-06,2014,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Giovani Bernard,BernGi00,2014-11-16,2014,11,DNP,0,0,0,0,0,0,0,0,0,0
25,CIN,Giovani Bernard,BernGi00,2014-11-23,2014,12,REG,1,17,45,0,3,2,22,0,49,0
26,CIN,Giovani Bernard,BernGi00,2014-11-30,2014,13,REG,0,10,49,0,1,1,4,0,30,0
27,CIN,Giovani Bernard,BernGi00,2014-12-07,2014,14,REG,1,6,17,0,5,3,19,0,34,0
28,CIN,Giovani Bernard,BernGi00,2014-12-14,2014,15,REG,0,15,79,0,3,3,24,0,28,0
29,CIN,Giovani Bernard,BernGi00,2014-12-22,2014,16,REG,0,8,36,0,5,5,45,1,24,0
30,CIN,Giovani Bernard,BernGi00,2014-12-28,2014,17,REG,0,3,8,0,8,7,56,1,30,0
31,CIN,Giovani Bernard,BernGi00,2015-01-04,2014,18,POST,0,3,6,0,9,8,46,0,40,0
32,CIN,Giovani Bernard,BernGi00,2015-09-13,2015,1,REG,0,8,63,0,6,6,25,0,30,0
33,CIN,Giovani Bernard,BernGi00,2015-09-20,2015,2,REG,0,20,123,0,3,3,16,0,45,0
34,CIN,Giovani Bernard,BernGi00,2015-09-27,2015,3,REG,0,13,49,0,4,3,34,0,48,0
35,CIN,Giovani Bernard,BernGi00,2015-10-04,2015,4,REG,0,13,62,1,0,0,0,0,23,1
36,CIN,Giovani Bernard,BernGi00,2015-10-11,2015,5,REG,0,15,80,0,8,5,21,0,66,0
