CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,JAX,Greg Jones,JoneGr01,2004-09-12,2004,1,REG,0,1,3,0,0,0,0,0,0,0
2,JAX,Greg Jones,JoneGr01,2004-09-19,2004,2,REG,0,2,9,0,1,0,0,0,0,0
3,JAX,Greg Jones,JoneGr01,2004-09-26,2004,3,REG,0,2,7,0,0,0,0,0,0,0
4,JAX,Greg Jones,JoneGr01,2004-10-03,2004,4,REG,0,4,15,0,1,0,0,0,0,0
5,JAX,Greg Jones,JoneGr01,2004-10-10,2004,5,REG,1,0,0,0,2,1,1,0,0,0
6,JAX,Greg Jones,JoneGr01,2004-10-17,2004,6,REG,0,1,10,0,0,0,0,0,0,0
7,JAX,Greg Jones,JoneGr01,2004-10-24,2004,7,REG,0,3,10,0,0,0,0,0,0,0
8,JAX,Greg Jones,JoneGr01,2004-10-31,2004,8,REG,0,2,3,0,1,1,3,0,0,0
0,JAX,Greg Jones,JoneGr01,,2004,9,BYE,0,0,0,0,0,0,0,0,0,0
9,JAX,Greg Jones,JoneGr01,2004-11-14,2004,10,REG,0,8,12,1,2,1,9,0,0,0
10,JAX,Greg Jones,JoneGr01,2004-11-21,2004,11,REG,0,2,2,0,0,0,0,0,0,0
11,JAX,Greg Jones,JoneGr01,2004-11-28,2004,12,REG,0,0,0,0,0,0,0,0,0,0
12,JAX,Greg Jones,JoneGr01,2004-12-05,2004,13,REG,0,0,0,0,1,0,0,0,0,0
13,JAX,Greg Jones,JoneGr01,2004-12-12,2004,14,REG,0,3,3,0,1,0,0,0,0,0
14,JAX,Greg Jones,JoneGr01,2004-12-19,2004,15,REG,0,9,20,1,0,0,0,0,0,0
15,JAX,Greg Jones,JoneGr01,2004-12-26,2004,16,REG,1,9,38,0,1,0,0,0,0,0
16,JAX,Greg Jones,JoneGr01,2005-01-02,2004,17,REG,1,16,30,1,0,0,0,0,0,0
17,JAX,Greg Jones,JoneGr01,2005-09-11,2005,1,REG,1,0,0,0,1,1,10,0,0,0
18,JAX,Greg Jones,JoneGr01,2005-09-18,2005,2,REG,1,3,29,0,1,0,0,0,0,0
19,JAX,Greg Jones,JoneGr01,2005-09-25,2005,3,REG,1,4,7,0,0,0,0,0,0,0
20,JAX,Greg Jones,JoneGr01,2005-10-02,2005,4,REG,1,1,2,0,1,1,4,0,0,0
21,JAX,Greg Jones,JoneGr01,2005-10-09,2005,5,REG,1,4,24,0,2,0,0,0,0,0
22,JAX,Greg Jones,JoneGr01,2005-10-16,2005,6,REG,1,18,77,1,1,1,10,0,0,0
0,JAX,Greg Jones,JoneGr01,,2005,7,BYE,0,0,0,0,0,0,0,0,0,0
23,JAX,Greg Jones,JoneGr01,2005-10-30,2005,8,REG,1,4,2,0,0,0,0,0,0,0
24,JAX,Greg Jones,JoneGr01,2005-11-06,2005,9,REG,0,7,27,1,0,0,0,0,0,0
25,JAX,Greg Jones,JoneGr01,2005-11-13,2005,10,REG,1,25,106,1,2,1,7,0,0,0
26,JAX,Greg Jones,JoneGr01,2005-11-20,2005,11,REG,1,16,33,0,2,2,7,0,0,0
27,JAX,Greg Jones,JoneGr01,2005-11-27,2005,12,REG,1,23,78,1,1,0,0,0,0,0
28,JAX,Greg Jones,JoneGr01,2005-12-04,2005,13,REG,1,27,103,0,1,1,9,0,0,0
29,JAX,Greg Jones,JoneGr01,2005-12-11,2005,14,REG,1,7,43,0,1,1,8,0,0,0
30,JAX,Greg Jones,JoneGr01,2005-12-18,2005,15,REG,1,12,44,0,2,2,10,0,0,0
0,JAX,Greg Jones,JoneGr01,2005-12-24,2005,16,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2006-01-01,2005,17,DNP,0,0,0,0,0,0,0,0,0,0
31,JAX,Greg Jones,JoneGr01,2006-01-07,2005,18,POST,1,2,15,0,0,0,0,0,0,0
32,JAX,Greg Jones,JoneGr01,2007-09-09,2007,1,REG,1,0,0,0,0,0,0,0,0,0
33,JAX,Greg Jones,JoneGr01,2007-09-16,2007,2,REG,0,2,6,0,1,1,9,0,0,0
34,JAX,Greg Jones,JoneGr01,2007-09-23,2007,3,REG,1,1,4,1,1,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,,2007,4,BYE,0,0,0,0,0,0,0,0,0,0
35,JAX,Greg Jones,JoneGr01,2007-10-07,2007,5,REG,0,6,14,0,1,1,11,0,0,0
36,JAX,Greg Jones,JoneGr01,2007-10-14,2007,6,REG,1,2,4,0,1,1,27,0,0,0
37,JAX,Greg Jones,JoneGr01,2007-10-22,2007,7,REG,0,1,2,0,0,0,0,0,0,0
38,JAX,Greg Jones,JoneGr01,2007-10-28,2007,8,REG,1,0,0,0,1,1,18,0,0,0
39,JAX,Greg Jones,JoneGr01,2007-11-04,2007,9,REG,0,1,-1,0,0,0,0,0,0,0
40,JAX,Greg Jones,JoneGr01,2007-11-11,2007,10,REG,1,3,1,1,2,1,2,1,0,0
41,JAX,Greg Jones,JoneGr01,2007-11-18,2007,11,REG,0,0,0,0,0,0,0,0,0,0
42,JAX,Greg Jones,JoneGr01,2007-11-25,2007,12,REG,1,1,3,0,2,0,0,0,0,0
43,JAX,Greg Jones,JoneGr01,2007-12-02,2007,13,REG,1,1,3,0,1,1,5,0,0,0
44,JAX,Greg Jones,JoneGr01,2007-12-09,2007,14,REG,1,4,1,0,1,0,0,0,0,0
45,JAX,Greg Jones,JoneGr01,2007-12-16,2007,15,REG,1,1,0,0,2,1,-2,0,0,0
46,JAX,Greg Jones,JoneGr01,2007-12-23,2007,16,REG,1,5,11,0,1,1,2,1,0,0
47,JAX,Greg Jones,JoneGr01,2007-12-30,2007,17,REG,1,14,71,0,5,3,27,0,0,0
48,JAX,Greg Jones,JoneGr01,2008-01-05,2007,18,POST,1,0,0,0,2,0,0,0,0,0
49,JAX,Greg Jones,JoneGr01,2008-01-12,2007,19,POST,1,0,0,0,1,1,12,0,0,0
50,JAX,Greg Jones,JoneGr01,2008-09-07,2008,1,REG,1,0,0,0,3,3,13,1,0,0
51,JAX,Greg Jones,JoneGr01,2008-09-14,2008,2,REG,1,0,0,0,0,0,0,0,0,0
52,JAX,Greg Jones,JoneGr01,2008-09-21,2008,3,REG,1,0,0,0,1,1,17,0,0,0
53,JAX,Greg Jones,JoneGr01,2008-09-28,2008,4,REG,0,0,0,0,2,2,28,0,0,0
54,JAX,Greg Jones,JoneGr01,2008-10-05,2008,5,REG,1,0,0,0,1,1,15,0,0,0
55,JAX,Greg Jones,JoneGr01,2008-10-12,2008,6,REG,1,1,13,0,3,3,21,0,0,0
0,JAX,Greg Jones,JoneGr01,,2008,7,BYE,0,0,0,0,0,0,0,0,0,0
56,JAX,Greg Jones,JoneGr01,2008-10-26,2008,8,REG,0,1,0,0,2,1,11,0,0,0
57,JAX,Greg Jones,JoneGr01,2008-11-02,2008,9,REG,1,0,0,0,1,0,0,0,0,0
58,JAX,Greg Jones,JoneGr01,2008-11-09,2008,10,REG,0,0,0,0,1,1,5,0,0,0
59,JAX,Greg Jones,JoneGr01,2008-11-16,2008,11,REG,0,0,0,0,1,1,6,0,0,0
60,JAX,Greg Jones,JoneGr01,2008-11-23,2008,12,REG,0,0,0,0,1,0,0,0,0,0
61,JAX,Greg Jones,JoneGr01,2008-12-01,2008,13,REG,1,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2008-12-07,2008,14,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2008-12-14,2008,15,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2008-12-18,2008,16,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2008-12-28,2008,17,DNP,0,0,0,0,0,0,0,0,0,0
62,JAX,Greg Jones,JoneGr01,2009-09-13,2009,1,REG,1,0,0,0,2,1,9,0,0,0
63,JAX,Greg Jones,JoneGr01,2009-09-20,2009,2,REG,0,0,0,0,0,0,0,0,0,0
64,JAX,Greg Jones,JoneGr01,2009-09-27,2009,3,REG,1,0,0,0,1,1,-1,0,0,0
65,JAX,Greg Jones,JoneGr01,2009-10-04,2009,4,REG,0,3,20,0,1,0,0,0,0,0
66,JAX,Greg Jones,JoneGr01,2009-10-11,2009,5,REG,0,0,0,0,1,0,0,0,0,0
67,JAX,Greg Jones,JoneGr01,2009-10-18,2009,6,REG,0,0,0,0,2,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,,2009,7,BYE,0,0,0,0,0,0,0,0,0,0
68,JAX,Greg Jones,JoneGr01,2009-11-01,2009,8,REG,0,1,3,0,0,0,0,0,0,0
69,JAX,Greg Jones,JoneGr01,2009-11-08,2009,9,REG,1,0,0,0,1,1,0,0,0,0
70,JAX,Greg Jones,JoneGr01,2009-11-15,2009,10,REG,1,0,0,0,1,1,4,0,0,0
71,JAX,Greg Jones,JoneGr01,2009-11-22,2009,11,REG,1,0,0,0,1,1,2,0,0,0
72,JAX,Greg Jones,JoneGr01,2009-11-29,2009,12,REG,0,0,0,0,0,0,0,0,0,0
73,JAX,Greg Jones,JoneGr01,2009-12-06,2009,13,REG,1,0,0,0,0,0,0,0,0,0
74,JAX,Greg Jones,JoneGr01,2009-12-13,2009,14,REG,1,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2009-12-17,2009,15,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2009-12-27,2009,16,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2010-01-03,2009,17,DNP,0,0,0,0,0,0,0,0,0,0
75,JAX,Greg Jones,JoneGr01,2010-09-12,2010,1,REG,1,0,0,0,1,1,-1,0,0,0
76,JAX,Greg Jones,JoneGr01,2010-09-19,2010,2,REG,0,0,0,0,1,1,5,0,0,0
77,JAX,Greg Jones,JoneGr01,2010-09-26,2010,3,REG,1,0,0,0,0,0,0,0,0,0
78,JAX,Greg Jones,JoneGr01,2010-10-03,2010,4,REG,1,0,0,0,2,2,4,0,0,0
79,JAX,Greg Jones,JoneGr01,2010-10-10,2010,5,REG,1,0,0,0,0,0,0,0,0,0
80,JAX,Greg Jones,JoneGr01,2010-10-18,2010,6,REG,1,0,0,0,0,0,0,0,0,0
81,JAX,Greg Jones,JoneGr01,2010-10-24,2010,7,REG,1,0,0,0,0,0,0,0,0,0
82,JAX,Greg Jones,JoneGr01,2010-10-31,2010,8,REG,1,0,0,0,1,1,2,0,0,0
0,JAX,Greg Jones,JoneGr01,,2010,9,BYE,0,0,0,0,0,0,0,0,0,0
83,JAX,Greg Jones,JoneGr01,2010-11-14,2010,10,REG,1,2,4,0,2,2,12,0,0,0
84,JAX,Greg Jones,JoneGr01,2010-11-21,2010,11,REG,1,0,0,0,0,0,0,0,0,0
85,JAX,Greg Jones,JoneGr01,2010-11-28,2010,12,REG,1,0,0,0,1,1,2,0,0,0
86,JAX,Greg Jones,JoneGr01,2010-12-05,2010,13,REG,0,0,0,0,1,1,11,0,0,0
87,JAX,Greg Jones,JoneGr01,2010-12-12,2010,14,REG,1,0,0,0,1,1,12,0,0,0
88,JAX,Greg Jones,JoneGr01,2010-12-19,2010,15,REG,1,0,0,0,0,0,0,0,0,0
89,JAX,Greg Jones,JoneGr01,2010-12-26,2010,16,REG,0,0,0,0,1,1,0,0,0,0
90,JAX,Greg Jones,JoneGr01,2011-01-02,2010,17,REG,1,0,0,0,0,0,0,0,0,0
91,JAX,Greg Jones,JoneGr01,2011-09-11,2011,1,REG,1,1,6,0,1,0,0,0,0,0
92,JAX,Greg Jones,JoneGr01,2011-09-18,2011,2,REG,1,0,0,0,1,0,0,0,0,0
93,JAX,Greg Jones,JoneGr01,2011-09-25,2011,3,REG,1,0,0,0,0,0,0,0,0,0
94,JAX,Greg Jones,JoneGr01,2011-10-02,2011,4,REG,1,0,0,0,0,0,0,0,0,0
95,JAX,Greg Jones,JoneGr01,2011-10-09,2011,5,REG,0,0,0,0,1,1,10,0,0,0
96,JAX,Greg Jones,JoneGr01,2011-10-16,2011,6,REG,1,0,0,0,1,1,0,0,0,0
97,JAX,Greg Jones,JoneGr01,2011-10-24,2011,7,REG,1,0,0,0,1,0,0,0,0,0
98,JAX,Greg Jones,JoneGr01,2011-10-30,2011,8,REG,1,0,0,0,1,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,,2011,9,BYE,0,0,0,0,0,0,0,0,0,0
99,JAX,Greg Jones,JoneGr01,2011-11-13,2011,10,REG,0,0,0,0,0,0,0,0,0,0
100,JAX,Greg Jones,JoneGr01,2011-11-20,2011,11,REG,0,0,0,0,0,0,0,0,0,0
101,JAX,Greg Jones,JoneGr01,2011-11-27,2011,12,REG,1,0,0,0,0,0,0,0,0,0
102,JAX,Greg Jones,JoneGr01,2011-12-05,2011,13,REG,1,0,0,0,0,0,0,0,0,0
103,JAX,Greg Jones,JoneGr01,2011-12-11,2011,14,REG,0,0,0,0,1,0,0,0,0,0
104,JAX,Greg Jones,JoneGr01,2011-12-15,2011,15,REG,0,0,0,0,0,0,0,0,0,0
105,JAX,Greg Jones,JoneGr01,2011-12-24,2011,16,REG,0,1,1,1,2,2,9,0,0,0
106,JAX,Greg Jones,JoneGr01,2012-01-01,2011,17,REG,0,0,0,0,0,0,0,0,0,0
107,JAX,Greg Jones,JoneGr01,2012-09-09,2012,1,REG,1,0,0,0,2,1,9,0,34,10
108,JAX,Greg Jones,JoneGr01,2012-09-16,2012,2,REG,1,0,0,0,1,1,4,0,13,6
109,JAX,Greg Jones,JoneGr01,2012-09-23,2012,3,REG,0,1,1,0,3,2,12,0,27,5
110,JAX,Greg Jones,JoneGr01,2012-09-30,2012,4,REG,1,0,0,0,4,4,25,0,24,10
111,JAX,Greg Jones,JoneGr01,2012-10-07,2012,5,REG,0,0,0,0,0,0,0,0,10,11
0,JAX,Greg Jones,JoneGr01,,2012,6,BYE,0,0,0,0,0,0,0,0,0,0
112,JAX,Greg Jones,JoneGr01,2012-10-21,2012,7,REG,0,0,0,0,0,0,0,0,18,7
113,JAX,Greg Jones,JoneGr01,2012-10-28,2012,8,REG,0,0,0,0,0,0,0,0,14,0
0,JAX,Greg Jones,JoneGr01,2012-11-04,2012,9,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2012-11-08,2012,10,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2012-11-18,2012,11,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Greg Jones,JoneGr01,2012-11-25,2012,12,DNP,0,0,0,0,0,0,0,0,0,0
114,JAX,Greg Jones,JoneGr01,2012-12-02,2012,13,REG,0,0,0,0,1,0,0,0,14,0
115,JAX,Greg Jones,JoneGr01,2012-12-09,2012,14,REG,0,2,4,0,2,2,8,0,27,0
116,JAX,Greg Jones,JoneGr01,2012-12-16,2012,15,REG,1,1,3,0,0,0,0,0,25,0
117,JAX,Greg Jones,JoneGr01,2012-12-23,2012,16,REG,0,1,0,0,1,1,6,0,16,0
118,JAX,Greg Jones,JoneGr01,2012-12-30,2012,17,REG,0,0,0,0,0,0,0,0,17,0
119,HOU,Greg Jones,JoneGr01,2013-09-09,2013,1,REG,0,0,0,0,0,0,0,0,19,5
120,HOU,Greg Jones,JoneGr01,2013-09-15,2013,2,REG,0,0,0,0,0,0,0,0,20,6
121,HOU,Greg Jones,JoneGr01,2013-09-22,2013,3,REG,1,0,0,0,0,0,0,0,14,12
122,HOU,Greg Jones,JoneGr01,2013-09-29,2013,4,REG,0,0,0,0,1,1,1,0,30,14
123,HOU,Greg Jones,JoneGr01,2013-10-06,2013,5,REG,0,0,0,0,1,0,0,0,18,8
124,HOU,Greg Jones,JoneGr01,2013-10-13,2013,6,REG,1,0,0,0,2,1,4,0,32,8
125,HOU,Greg Jones,JoneGr01,2013-10-20,2013,7,REG,0,2,2,0,0,0,0,0,11,4
0,HOU,Greg Jones,JoneGr01,,2013,8,BYE,0,0,0,0,0,0,0,0,0,0
126,HOU,Greg Jones,JoneGr01,2013-11-03,2013,9,REG,0,0,0,0,1,0,0,0,31,6
127,HOU,Greg Jones,JoneGr01,2013-11-10,2013,10,REG,0,0,0,0,1,1,19,0,22,6
128,HOU,Greg Jones,JoneGr01,2013-11-17,2013,11,REG,1,0,0,0,1,0,0,0,17,14
129,HOU,Greg Jones,JoneGr01,2013-11-24,2013,12,REG,0,0,0,0,0,0,0,0,14,10
130,HOU,Greg Jones,JoneGr01,2013-12-01,2013,13,REG,0,0,0,0,0,0,0,0,16,10
131,HOU,Greg Jones,JoneGr01,2013-12-05,2013,14,REG,0,0,0,0,1,0,0,0,20,8
132,HOU,Greg Jones,JoneGr01,2013-12-15,2013,15,REG,1,0,0,0,0,0,0,0,16,0
133,HOU,Greg Jones,JoneGr01,2013-12-22,2013,16,REG,1,0,0,0,2,1,4,0,29,8
134,HOU,Greg Jones,JoneGr01,2013-12-29,2013,17,REG,0,0,0,0,1,1,6,0,20,0
