CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NWE,Harold Shaw,ShawHa00,1998-09-07,1998,1,DNP,0,0,0,0,0,0,0,0,0,0
1,NWE,Harold Shaw,ShawHa00,1998-09-13,1998,2,REG,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1998-09-20,1998,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1970-01-01,1998,4,BYE,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1998-10-04,1998,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1998-10-11,1998,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1998-10-19,1998,7,DNP,0,0,0,0,0,0,0,0,0,0
2,NWE,Harold Shaw,ShawHa00,1998-10-25,1998,8,REG,0,0,0,0,0,0,0,0,0,0
3,NWE,Harold Shaw,ShawHa00,1998-11-01,1998,9,REG,0,0,0,0,0,0,0,0,0,0
4,NWE,Harold Shaw,ShawHa00,1998-11-08,1998,10,REG,0,0,0,0,0,0,0,0,0,0
5,NWE,Harold Shaw,ShawHa00,1998-11-15,1998,11,REG,0,0,0,0,0,0,0,0,0,0
6,NWE,Harold Shaw,ShawHa00,1998-11-23,1998,12,REG,0,0,0,0,0,0,0,0,0,0
7,NWE,Harold Shaw,ShawHa00,1998-11-29,1998,13,REG,0,0,0,0,0,0,0,0,0,0
8,NWE,Harold Shaw,ShawHa00,1998-12-06,1998,14,REG,0,0,0,0,0,0,0,0,0,0
9,NWE,Harold Shaw,ShawHa00,1998-12-13,1998,15,REG,0,0,0,0,0,0,0,0,0,0
10,NWE,Harold Shaw,ShawHa00,1998-12-20,1998,16,REG,0,0,0,0,0,0,0,0,0,0
11,NWE,Harold Shaw,ShawHa00,1998-12-27,1998,17,REG,0,0,0,0,0,0,0,0,0,0
12,NWE,Harold Shaw,ShawHa00,1999-09-12,1999,1,REG,0,0,0,0,0,0,0,0,0,0
13,NWE,Harold Shaw,ShawHa00,1999-09-19,1999,2,REG,0,0,0,0,0,0,0,0,0,0
14,NWE,Harold Shaw,ShawHa00,1999-09-26,1999,3,REG,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-10-03,1999,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-10-10,1999,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-10-17,1999,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-10-24,1999,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-10-31,1999,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1970-01-01,1999,9,BYE,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-11-15,1999,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-11-21,1999,11,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1999-11-28,1999,12,DNP,0,0,0,0,0,0,0,0,0,0
15,NWE,Harold Shaw,ShawHa00,1999-12-05,1999,13,REG,0,0,0,0,0,0,0,0,0,0
16,NWE,Harold Shaw,ShawHa00,1999-12-12,1999,14,REG,0,0,0,0,0,0,0,0,0,0
17,NWE,Harold Shaw,ShawHa00,1999-12-19,1999,15,REG,0,0,0,0,0,0,0,0,0,0
18,NWE,Harold Shaw,ShawHa00,1999-12-26,1999,16,REG,0,4,6,0,3,2,31,0,0,0
19,NWE,Harold Shaw,ShawHa00,2000-01-02,1999,17,REG,0,5,17,0,0,0,0,0,0,0
20,NWE,Harold Shaw,ShawHa00,2000-09-03,2000,1,REG,0,0,0,0,0,0,0,0,0,0
21,NWE,Harold Shaw,ShawHa00,2000-09-11,2000,2,REG,0,0,0,0,0,0,0,0,0,0
22,NWE,Harold Shaw,ShawHa00,2000-09-17,2000,3,REG,0,0,0,0,0,0,0,0,0,0
23,NWE,Harold Shaw,ShawHa00,2000-09-24,2000,4,REG,0,3,2,0,2,2,11,0,0,0
24,NWE,Harold Shaw,ShawHa00,2000-10-01,2000,5,REG,0,3,3,0,0,0,0,0,0,0
25,NWE,Harold Shaw,ShawHa00,2000-10-08,2000,6,REG,0,0,0,0,0,0,0,0,0,0
26,NWE,Harold Shaw,ShawHa00,2000-10-15,2000,7,REG,0,0,0,0,1,0,0,0,0,0
27,NWE,Harold Shaw,ShawHa00,2000-10-22,2000,8,REG,0,0,0,0,0,0,0,0,0,0
0,NWE,Harold Shaw,ShawHa00,1970-01-01,2000,9,BYE,0,0,0,0,0,0,0,0,0,0
28,NWE,Harold Shaw,ShawHa00,2000-11-05,2000,10,REG,0,0,0,0,0,0,0,0,0,0
29,NWE,Harold Shaw,ShawHa00,2000-11-12,2000,11,REG,0,1,5,0,0,0,0,0,0,0
30,NWE,Harold Shaw,ShawHa00,2000-11-19,2000,12,REG,0,0,0,0,0,0,0,0,0,0
31,NWE,Harold Shaw,ShawHa00,2000-11-23,2000,13,REG,0,0,0,0,0,0,0,0,0,0
32,NWE,Harold Shaw,ShawHa00,2000-12-04,2000,14,REG,0,2,2,0,1,0,0,0,0,0
33,NWE,Harold Shaw,ShawHa00,2000-12-10,2000,15,REG,0,0,0,0,0,0,0,0,0,0
34,NWE,Harold Shaw,ShawHa00,2000-12-17,2000,16,REG,0,0,0,0,0,0,0,0,0,0
35,NWE,Harold Shaw,ShawHa00,2000-12-24,2000,17,REG,0,0,0,0,0,0,0,0,0,0
