CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SFO,Isaac Guerendo,GuerIs00,2024-09-09,2024,1,REG,0,0,0,0,0,0,0,0,3,10
2,SFO,Isaac Guerendo,GuerIs00,2024-09-15,2024,2,REG,0,1,0,0,0,0,0,0,1,3
3,SFO,Isaac Guerendo,GuerIs00,2024-09-22,2024,3,REG,0,5,19,0,0,0,0,0,10,11
4,SFO,Isaac Guerendo,GuerIs00,2024-09-29,2024,4,REG,0,1,0,0,0,0,0,0,5,12
5,SFO,Isaac Guerendo,GuerIs00,2024-10-06,2024,5,REG,0,5,22,0,0,0,0,0,9,14
6,SFO,Isaac Guerendo,GuerIs00,2024-10-10,2024,6,REG,0,10,99,0,0,0,0,0,17,10
7,SFO,Isaac Guerendo,GuerIs00,2024-10-20,2024,7,REG,0,1,2,0,1,1,5,0,5,13
8,SFO,Isaac Guerendo,GuerIs00,2024-10-27,2024,8,REG,0,14,85,1,4,3,17,0,43,13
0,SFO,Isaac Guerendo,GuerIs00,,2024,9,BYE,0,0,0,0,0,0,0,0,0,0
9,SFO,Isaac Guerendo,GuerIs00,2024-11-10,2024,10,REG,0,1,0,0,0,0,0,0,3,16
10,SFO,Isaac Guerendo,GuerIs00,2024-11-17,2024,11,REG,0,0,0,0,0,0,0,0,2,8
11,SFO,Isaac Guerendo,GuerIs00,2024-11-24,2024,12,REG,0,0,0,0,0,0,0,0,0,7
12,SFO,Isaac Guerendo,GuerIs00,2024-12-01,2024,13,REG,0,4,19,1,1,1,-3,0,11,7
13,SFO,Isaac Guerendo,GuerIs00,2024-12-08,2024,14,REG,1,15,78,2,2,2,50,0,34,0
14,SFO,Isaac Guerendo,GuerIs00,2024-12-12,2024,15,REG,1,16,57,0,4,4,18,0,41,0
0,SFO,Isaac Guerendo,GuerIs00,2024-12-22,2024,16,DNP,0,0,0,0,0,0,0,0,0,0
15,SFO,Isaac Guerendo,GuerIs00,2024-12-30,2024,17,REG,0,9,34,0,4,4,65,0,39,0
16,SFO,Isaac Guerendo,GuerIs00,2025-01-05,2024,18,REG,1,2,5,0,0,0,0,0,4,0
17,SFO,Isaac Guerendo,GuerIs00,2025-09-07,2025,1,REG,0,0,0,0,0,0,0,0,0,15
