CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,STL,Isaiah Pead,PeadIs00,2012-09-09,2012,1,REG,0,0,0,0,0,0,0,0,1,6
2,STL,Isaiah Pead,PeadIs00,2012-09-16,2012,2,REG,1,0,0,0,0,0,0,0,2,6
3,STL,Isaiah Pead,PeadIs00,2012-09-23,2012,3,REG,0,0,0,0,1,1,4,0,3,6
0,STL,Isaiah Pead,PeadIs00,2012-09-30,2012,4,DNP,0,0,0,0,0,0,0,0,0,0
4,STL,Isaiah Pead,PeadIs00,2012-10-04,2012,5,REG,0,0,0,0,0,0,0,0,1,2
5,STL,Isaiah Pead,PeadIs00,2012-10-14,2012,6,REG,0,0,0,0,1,1,3,0,2,0
6,STL,Isaiah Pead,PeadIs00,2012-10-21,2012,7,REG,0,1,1,0,0,0,0,0,3,8
7,STL,Isaiah Pead,PeadIs00,2012-10-28,2012,8,REG,0,3,32,0,0,0,0,0,8,5
0,STL,Isaiah Pead,PeadIs00,,2012,9,BYE,0,0,0,0,0,0,0,0,0,0
8,STL,Isaiah Pead,PeadIs00,2012-11-11,2012,10,REG,0,0,0,0,1,1,9,0,5,6
9,STL,Isaiah Pead,PeadIs00,2012-11-18,2012,11,REG,0,0,0,0,0,0,0,0,1,1
10,STL,Isaiah Pead,PeadIs00,2012-11-25,2012,12,REG,0,0,0,0,0,0,0,0,1,0
11,STL,Isaiah Pead,PeadIs00,2012-12-02,2012,13,REG,0,0,0,0,1,0,0,0,3,0
12,STL,Isaiah Pead,PeadIs00,2012-12-09,2012,14,REG,0,0,0,0,0,0,0,0,1,1
13,STL,Isaiah Pead,PeadIs00,2012-12-16,2012,15,REG,0,0,0,0,0,0,0,0,0,4
14,STL,Isaiah Pead,PeadIs00,2012-12-23,2012,16,REG,0,1,0,0,0,0,0,0,1,5
15,STL,Isaiah Pead,PeadIs00,2012-12-30,2012,17,REG,0,5,21,0,0,0,0,0,8,4
0,STL,Isaiah Pead,PeadIs00,2013-09-08,2013,1,SUSP,0,0,0,0,0,0,0,0,0,0
16,STL,Isaiah Pead,PeadIs00,2013-09-15,2013,2,REG,0,1,1,0,4,2,18,0,30,0
17,STL,Isaiah Pead,PeadIs00,2013-09-22,2013,3,REG,0,6,20,0,7,7,43,0,42,0
0,STL,Isaiah Pead,PeadIs00,2013-09-26,2013,4,DNP,0,0,0,0,0,0,0,0,0,0
18,STL,Isaiah Pead,PeadIs00,2013-10-06,2013,5,REG,0,0,0,0,1,0,0,0,2,0
0,STL,Isaiah Pead,PeadIs00,2013-10-13,2013,6,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,Isaiah Pead,PeadIs00,2013-10-20,2013,7,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,Isaiah Pead,PeadIs00,2013-10-28,2013,8,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,Isaiah Pead,PeadIs00,2013-11-03,2013,9,DNP,0,0,0,0,0,0,0,0,0,0
19,STL,Isaiah Pead,PeadIs00,2013-11-10,2013,10,REG,0,0,0,0,0,0,0,0,0,9
0,STL,Isaiah Pead,PeadIs00,,2013,11,BYE,0,0,0,0,0,0,0,0,0,0
20,STL,Isaiah Pead,PeadIs00,2013-11-24,2013,12,REG,0,0,0,0,0,0,0,0,5,10
21,STL,Isaiah Pead,PeadIs00,2013-12-01,2013,13,REG,0,0,0,0,3,2,17,0,9,8
