CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NYJ,Israel Abanikanda,AbanIs00,2023-09-11,2023,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-09-17,2023,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-09-24,2023,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-10-01,2023,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-10-08,2023,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-10-15,2023,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,1970-01-01,2023,7,BYE,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-10-29,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-11-06,2023,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-11-12,2023,10,DNP,0,0,0,0,0,0,0,0,0,0
1,NYJ,Israel Abanikanda,AbanIs00,2023-11-19,2023,11,REG,0,1,11,0,2,1,5,0,10,3
0,NYJ,Israel Abanikanda,AbanIs00,2023-11-24,2023,12,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Israel Abanikanda,AbanIs00,2023-12-03,2023,13,DNP,0,0,0,0,0,0,0,0,0,0
2,NYJ,Israel Abanikanda,AbanIs00,2023-12-10,2023,14,REG,0,3,-1,0,0,0,0,0,5,0
3,NYJ,Israel Abanikanda,AbanIs00,2023-12-17,2023,15,REG,0,4,8,0,2,2,11,0,22,0
4,NYJ,Israel Abanikanda,AbanIs00,2023-12-24,2023,16,REG,0,9,43,0,0,0,0,0,16,0
5,NYJ,Israel Abanikanda,AbanIs00,2023-12-28,2023,17,REG,0,2,3,0,7,4,27,0,19,2
6,NYJ,Israel Abanikanda,AbanIs00,2024-01-07,2023,18,REG,0,3,6,0,0,0,0,0,5,0
