CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PHO,Ivory Lee Brown,BrowIv00,1992-09-06,1992,1,REG,0,4,0,0,0,0,0,0,0,0
2,PHO,Ivory Lee Brown,BrowIv00,1992-09-13,1992,2,REG,1,9,16,0,2,2,7,0,0,0
3,PHO,Ivory Lee Brown,BrowIv00,1992-09-20,1992,3,REG,1,12,31,1,2,2,31,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,,1992,4,BYE,0,0,0,0,0,0,0,0,0,0
4,PHO,Ivory Lee Brown,BrowIv00,1992-10-04,1992,5,REG,1,10,48,1,2,2,12,0,0,0
5,PHO,Ivory Lee Brown,BrowIv00,1992-10-11,1992,6,REG,1,15,47,0,0,0,0,0,0,0
6,PHO,Ivory Lee Brown,BrowIv00,1992-10-18,1992,7,REG,0,2,2,0,1,1,4,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-10-25,1992,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-11-01,1992,9,DNP,0,0,0,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-11-08,1992,10,DNP,0,0,0,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-11-15,1992,11,DNP,0,0,0,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-11-22,1992,12,DNP,0,0,0,0,0,0,0,0,0,0
7,PHO,Ivory Lee Brown,BrowIv00,1992-11-29,1992,13,REG,1,16,50,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-12-06,1992,14,DNP,0,0,0,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-12-12,1992,15,DNP,0,0,0,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-12-20,1992,16,DNP,0,0,0,0,0,0,0,0,0,0
0,PHO,Ivory Lee Brown,BrowIv00,1992-12-27,1992,17,DNP,0,0,0,0,0,0,0,0,0,0
