CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DEN,Jaleel McLaughlin,McLaJa00,2023-09-10,2023,1,REG,0,0,0,0,1,1,-7,0,5,9
2,DEN,Jaleel McLaughlin,McLaJa00,2023-09-17,2023,2,REG,0,1,5,1,0,0,0,0,3,6
3,DEN,Jaleel McLaughlin,McLaJa00,2023-09-24,2023,3,REG,0,5,15,0,0,0,0,0,13,5
4,DEN,Jaleel McLaughlin,McLaJa00,2023-10-01,2023,4,REG,0,7,72,0,3,3,32,1,16,2
5,DEN,Jaleel McLaughlin,McLaJa00,2023-10-08,2023,5,REG,0,9,68,0,4,3,21,1,21,0
6,DEN,Jaleel McLaughlin,McLaJa00,2023-10-12,2023,6,REG,1,7,30,0,2,2,12,0,21,0
7,DEN,Jaleel McLaughlin,McLaJa00,2023-10-22,2023,7,REG,0,5,45,0,2,1,1,0,10,6
8,DEN,Jaleel McLaughlin,McLaJa00,2023-10-29,2023,8,REG,0,4,33,0,2,2,6,0,8,5
0,DEN,Jaleel McLaughlin,McLaJa00,,2023,9,BYE,0,0,0,0,0,0,0,0,0,0
9,DEN,Jaleel McLaughlin,McLaJa00,2023-11-13,2023,10,REG,0,6,8,0,2,2,4,0,11,6
10,DEN,Jaleel McLaughlin,McLaJa00,2023-11-19,2023,11,REG,0,1,1,0,5,5,14,0,8,6
11,DEN,Jaleel McLaughlin,McLaJa00,2023-11-26,2023,12,REG,0,2,4,0,0,0,0,0,2,6
12,DEN,Jaleel McLaughlin,McLaJa00,2023-12-03,2023,13,REG,0,4,15,0,2,2,6,0,9,4
13,DEN,Jaleel McLaughlin,McLaJa00,2023-12-10,2023,14,REG,0,5,25,0,2,1,7,0,13,5
14,DEN,Jaleel McLaughlin,McLaJa00,2023-12-16,2023,15,REG,1,2,2,0,3,2,16,0,8,4
15,DEN,Jaleel McLaughlin,McLaJa00,2023-12-24,2023,16,REG,0,6,37,0,5,4,30,0,17,7
16,DEN,Jaleel McLaughlin,McLaJa00,2023-12-31,2023,17,REG,1,8,44,0,3,3,18,0,19,7
17,DEN,Jaleel McLaughlin,McLaJa00,2024-01-07,2023,18,REG,0,4,6,0,0,0,0,0,9,2
18,DEN,Jaleel McLaughlin,McLaJa00,2024-09-08,2024,1,REG,0,10,27,0,5,5,1,0,24,0
19,DEN,Jaleel McLaughlin,McLaJa00,2024-09-15,2024,2,REG,0,3,6,0,0,0,0,0,17,0
20,DEN,Jaleel McLaughlin,McLaJa00,2024-09-22,2024,3,REG,0,5,7,1,1,1,7,0,18,0
21,DEN,Jaleel McLaughlin,McLaJa00,2024-09-29,2024,4,REG,0,9,46,0,1,1,0,0,21,1
22,DEN,Jaleel McLaughlin,McLaJa00,2024-10-06,2024,5,REG,0,6,22,0,4,3,3,1,23,0
23,DEN,Jaleel McLaughlin,McLaJa00,2024-10-13,2024,6,REG,0,3,8,0,2,2,17,0,14,2
24,DEN,Jaleel McLaughlin,McLaJa00,2024-10-17,2024,7,REG,0,4,35,0,0,0,0,0,14,0
25,DEN,Jaleel McLaughlin,McLaJa00,2024-10-27,2024,8,REG,0,8,47,0,1,1,9,1,23,0
26,DEN,Jaleel McLaughlin,McLaJa00,2024-11-03,2024,9,REG,1,5,10,0,3,3,10,0,23,0
27,DEN,Jaleel McLaughlin,McLaJa00,2024-11-10,2024,10,REG,1,2,12,0,0,0,0,0,7,0
28,DEN,Jaleel McLaughlin,McLaJa00,2024-11-17,2024,11,REG,0,4,19,0,0,0,0,0,9,0
29,DEN,Jaleel McLaughlin,McLaJa00,2024-11-24,2024,12,REG,0,7,44,0,1,0,0,0,20,0
30,DEN,Jaleel McLaughlin,McLaJa00,2024-12-02,2024,13,REG,0,14,84,0,2,1,0,0,24,0
0,DEN,Jaleel McLaughlin,McLaJa00,,2024,14,BYE,0,0,0,0,0,0,0,0,0,0
31,DEN,Jaleel McLaughlin,McLaJa00,2024-12-15,2024,15,REG,1,7,21,0,3,3,13,0,15,0
0,DEN,Jaleel McLaughlin,McLaJa00,2024-12-19,2024,16,DNP,0,0,0,0,0,0,0,0,0,0
32,DEN,Jaleel McLaughlin,McLaJa00,2024-12-28,2024,17,REG,1,10,69,0,2,2,7,0,14,0
33,DEN,Jaleel McLaughlin,McLaJa00,2025-01-05,2024,18,REG,1,16,39,0,2,2,9,0,30,0
34,DEN,Jaleel McLaughlin,McLaJa00,2025-01-12,2024,19,POST,0,2,-2,0,1,1,0,0,8,0
