CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,TEN,Jamie Harper,HarpJa01,2011-09-11,2011,1,REG,0,3,10,0,1,1,21,0,0,0
0,TEN,Jamie Harper,HarpJa01,2011-09-18,2011,2,DNP,0,0,0,0,0,0,0,0,0,0
2,TEN,Jamie Harper,HarpJa01,2011-09-25,2011,3,REG,0,0,0,0,0,0,0,0,0,0
3,TEN,Jamie Harper,HarpJa01,2011-10-02,2011,4,REG,0,1,2,0,0,0,0,0,0,0
4,TEN,Jamie Harper,HarpJa01,2011-10-09,2011,5,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Jamie Harper,HarpJa01,,2011,6,BYE,0,0,0,0,0,0,0,0,0,0
5,TEN,Jamie Harper,HarpJa01,2011-10-23,2011,7,REG,0,2,4,0,0,0,0,0,0,0
6,TEN,Jamie Harper,HarpJa01,2011-10-30,2011,8,REG,0,1,0,0,0,0,0,0,0,0
7,TEN,Jamie Harper,HarpJa01,2011-11-06,2011,9,REG,0,0,0,0,1,0,0,0,0,0
8,TEN,Jamie Harper,HarpJa01,2011-11-13,2011,10,REG,0,0,0,0,0,0,0,0,0,0
9,TEN,Jamie Harper,HarpJa01,2011-11-20,2011,11,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Jamie Harper,HarpJa01,2011-11-27,2011,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Jamie Harper,HarpJa01,2011-12-04,2011,13,DNP,0,0,0,0,0,0,0,0,0,0
10,TEN,Jamie Harper,HarpJa01,2011-12-11,2011,14,REG,0,0,0,0,0,0,0,0,0,0
11,TEN,Jamie Harper,HarpJa01,2011-12-18,2011,15,REG,0,2,3,0,1,1,2,0,0,0
12,TEN,Jamie Harper,HarpJa01,2011-12-24,2011,16,REG,0,4,6,1,1,1,5,0,0,0
13,TEN,Jamie Harper,HarpJa01,2012-01-01,2011,17,REG,0,4,19,0,2,1,4,0,0,0
14,TEN,Jamie Harper,HarpJa01,2012-09-09,2012,1,REG,0,1,3,0,1,1,8,0,4,0
0,TEN,Jamie Harper,HarpJa01,2012-09-16,2012,2,DNP,0,0,0,0,0,0,0,0,0,0
15,TEN,Jamie Harper,HarpJa01,2012-09-23,2012,3,REG,0,0,0,0,0,0,0,0,1,6
0,TEN,Jamie Harper,HarpJa01,2012-09-30,2012,4,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Jamie Harper,HarpJa01,2012-10-07,2012,5,DNP,0,0,0,0,0,0,0,0,0,0
16,TEN,Jamie Harper,HarpJa01,2012-10-11,2012,6,REG,0,2,1,1,0,0,0,0,3,2
17,TEN,Jamie Harper,HarpJa01,2012-10-21,2012,7,REG,0,7,8,2,0,0,0,0,10,8
18,TEN,Jamie Harper,HarpJa01,2012-10-28,2012,8,REG,0,1,-1,0,0,0,0,0,4,3
19,TEN,Jamie Harper,HarpJa01,2012-11-04,2012,9,REG,0,0,0,0,0,0,0,0,2,20
20,TEN,Jamie Harper,HarpJa01,2012-11-11,2012,10,REG,0,2,0,0,0,0,0,0,2,0
0,TEN,Jamie Harper,HarpJa01,,2012,11,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,Jamie Harper,HarpJa01,2012-11-25,2012,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Jamie Harper,HarpJa01,2012-12-02,2012,13,DNP,0,0,0,0,0,0,0,0,0,0
21,TEN,Jamie Harper,HarpJa01,2012-12-09,2012,14,REG,0,0,0,0,0,0,0,0,1,0
22,TEN,Jamie Harper,HarpJa01,2012-12-17,2012,15,REG,0,0,0,0,0,0,0,0,1,0
23,TEN,Jamie Harper,HarpJa01,2012-12-23,2012,16,REG,0,6,19,0,0,0,0,0,22,0
0,TEN,Jamie Harper,HarpJa01,2012-12-30,2012,17,DNP,0,0,0,0,0,0,0,0,0,0
