CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,WAS,Jamie Morris,MorrJa00,1988-09-05,1988,1,REG,0,0,0,0,0,0,0,0,0,0
2,WAS,Jamie Morris,MorrJa00,1988-09-11,1988,2,REG,0,9,11,1,1,1,3,0,0,0
3,WAS,Jamie Morris,MorrJa00,1988-09-18,1988,3,REG,0,2,29,1,0,0,0,0,0,0
4,WAS,Jamie Morris,MorrJa00,1988-09-25,1988,4,REG,0,0,0,0,0,0,0,0,0,0
5,WAS,Jamie Morris,MorrJa00,1988-10-02,1988,5,REG,0,0,0,0,0,0,0,0,0,0
6,WAS,Jamie Morris,MorrJa00,1988-10-09,1988,6,REG,0,5,19,0,0,0,0,0,0,0
7,WAS,Jamie Morris,MorrJa00,1988-10-16,1988,7,REG,0,0,0,0,0,0,0,0,0,0
8,WAS,Jamie Morris,MorrJa00,1988-10-23,1988,8,REG,0,0,0,0,0,0,0,0,0,0
9,WAS,Jamie Morris,MorrJa00,1988-10-30,1988,9,REG,0,0,0,0,0,0,0,0,0,0
10,WAS,Jamie Morris,MorrJa00,1988-11-06,1988,10,REG,0,1,3,0,0,0,0,0,0,0
11,WAS,Jamie Morris,MorrJa00,1988-11-13,1988,11,REG,0,5,21,0,1,0,0,0,0,0
12,WAS,Jamie Morris,MorrJa00,1988-11-21,1988,12,REG,0,8,19,0,0,0,0,0,0,0
13,WAS,Jamie Morris,MorrJa00,1988-11-27,1988,13,REG,1,19,74,0,0,0,0,0,0,0
14,WAS,Jamie Morris,MorrJa00,1988-12-04,1988,14,REG,1,19,84,0,0,0,0,0,0,0
15,WAS,Jamie Morris,MorrJa00,1988-12-11,1988,15,REG,1,13,25,0,0,0,0,0,0,0
16,WAS,Jamie Morris,MorrJa00,1988-12-17,1988,16,REG,1,45,152,0,0,0,0,0,0,0
17,WAS,Jamie Morris,MorrJa00,1989-09-11,1989,1,REG,0,0,0,0,0,0,0,0,0,0
18,WAS,Jamie Morris,MorrJa00,1989-09-17,1989,2,REG,0,2,0,0,0,0,0,0,0,0
19,WAS,Jamie Morris,MorrJa00,1989-09-24,1989,3,REG,0,26,100,1,3,2,16,0,0,0
20,WAS,Jamie Morris,MorrJa00,1989-10-01,1989,4,REG,0,9,26,0,1,1,-4,0,0,0
21,WAS,Jamie Morris,MorrJa00,1989-10-22,1989,7,REG,0,1,3,0,0,0,0,0,0,0
22,WAS,Jamie Morris,MorrJa00,1989-10-29,1989,8,REG,1,6,-1,0,3,1,9,0,0,0
23,WAS,Jamie Morris,MorrJa00,1989-11-05,1989,9,REG,0,11,36,0,0,0,0,0,0,0
24,WAS,Jamie Morris,MorrJa00,1989-11-12,1989,10,REG,1,38,88,0,5,3,34,0,0,0
25,WAS,Jamie Morris,MorrJa00,1989-11-20,1989,11,REG,1,15,51,1,0,0,0,0,0,0
26,WAS,Jamie Morris,MorrJa00,1989-11-26,1989,12,REG,0,12,20,0,1,1,10,0,0,0
27,WAS,Jamie Morris,MorrJa00,1989-12-03,1989,13,REG,0,4,13,0,1,0,0,0,0,0
28,WAS,Jamie Morris,MorrJa00,1989-12-17,1989,15,REG,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-09-09,1990,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-09-16,1990,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-09-23,1990,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-09-30,1990,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-10-07,1990,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,,1990,6,BYE,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-10-18,1990,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-10-28,1990,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-11-04,1990,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-11-11,1990,10,DNP,0,0,0,0,0,0,0,0,0,0
29,NWE,Jamie Morris,MorrJa00,1990-11-18,1990,11,REG,0,0,0,0,0,0,0,0,0,0
30,NWE,Jamie Morris,MorrJa00,1990-11-25,1990,12,REG,0,1,3,0,0,0,0,0,0,0
31,NWE,Jamie Morris,MorrJa00,1990-12-02,1990,13,REG,0,0,0,0,0,0,0,0,0,0
32,NWE,Jamie Morris,MorrJa00,1990-12-09,1990,14,REG,0,0,0,0,0,0,0,0,0,0
33,NWE,Jamie Morris,MorrJa00,1990-12-15,1990,15,REG,0,1,1,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-12-23,1990,16,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Jamie Morris,MorrJa00,1990-12-30,1990,17,DNP,0,0,0,0,0,0,0,0,0,0
