CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,HOU,Jarrod Baxter,BaxtJa00,2002-09-08,2002,1,REG,1,2,1,0,0,0,0,0,0,0
2,HOU,Jarrod Baxter,BaxtJa00,2002-09-15,2002,2,REG,1,2,7,0,0,0,0,0,0,0
3,HOU,Jarrod Baxter,BaxtJa00,2002-09-22,2002,3,REG,1,0,0,0,1,0,0,0,0,0
4,HOU,Jarrod Baxter,BaxtJa00,2002-09-29,2002,4,REG,1,0,0,0,1,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,,2002,5,BYE,0,0,0,0,0,0,0,0,0,0
5,HOU,Jarrod Baxter,BaxtJa00,2002-10-13,2002,6,REG,0,1,0,0,1,0,0,0,0,0
6,HOU,Jarrod Baxter,BaxtJa00,2002-10-20,2002,7,REG,0,0,0,0,0,0,0,0,0,0
7,HOU,Jarrod Baxter,BaxtJa00,2002-10-27,2002,8,REG,1,0,0,0,1,1,5,0,0,0
8,HOU,Jarrod Baxter,BaxtJa00,2002-11-03,2002,9,REG,1,1,2,0,0,0,0,0,0,0
9,HOU,Jarrod Baxter,BaxtJa00,2002-11-10,2002,10,REG,0,0,0,0,1,1,10,1,0,0
10,HOU,Jarrod Baxter,BaxtJa00,2002-11-17,2002,11,REG,0,0,0,0,2,2,16,0,0,0
11,HOU,Jarrod Baxter,BaxtJa00,2002-11-24,2002,12,REG,1,0,0,0,1,0,0,0,0,0
12,HOU,Jarrod Baxter,BaxtJa00,2002-12-01,2002,13,REG,1,0,0,0,1,1,2,0,0,0
13,HOU,Jarrod Baxter,BaxtJa00,2002-12-08,2002,14,REG,1,0,0,0,1,0,0,0,0,0
14,HOU,Jarrod Baxter,BaxtJa00,2002-12-15,2002,15,REG,0,0,0,0,0,0,0,0,0,0
15,HOU,Jarrod Baxter,BaxtJa00,2002-12-22,2002,16,REG,1,1,4,0,0,0,0,0,0,0
16,HOU,Jarrod Baxter,BaxtJa00,2002-12-29,2002,17,REG,0,0,0,0,0,0,0,0,0,0
17,HOU,Jarrod Baxter,BaxtJa00,2004-09-12,2004,1,REG,0,2,1,0,2,1,3,0,0,0
18,HOU,Jarrod Baxter,BaxtJa00,2004-09-19,2004,2,REG,1,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2004-09-26,2004,3,DNP,0,0,0,0,0,0,0,0,0,0
19,HOU,Jarrod Baxter,BaxtJa00,2004-10-03,2004,4,REG,0,0,0,0,0,0,0,0,0,0
20,HOU,Jarrod Baxter,BaxtJa00,2004-10-10,2004,5,REG,0,0,0,0,0,0,0,0,0,0
21,HOU,Jarrod Baxter,BaxtJa00,2004-10-17,2004,6,REG,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,,2004,7,BYE,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2004-10-31,2004,8,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2004-11-07,2004,9,DNP,0,0,0,0,0,0,0,0,0,0
22,HOU,Jarrod Baxter,BaxtJa00,2004-11-14,2004,10,REG,0,0,0,0,0,0,0,0,0,0
23,HOU,Jarrod Baxter,BaxtJa00,2004-11-21,2004,11,REG,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2004-11-28,2004,12,DNP,0,0,0,0,0,0,0,0,0,0
24,HOU,Jarrod Baxter,BaxtJa00,2004-12-05,2004,13,REG,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2004-12-12,2004,14,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2004-12-19,2004,15,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2004-12-26,2004,16,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Jarrod Baxter,BaxtJa00,2005-01-02,2004,17,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2005-09-11,2005,1,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2005-09-18,2005,2,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2005-09-25,2005,3,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2005-10-02,2005,4,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2005-10-09,2005,5,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,,2005,6,BYE,0,0,0,0,0,0,0,0,0,0
25,ARI,Jarrod Baxter,BaxtJa00,2005-10-23,2005,7,REG,0,0,0,0,0,0,0,0,0,0
26,ARI,Jarrod Baxter,BaxtJa00,2005-10-30,2005,8,REG,1,0,0,0,0,0,0,0,0,0
27,ARI,Jarrod Baxter,BaxtJa00,2005-11-06,2005,9,REG,0,0,0,0,0,0,0,0,0,0
28,ARI,Jarrod Baxter,BaxtJa00,2005-11-13,2005,10,REG,0,0,0,0,0,0,0,0,0,0
29,ARI,Jarrod Baxter,BaxtJa00,2005-11-20,2005,11,REG,1,0,0,0,0,0,0,0,0,0
30,ARI,Jarrod Baxter,BaxtJa00,2005-11-27,2005,12,REG,0,0,0,0,2,1,4,0,0,0
31,ARI,Jarrod Baxter,BaxtJa00,2005-12-04,2005,13,REG,0,0,0,0,1,0,0,0,0,0
32,ARI,Jarrod Baxter,BaxtJa00,2005-12-11,2005,14,REG,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2005-12-18,2005,15,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2005-12-24,2005,16,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,Jarrod Baxter,BaxtJa00,2006-01-01,2005,17,DNP,0,0,0,0,0,0,0,0,0,0
