CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NYG,Jarrod Bunch,BuncJa00,1991-09-02,1991,1,REG,0,0,0,0,1,1,2,0,0,0
2,NYG,Jarrod Bunch,BuncJa00,1991-09-08,1991,2,REG,0,0,0,0,0,0,0,0,0,0
3,NYG,Jarrod Bunch,BuncJa00,1991-09-15,1991,3,REG,0,0,0,0,0,0,0,0,0,0
4,NYG,Jarrod Bunch,BuncJa00,1991-09-22,1991,4,REG,0,0,0,0,0,0,0,0,0,0
5,NYG,Jarrod Bunch,BuncJa00,1991-09-29,1991,5,REG,0,0,0,0,1,1,6,0,0,0
6,NYG,Jarrod Bunch,BuncJa00,1991-10-06,1991,6,REG,0,0,0,0,0,0,0,0,0,0
7,NYG,Jarrod Bunch,BuncJa00,1991-10-14,1991,7,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Jarrod Bunch,BuncJa00,,1991,8,BYE,0,0,0,0,0,0,0,0,0,0
8,NYG,Jarrod Bunch,BuncJa00,1991-10-27,1991,9,REG,0,0,0,0,0,0,0,0,0,0
9,NYG,Jarrod Bunch,BuncJa00,1991-11-04,1991,10,REG,1,0,0,0,0,0,0,0,0,0
10,NYG,Jarrod Bunch,BuncJa00,1991-11-10,1991,11,REG,0,0,0,0,0,0,0,0,0,0
11,NYG,Jarrod Bunch,BuncJa00,1991-11-17,1991,12,REG,0,0,0,0,0,0,0,0,0,0
12,NYG,Jarrod Bunch,BuncJa00,1991-11-24,1991,13,REG,0,0,0,0,0,0,0,0,0,0
13,NYG,Jarrod Bunch,BuncJa00,1991-12-01,1991,14,REG,0,0,0,0,0,0,0,0,0,0
14,NYG,Jarrod Bunch,BuncJa00,1991-12-08,1991,15,REG,0,0,0,0,0,0,0,0,0,0
15,NYG,Jarrod Bunch,BuncJa00,1991-12-15,1991,16,REG,0,0,0,0,0,0,0,0,0,0
16,NYG,Jarrod Bunch,BuncJa00,1991-12-21,1991,17,REG,0,1,0,0,0,0,0,0,0,0
17,NYG,Jarrod Bunch,BuncJa00,1992-09-06,1992,1,REG,1,4,47,0,1,1,4,0,0,0
18,NYG,Jarrod Bunch,BuncJa00,1992-09-13,1992,2,REG,1,0,0,0,2,2,7,1,0,0
19,NYG,Jarrod Bunch,BuncJa00,1992-09-21,1992,3,REG,0,11,39,0,1,1,2,0,0,0
0,NYG,Jarrod Bunch,BuncJa00,,1992,4,BYE,0,0,0,0,0,0,0,0,0,0
20,NYG,Jarrod Bunch,BuncJa00,1992-10-04,1992,5,REG,1,9,48,1,0,0,0,0,0,0
21,NYG,Jarrod Bunch,BuncJa00,1992-10-11,1992,6,REG,1,9,50,1,0,0,0,0,0,0
22,NYG,Jarrod Bunch,BuncJa00,1992-10-18,1992,7,REG,1,5,29,0,3,2,5,0,0,0
23,NYG,Jarrod Bunch,BuncJa00,1992-10-25,1992,8,REG,0,12,77,0,1,0,0,0,0,0
24,NYG,Jarrod Bunch,BuncJa00,1992-11-01,1992,9,REG,1,11,27,1,0,0,0,0,0,0
25,NYG,Jarrod Bunch,BuncJa00,1992-11-08,1992,10,REG,1,3,7,0,1,1,7,0,0,0
26,NYG,Jarrod Bunch,BuncJa00,1992-11-15,1992,11,REG,0,6,17,0,0,0,0,0,0,0
27,NYG,Jarrod Bunch,BuncJa00,1992-11-22,1992,12,REG,1,4,7,0,3,1,13,0,0,0
28,NYG,Jarrod Bunch,BuncJa00,1992-11-26,1992,13,REG,1,6,20,0,1,0,0,0,0,0
29,NYG,Jarrod Bunch,BuncJa00,1992-12-06,1992,14,REG,1,5,18,0,0,0,0,0,0,0
30,NYG,Jarrod Bunch,BuncJa00,1992-12-12,1992,15,REG,1,4,19,0,0,0,0,0,0,0
31,NYG,Jarrod Bunch,BuncJa00,1992-12-19,1992,16,REG,1,10,84,0,0,0,0,0,0,0
32,NYG,Jarrod Bunch,BuncJa00,1992-12-27,1992,17,REG,1,5,12,0,3,3,12,0,0,0
33,NYG,Jarrod Bunch,BuncJa00,1993-09-05,1993,1,REG,1,1,4,0,5,4,22,1,0,0
34,NYG,Jarrod Bunch,BuncJa00,1993-09-12,1993,2,REG,1,3,11,0,0,0,0,0,0,0
35,NYG,Jarrod Bunch,BuncJa00,1993-09-19,1993,3,REG,1,2,4,0,1,1,11,0,0,0
0,NYG,Jarrod Bunch,BuncJa00,,1993,4,BYE,0,0,0,0,0,0,0,0,0,0
0,NYG,Jarrod Bunch,BuncJa00,1993-10-03,1993,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Jarrod Bunch,BuncJa00,1993-10-10,1993,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Jarrod Bunch,BuncJa00,1993-10-17,1993,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Jarrod Bunch,BuncJa00,,1993,8,BYE,0,0,0,0,0,0,0,0,0,0
36,NYG,Jarrod Bunch,BuncJa00,1993-10-31,1993,9,REG,0,3,10,0,3,2,11,0,0,0
37,NYG,Jarrod Bunch,BuncJa00,1993-11-07,1993,10,REG,1,4,19,0,2,1,8,0,0,0
38,NYG,Jarrod Bunch,BuncJa00,1993-11-14,1993,11,REG,1,5,31,0,0,0,0,0,0,0
39,NYG,Jarrod Bunch,BuncJa00,1993-11-21,1993,12,REG,0,0,0,0,0,0,0,0,0,0
40,NYG,Jarrod Bunch,BuncJa00,1993-11-28,1993,13,REG,0,1,0,0,2,1,13,0,0,0
41,NYG,Jarrod Bunch,BuncJa00,1993-12-05,1993,14,REG,0,2,5,0,2,1,11,0,0,0
42,NYG,Jarrod Bunch,BuncJa00,1993-12-12,1993,15,REG,0,3,13,1,2,2,13,0,0,0
43,NYG,Jarrod Bunch,BuncJa00,1993-12-20,1993,16,REG,1,7,29,0,1,1,9,0,0,0
44,NYG,Jarrod Bunch,BuncJa00,1993-12-26,1993,17,REG,1,1,1,0,0,0,0,0,0,0
45,NYG,Jarrod Bunch,BuncJa00,1994-01-02,1993,18,REG,1,1,1,1,0,0,0,0,0,0
46,NYG,Jarrod Bunch,BuncJa00,1994-01-09,1993,19,POST,0,1,1,0,0,0,0,0,0,0
