CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SFO,Jarryd Hayne,HaynJa00,2015-09-14,2015,1,REG,0,4,13,0,1,1,7,0,10,3
2,SFO,Jarryd Hayne,HaynJa00,2015-09-20,2015,2,REG,0,2,3,0,0,0,0,0,4,2
3,SFO,Jarryd Hayne,HaynJa00,2015-09-27,2015,3,REG,0,0,0,0,0,0,0,0,2,4
4,SFO,Jarryd Hayne,HaynJa00,2015-10-04,2015,4,REG,0,0,0,0,0,0,0,0,0,7
5,SFO,Jarryd Hayne,HaynJa00,2015-10-11,2015,5,REG,0,2,9,0,0,0,0,0,3,2
6,SFO,Jarryd Hayne,HaynJa00,2015-10-18,2015,6,REG,0,0,0,0,0,0,0,0,9,6
0,SFO,Jarryd Hayne,HaynJa00,2015-10-22,2015,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,2015-11-01,2015,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,2015-11-08,2015,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,,2015,10,BYE,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,2015-11-22,2015,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,2015-11-29,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,2015-12-06,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Jarryd Hayne,HaynJa00,2015-12-20,2015,15,DNP,0,0,0,0,0,0,0,0,0,0
7,SFO,Jarryd Hayne,HaynJa00,2015-12-27,2015,16,REG,1,9,27,0,6,5,20,0,35,0
8,SFO,Jarryd Hayne,HaynJa00,2016-01-03,2015,17,REG,0,0,0,0,0,0,0,0,0,1
