CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,BAL,Jason Brookins,BrooJa01,2001-09-09,2001,1,REG,0,1,8,0,0,0,0,0,0,0
2,BAL,Jason Brookins,BrooJa01,2001-09-23,2001,2,REG,0,0,0,0,0,0,0,0,0,0
3,BAL,Jason Brookins,BrooJa01,2001-09-30,2001,3,REG,0,4,31,0,0,0,0,0,0,0
4,BAL,Jason Brookins,BrooJa01,2001-10-07,2001,4,REG,0,15,68,1,0,0,0,0,0,0
5,BAL,Jason Brookins,BrooJa01,2001-10-14,2001,5,REG,0,9,33,1,0,0,0,0,0,0
6,BAL,Jason Brookins,BrooJa01,2001-10-21,2001,6,REG,0,13,46,0,3,3,24,0,0,0
7,BAL,Jason Brookins,BrooJa01,2001-10-28,2001,7,REG,1,19,82,1,3,2,12,0,0,0
8,BAL,Jason Brookins,BrooJa01,2001-11-04,2001,8,REG,0,16,40,0,1,0,0,0,0,0
9,BAL,Jason Brookins,BrooJa01,2001-11-12,2001,9,REG,0,14,57,0,0,0,0,0,0,0
10,BAL,Jason Brookins,BrooJa01,2001-11-18,2001,10,REG,1,21,89,0,0,0,0,0,0,0
11,BAL,Jason Brookins,BrooJa01,2001-11-25,2001,11,REG,1,32,82,2,2,1,9,0,0,0
0,BAL,Jason Brookins,BrooJa01,2001-12-02,2001,12,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Jason Brookins,BrooJa01,,2001,13,BYE,0,0,0,0,0,0,0,0,0,0
0,BAL,Jason Brookins,BrooJa01,2001-12-16,2001,14,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Jason Brookins,BrooJa01,2001-12-23,2001,15,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Jason Brookins,BrooJa01,2001-12-29,2001,16,DNP,0,0,0,0,0,0,0,0,0,0
12,BAL,Jason Brookins,BrooJa01,2002-01-07,2001,17,REG,0,7,15,0,0,0,0,0,0,0
13,BAL,Jason Brookins,BrooJa01,2002-01-13,2001,18,POST,0,10,65,0,1,1,3,0,0,0
14,BAL,Jason Brookins,BrooJa01,2002-01-20,2001,19,POST,0,4,6,0,0,0,0,0,0,0
