CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,OAK,Jason Davis,DaviJa00,2008-09-08,2008,1,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-09-14,2008,2,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-09-21,2008,3,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-09-28,2008,4,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,1970-01-01,2008,5,BYE,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-10-12,2008,6,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-10-19,2008,7,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-10-26,2008,8,DNP,0,0,0,0,0,0,0,0,0,0
1,OAK,Jason Davis,DaviJa00,2008-11-02,2008,9,REG,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-11-09,2008,10,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-11-16,2008,11,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jason Davis,DaviJa00,2008-11-23,2008,12,DNP,0,0,0,0,0,0,0,0,0,0
2,CHI,Jason Davis,DaviJa00,2008-11-30,2008,13,REG,0,1,0,0,0,0,0,0,0,0
3,CHI,Jason Davis,DaviJa00,2008-12-07,2008,14,REG,1,0,0,0,0,0,0,0,0,0
4,CHI,Jason Davis,DaviJa00,2008-12-11,2008,15,REG,1,0,0,0,3,1,12,0,0,0
5,CHI,Jason Davis,DaviJa00,2008-12-22,2008,16,REG,0,0,0,0,0,0,0,0,0,0
6,CHI,Jason Davis,DaviJa00,2008-12-28,2008,17,REG,1,0,0,0,0,0,0,0,0,0
