CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,TEN,Javon Ringer,RingJa00,2009-09-10,2009,1,REG,0,0,0,0,0,0,0,0,0,0
2,TEN,Javon Ringer,RingJa00,2009-09-20,2009,2,REG,0,0,0,0,0,0,0,0,0,0
3,TEN,Javon Ringer,RingJa00,2009-09-27,2009,3,REG,0,0,0,0,0,0,0,0,0,0
4,TEN,Javon Ringer,RingJa00,2009-10-04,2009,4,REG,0,0,0,0,0,0,0,0,0,0
5,TEN,Javon Ringer,RingJa00,2009-10-11,2009,5,REG,0,0,0,0,0,0,0,0,0,0
6,TEN,Javon Ringer,RingJa00,2009-10-18,2009,6,REG,0,7,47,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,,2009,7,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-11-01,2009,8,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-11-08,2009,9,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-11-15,2009,10,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-11-23,2009,11,DNP,0,0,0,0,0,0,0,0,0,0
7,TEN,Javon Ringer,RingJa00,2009-11-29,2009,12,REG,0,1,1,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-12-06,2009,13,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-12-13,2009,14,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-12-20,2009,15,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2009-12-25,2009,16,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,2010-01-03,2009,17,DNP,0,0,0,0,0,0,0,0,0,0
8,TEN,Javon Ringer,RingJa00,2010-09-12,2010,1,REG,0,5,33,1,0,0,0,0,0,0
9,TEN,Javon Ringer,RingJa00,2010-09-19,2010,2,REG,0,2,1,0,0,0,0,0,0,0
10,TEN,Javon Ringer,RingJa00,2010-09-26,2010,3,REG,0,6,30,0,0,0,0,0,0,0
11,TEN,Javon Ringer,RingJa00,2010-10-03,2010,4,REG,0,2,50,0,0,0,0,0,0,0
12,TEN,Javon Ringer,RingJa00,2010-10-10,2010,5,REG,0,4,5,0,1,1,9,0,0,0
13,TEN,Javon Ringer,RingJa00,2010-10-18,2010,6,REG,0,10,42,0,1,1,8,0,0,0
14,TEN,Javon Ringer,RingJa00,2010-10-24,2010,7,REG,0,2,9,0,0,0,0,0,0,0
15,TEN,Javon Ringer,RingJa00,2010-10-31,2010,8,REG,0,2,3,0,0,0,0,0,0,0
0,TEN,Javon Ringer,RingJa00,,2010,9,BYE,0,0,0,0,0,0,0,0,0,0
16,TEN,Javon Ringer,RingJa00,2010-11-14,2010,10,REG,0,6,4,0,1,1,4,0,0,0
17,TEN,Javon Ringer,RingJa00,2010-11-21,2010,11,REG,0,1,1,0,0,0,0,0,0,0
18,TEN,Javon Ringer,RingJa00,2010-11-28,2010,12,REG,0,4,27,0,1,1,4,0,0,0
19,TEN,Javon Ringer,RingJa00,2010-12-05,2010,13,REG,0,0,0,0,1,1,4,0,0,0
20,TEN,Javon Ringer,RingJa00,2010-12-09,2010,14,REG,0,2,10,0,1,1,8,0,0,0
21,TEN,Javon Ringer,RingJa00,2010-12-19,2010,15,REG,0,4,19,1,0,0,0,0,0,0
22,TEN,Javon Ringer,RingJa00,2010-12-26,2010,16,REG,0,0,0,0,1,0,0,0,0,0
23,TEN,Javon Ringer,RingJa00,2011-01-02,2010,17,REG,0,1,5,0,1,1,7,0,0,0
0,TEN,Javon Ringer,RingJa00,2011-09-11,2011,1,DNP,0,0,0,0,0,0,0,0,0,0
24,TEN,Javon Ringer,RingJa00,2011-09-18,2011,2,REG,0,5,21,1,2,2,30,0,0,0
25,TEN,Javon Ringer,RingJa00,2011-09-25,2011,3,REG,0,6,-6,0,2,2,17,0,0,0
26,TEN,Javon Ringer,RingJa00,2011-10-02,2011,4,REG,0,4,4,0,0,0,0,0,0,0
