CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,MIA,Jaylen Wright,WrigJa04,2024-09-08,2024,1,DNP,0,0,0,0,0,0,0,0,0,0
1,MIA,Jaylen Wright,WrigJa04,2024-09-12,2024,2,REG,0,5,4,0,0,0,0,0,18,0
2,MIA,Jaylen Wright,WrigJa04,2024-09-22,2024,3,REG,1,2,17,0,0,0,0,0,13,0
3,MIA,Jaylen Wright,WrigJa04,2024-09-30,2024,4,REG,0,9,32,0,1,0,0,0,28,0
4,MIA,Jaylen Wright,WrigJa04,2024-10-06,2024,5,REG,0,13,86,0,0,0,0,0,25,0
0,MIA,Jaylen Wright,WrigJa04,1970-01-01,2024,6,BYE,0,0,0,0,0,0,0,0,0,0
5,MIA,Jaylen Wright,WrigJa04,2024-10-20,2024,7,REG,0,5,33,0,0,0,0,0,6,1
6,MIA,Jaylen Wright,WrigJa04,2024-10-27,2024,8,REG,0,2,18,0,0,0,0,0,3,0
7,MIA,Jaylen Wright,WrigJa04,2024-11-03,2024,9,REG,0,6,18,0,0,0,0,0,9,1
8,MIA,Jaylen Wright,WrigJa04,2024-11-11,2024,10,REG,0,5,3,0,0,0,0,0,9,0
9,MIA,Jaylen Wright,WrigJa04,2024-11-17,2024,11,REG,0,5,4,0,1,1,2,0,18,1
10,MIA,Jaylen Wright,WrigJa04,2024-11-24,2024,12,REG,0,7,28,0,1,0,0,0,13,0
11,MIA,Jaylen Wright,WrigJa04,2024-11-28,2024,13,REG,0,0,0,0,0,0,0,0,1,0
12,MIA,Jaylen Wright,WrigJa04,2024-12-08,2024,14,REG,0,2,7,0,3,2,6,0,14,4
13,MIA,Jaylen Wright,WrigJa04,2024-12-15,2024,15,REG,0,1,3,0,0,0,0,0,3,0
0,MIA,Jaylen Wright,WrigJa04,2024-12-22,2024,16,DNP,0,0,0,0,0,0,0,0,0,0
14,MIA,Jaylen Wright,WrigJa04,2024-12-29,2024,17,REG,0,0,0,0,0,0,0,0,2,0
15,MIA,Jaylen Wright,WrigJa04,2025-01-05,2024,18,REG,0,6,-4,0,0,0,0,0,9,0
