CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,OAK,Jeremy Stewart,StewJe00,2012-09-10,2012,1,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-09-16,2012,2,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-09-23,2012,3,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-09-30,2012,4,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,1970-01-01,2012,5,BYE,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-10-14,2012,6,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-10-21,2012,7,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-10-28,2012,8,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-11-04,2012,9,DNP,0,0,0,0,0,0,0,0,0,0
1,OAK,Jeremy Stewart,StewJe00,2012-11-11,2012,10,REG,0,7,22,0,0,0,0,0,14,14
2,OAK,Jeremy Stewart,StewJe00,2012-11-18,2012,11,REG,0,2,7,0,1,1,23,0,10,11
3,OAK,Jeremy Stewart,StewJe00,2012-11-25,2012,12,REG,0,7,26,0,6,6,37,0,21,8
4,OAK,Jeremy Stewart,StewJe00,2012-12-02,2012,13,REG,0,9,46,0,1,1,2,0,21,11
0,OAK,Jeremy Stewart,StewJe00,2012-12-06,2012,14,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-12-16,2012,15,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-12-23,2012,16,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2012-12-30,2012,17,DNP,0,0,0,0,0,0,0,0,0,0
5,OAK,Jeremy Stewart,StewJe00,2013-09-08,2013,1,REG,0,0,0,0,0,0,0,0,0,13
6,OAK,Jeremy Stewart,StewJe00,2013-09-15,2013,2,REG,0,0,0,0,0,0,0,0,0,20
7,OAK,Jeremy Stewart,StewJe00,2013-09-23,2013,3,REG,0,0,0,0,0,0,0,0,0,19
8,OAK,Jeremy Stewart,StewJe00,2013-09-29,2013,4,REG,0,0,0,0,1,1,5,0,3,24
9,OAK,Jeremy Stewart,StewJe00,2013-10-06,2013,5,REG,0,0,0,0,1,1,1,0,3,17
10,OAK,Jeremy Stewart,StewJe00,2013-10-13,2013,6,REG,0,0,0,0,0,0,0,0,0,23
0,OAK,Jeremy Stewart,StewJe00,1970-01-01,2013,7,BYE,0,0,0,0,0,0,0,0,0,0
11,OAK,Jeremy Stewart,StewJe00,2013-10-27,2013,8,REG,0,0,0,0,0,0,0,0,0,22
12,OAK,Jeremy Stewart,StewJe00,2013-11-03,2013,9,REG,0,2,2,1,0,0,0,0,6,28
13,OAK,Jeremy Stewart,StewJe00,2013-11-10,2013,10,REG,0,0,0,0,0,0,0,0,0,20
14,OAK,Jeremy Stewart,StewJe00,2013-11-17,2013,11,REG,0,0,0,0,0,0,0,0,0,32
15,OAK,Jeremy Stewart,StewJe00,2013-11-24,2013,12,REG,0,0,0,0,0,0,0,0,0,19
16,OAK,Jeremy Stewart,StewJe00,2013-11-28,2013,13,REG,0,0,0,0,0,0,0,0,0,15
0,OAK,Jeremy Stewart,StewJe00,2013-12-08,2013,14,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2013-12-15,2013,15,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Jeremy Stewart,StewJe00,2013-12-22,2013,16,DNP,0,0,0,0,0,0,0,0,0,0
17,OAK,Jeremy Stewart,StewJe00,2013-12-29,2013,17,REG,0,0,0,0,0,0,0,0,0,17
0,DEN,Jeremy Stewart,StewJe00,2014-09-07,2014,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-09-14,2014,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-09-21,2014,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,1970-01-01,2014,4,BYE,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-10-05,2014,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-10-12,2014,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-10-19,2014,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-10-23,2014,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-11-02,2014,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-11-09,2014,10,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Jeremy Stewart,StewJe00,2014-11-16,2014,11,DNP,0,0,0,0,0,0,0,0,0,0
18,DEN,Jeremy Stewart,StewJe00,2014-11-23,2014,12,REG,0,0,0,0,0,0,0,0,0,4
19,DEN,Jeremy Stewart,StewJe00,2014-11-30,2014,13,REG,0,0,0,0,0,0,0,0,0,12
20,DEN,Jeremy Stewart,StewJe00,2014-12-07,2014,14,REG,0,1,1,0,0,0,0,0,1,11
21,DEN,Jeremy Stewart,StewJe00,2014-12-14,2014,15,REG,0,1,16,0,0,0,0,0,2,14
