CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,RAM,Jerome Bettis,BettJe00,1993-09-05,1993,1,REG,0,5,24,0,1,1,6,0,0,0
2,RAM,Jerome Bettis,BettJe00,1993-09-12,1993,2,REG,0,16,76,1,1,1,-4,0,0,0
3,RAM,Jerome Bettis,BettJe00,1993-09-19,1993,3,REG,1,9,33,0,2,1,1,0,0,0
4,RAM,Jerome Bettis,BettJe00,1993-09-26,1993,4,REG,0,11,25,1,1,1,11,0,0,0
5,RAM,Jerome Bettis,BettJe00,1993-10-03,1993,5,REG,0,22,102,0,1,0,0,0,0,0
0,RAM,Jerome Bettis,BettJe00,,1993,6,BYE,0,0,0,0,0,0,0,0,0,0
6,RAM,Jerome Bettis,BettJe00,1993-10-14,1993,7,REG,1,19,85,1,3,3,53,0,0,0
7,RAM,Jerome Bettis,BettJe00,1993-10-24,1993,8,REG,1,23,113,0,1,0,0,0,0,0
8,RAM,Jerome Bettis,BettJe00,1993-10-31,1993,9,REG,1,21,72,1,2,1,8,0,0,0
0,RAM,Jerome Bettis,BettJe00,,1993,10,BYE,0,0,0,0,0,0,0,0,0,0
9,RAM,Jerome Bettis,BettJe00,1993-11-14,1993,11,REG,1,11,27,0,3,2,10,0,0,0
10,RAM,Jerome Bettis,BettJe00,1993-11-21,1993,12,REG,1,16,86,0,4,4,44,0,0,0
11,RAM,Jerome Bettis,BettJe00,1993-11-28,1993,13,REG,1,18,133,0,2,2,17,0,0,0
12,RAM,Jerome Bettis,BettJe00,1993-12-05,1993,14,REG,1,16,115,0,1,1,4,0,0,0
13,RAM,Jerome Bettis,BettJe00,1993-12-12,1993,15,REG,1,28,212,1,0,0,0,0,0,0
14,RAM,Jerome Bettis,BettJe00,1993-12-19,1993,16,REG,1,24,124,0,2,2,11,0,0,0
15,RAM,Jerome Bettis,BettJe00,1993-12-26,1993,17,REG,1,16,56,1,3,2,12,0,0,0
16,RAM,Jerome Bettis,BettJe00,1994-01-02,1993,18,REG,1,39,146,1,7,5,71,0,0,0
17,RAM,Jerome Bettis,BettJe00,1994-09-04,1994,1,REG,1,21,52,1,1,0,0,0,0,0
18,RAM,Jerome Bettis,BettJe00,1994-09-11,1994,2,REG,1,24,102,0,2,2,22,0,0,0
19,RAM,Jerome Bettis,BettJe00,1994-09-18,1994,3,REG,1,21,104,1,0,0,0,0,0,0
20,RAM,Jerome Bettis,BettJe00,1994-09-25,1994,4,REG,1,35,132,0,2,2,24,0,0,0
21,RAM,Jerome Bettis,BettJe00,1994-10-02,1994,5,REG,1,29,117,0,1,1,6,0,0,0
22,RAM,Jerome Bettis,BettJe00,1994-10-09,1994,6,REG,1,22,65,0,3,1,10,0,0,0
23,RAM,Jerome Bettis,BettJe00,1994-10-16,1994,7,REG,1,30,88,0,4,3,62,0,0,0
24,RAM,Jerome Bettis,BettJe00,1994-10-23,1994,8,REG,1,18,63,0,2,1,9,0,0,0
0,RAM,Jerome Bettis,BettJe00,,1994,9,BYE,0,0,0,0,0,0,0,0,0,0
25,RAM,Jerome Bettis,BettJe00,1994-11-06,1994,10,REG,1,33,91,1,7,6,21,0,0,0
26,RAM,Jerome Bettis,BettJe00,1994-11-13,1994,11,REG,1,10,13,0,3,2,26,0,0,0
27,RAM,Jerome Bettis,BettJe00,1994-11-20,1994,12,REG,1,15,29,0,4,3,43,0,0,0
28,RAM,Jerome Bettis,BettJe00,1994-11-27,1994,13,REG,1,10,38,0,3,1,3,0,0,0
29,RAM,Jerome Bettis,BettJe00,1994-12-04,1994,14,REG,1,15,53,0,3,3,13,1,0,0
30,RAM,Jerome Bettis,BettJe00,1994-12-11,1994,15,REG,1,13,23,0,3,2,16,0,0,0
31,RAM,Jerome Bettis,BettJe00,1994-12-18,1994,16,REG,1,8,7,0,4,1,12,0,0,0
32,RAM,Jerome Bettis,BettJe00,1994-12-24,1994,17,REG,1,15,48,0,3,3,26,0,0,0
33,STL,Jerome Bettis,BettJe00,1995-09-03,1995,1,REG,1,7,4,0,0,0,0,0,0,0
34,STL,Jerome Bettis,BettJe00,1995-09-10,1995,2,REG,1,20,83,0,0,0,0,0,0,0
35,STL,Jerome Bettis,BettJe00,1995-09-17,1995,3,REG,1,19,67,1,3,2,1,0,0,0
36,STL,Jerome Bettis,BettJe00,1995-09-24,1995,4,REG,1,22,74,0,2,1,12,0,0,0
37,STL,Jerome Bettis,BettJe00,1995-10-01,1995,5,REG,1,11,31,0,2,2,10,0,0,0
0,STL,Jerome Bettis,BettJe00,,1995,6,BYE,0,0,0,0,0,0,0,0,0,0
38,STL,Jerome Bettis,BettJe00,1995-10-12,1995,7,REG,1,19,88,0,2,1,10,0,0,0
39,STL,Jerome Bettis,BettJe00,1995-10-22,1995,8,REG,1,11,34,0,2,2,7,0,0,0
40,STL,Jerome Bettis,BettJe00,1995-10-29,1995,9,REG,0,10,27,0,1,1,3,0,0,0
0,STL,Jerome Bettis,BettJe00,1995-11-05,1995,10,DNP,0,0,0,0,0,0,0,0,0,0
41,STL,Jerome Bettis,BettJe00,1995-11-12,1995,11,REG,1,26,91,1,1,1,11,0,0,0
42,STL,Jerome Bettis,BettJe00,1995-11-19,1995,12,REG,1,9,61,0,4,3,14,0,0,0
43,STL,Jerome Bettis,BettJe00,1995-11-26,1995,13,REG,1,6,20,0,2,2,7,0,0,0
44,STL,Jerome Bettis,BettJe00,1995-12-03,1995,14,REG,1,8,12,0,0,0,0,0,0,0
45,STL,Jerome Bettis,BettJe00,1995-12-10,1995,15,REG,0,1,3,0,0,0,0,0,0,0
46,STL,Jerome Bettis,BettJe00,1995-12-17,1995,16,REG,1,8,21,1,1,1,6,0,0,0
47,STL,Jerome Bettis,BettJe00,1995-12-24,1995,17,REG,1,6,21,0,3,2,25,0,0,0
48,PIT,Jerome Bettis,BettJe00,1996-09-01,1996,1,REG,0,14,57,0,3,2,14,0,0,0
49,PIT,Jerome Bettis,BettJe00,1996-09-08,1996,2,REG,0,21,116,1,1,1,6,0,0,0
50,PIT,Jerome Bettis,BettJe00,1996-09-16,1996,3,REG,0,20,133,2,3,3,32,0,0,0
0,PIT,Jerome Bettis,BettJe00,,1996,4,BYE,0,0,0,0,0,0,0,0,0,0
51,PIT,Jerome Bettis,BettJe00,1996-09-29,1996,5,REG,1,29,115,0,2,1,-6,0,0,0
52,PIT,Jerome Bettis,BettJe00,1996-10-07,1996,6,REG,1,27,103,1,6,5,40,0,0,0
53,PIT,Jerome Bettis,BettJe00,1996-10-13,1996,7,REG,1,28,109,0,2,0,0,0,0,0
54,PIT,Jerome Bettis,BettJe00,1996-10-20,1996,8,REG,1,18,65,0,3,2,2,0,0,0
55,PIT,Jerome Bettis,BettJe00,1996-10-27,1996,9,REG,1,26,126,1,2,2,2,0,0,0
56,PIT,Jerome Bettis,BettJe00,1996-11-03,1996,10,REG,1,19,129,2,0,0,0,0,0,0
