CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,IND,Jim Finn,FinnJi00,2000-09-03,2000,1,REG,0,0,0,0,0,0,0,0,0,0
2,IND,Jim Finn,FinnJi00,2000-09-10,2000,2,REG,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,,2000,3,BYE,0,0,0,0,0,0,0,0,0,0
3,IND,Jim Finn,FinnJi00,2000-09-25,2000,4,REG,0,0,0,0,1,0,0,0,0,0
4,IND,Jim Finn,FinnJi00,2000-10-01,2000,5,REG,0,0,0,0,0,0,0,0,0,0
5,IND,Jim Finn,FinnJi00,2000-10-08,2000,6,REG,0,0,0,0,0,0,0,0,0,0
6,IND,Jim Finn,FinnJi00,2000-10-15,2000,7,REG,1,0,0,0,0,0,0,0,0,0
7,IND,Jim Finn,FinnJi00,2000-10-22,2000,8,REG,0,0,0,0,0,0,0,0,0,0
8,IND,Jim Finn,FinnJi00,2000-10-29,2000,9,REG,0,0,0,0,1,1,2,0,0,0
9,IND,Jim Finn,FinnJi00,2000-11-05,2000,10,REG,0,0,0,0,0,0,0,0,0,0
10,IND,Jim Finn,FinnJi00,2000-11-12,2000,11,REG,0,1,1,0,1,0,0,0,0,0
11,IND,Jim Finn,FinnJi00,2000-11-19,2000,12,REG,0,0,0,0,1,1,5,1,0,0
12,IND,Jim Finn,FinnJi00,2000-11-26,2000,13,REG,0,0,0,0,0,0,0,0,0,0
13,IND,Jim Finn,FinnJi00,2000-12-03,2000,14,REG,0,0,0,0,0,0,0,0,0,0
14,IND,Jim Finn,FinnJi00,2000-12-11,2000,15,REG,0,0,0,0,1,1,0,0,0,0
15,IND,Jim Finn,FinnJi00,2000-12-17,2000,16,REG,0,0,0,0,0,0,0,0,0,0
16,IND,Jim Finn,FinnJi00,2000-12-24,2000,17,REG,0,0,0,0,1,1,6,0,0,0
17,IND,Jim Finn,FinnJi00,2000-12-30,2000,18,POST,0,0,0,0,0,0,0,0,0,0
18,IND,Jim Finn,FinnJi00,2001-09-09,2001,1,REG,0,0,0,0,0,0,0,0,0,0
19,IND,Jim Finn,FinnJi00,2001-09-23,2001,2,REG,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,2001-09-30,2001,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,,2001,4,BYE,0,0,0,0,0,0,0,0,0,0
20,IND,Jim Finn,FinnJi00,2001-10-14,2001,5,REG,0,0,0,0,0,0,0,0,0,0
21,IND,Jim Finn,FinnJi00,2001-10-21,2001,6,REG,0,0,0,0,0,0,0,0,0,0
22,IND,Jim Finn,FinnJi00,2001-10-25,2001,7,REG,0,0,0,0,0,0,0,0,0,0
23,IND,Jim Finn,FinnJi00,2001-11-04,2001,8,REG,0,0,0,0,0,0,0,0,0,0
24,IND,Jim Finn,FinnJi00,2001-11-11,2001,9,REG,0,0,0,0,0,0,0,0,0,0
25,IND,Jim Finn,FinnJi00,2001-11-18,2001,10,REG,0,0,0,0,0,0,0,0,0,0
26,IND,Jim Finn,FinnJi00,2001-11-25,2001,11,REG,0,0,0,0,1,0,0,0,0,0
27,IND,Jim Finn,FinnJi00,2001-12-02,2001,12,REG,0,0,0,0,0,0,0,0,0,0
28,IND,Jim Finn,FinnJi00,2001-12-10,2001,13,REG,0,0,0,0,0,0,0,0,0,0
29,IND,Jim Finn,FinnJi00,2001-12-16,2001,14,REG,0,0,0,0,0,0,0,0,0,0
30,IND,Jim Finn,FinnJi00,2001-12-23,2001,15,REG,0,0,0,0,0,0,0,0,0,0
31,IND,Jim Finn,FinnJi00,2001-12-30,2001,16,REG,0,0,0,0,0,0,0,0,0,0
32,IND,Jim Finn,FinnJi00,2002-01-06,2001,17,REG,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,2002-09-08,2002,1,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,2002-09-15,2002,2,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,2002-09-22,2002,3,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,,2002,4,BYE,0,0,0,0,0,0,0,0,0,0
33,IND,Jim Finn,FinnJi00,2002-10-06,2002,5,REG,0,0,0,0,0,0,0,0,0,0
34,IND,Jim Finn,FinnJi00,2002-10-13,2002,6,REG,0,0,0,0,0,0,0,0,0,0
35,IND,Jim Finn,FinnJi00,2002-10-21,2002,7,REG,0,0,0,0,0,0,0,0,0,0
36,IND,Jim Finn,FinnJi00,2002-10-27,2002,8,REG,1,0,0,0,2,1,2,0,0,0
37,IND,Jim Finn,FinnJi00,2002-11-03,2002,9,REG,1,2,8,0,3,3,29,0,0,0
38,IND,Jim Finn,FinnJi00,2002-11-10,2002,10,REG,0,3,0,0,2,1,0,0,0,0
39,IND,Jim Finn,FinnJi00,2002-11-17,2002,11,REG,0,0,0,0,1,1,0,0,0,0
40,IND,Jim Finn,FinnJi00,2002-11-24,2002,12,REG,0,0,0,0,1,0,0,0,0,0
41,IND,Jim Finn,FinnJi00,2002-12-01,2002,13,REG,0,0,0,0,0,0,0,0,0,0
42,IND,Jim Finn,FinnJi00,2002-12-08,2002,14,REG,0,0,0,0,0,0,0,0,0,0
43,IND,Jim Finn,FinnJi00,2002-12-15,2002,15,REG,0,0,0,0,0,0,0,0,0,0
44,IND,Jim Finn,FinnJi00,2002-12-22,2002,16,REG,0,0,0,0,0,0,0,0,0,0
0,IND,Jim Finn,FinnJi00,2002-12-29,2002,17,DNP,0,0,0,0,0,0,0,0,0,0
45,NYG,Jim Finn,FinnJi00,2003-09-07,2003,1,REG,0,0,0,0,0,0,0,0,0,0
0,NYG,Jim Finn,FinnJi00,2003-09-15,2003,2,DNP,0,0,0,0,0,0,0,0,0,0
46,NYG,Jim Finn,FinnJi00,2003-09-21,2003,3,REG,1,0,0,0,3,2,39,0,0,0
0,NYG,Jim Finn,FinnJi00,,2003,4,BYE,0,0,0,0,0,0,0,0,0,0
47,NYG,Jim Finn,FinnJi00,2003-10-05,2003,5,REG,1,0,0,0,4,3,14,0,0,0
48,NYG,Jim Finn,FinnJi00,2003-10-12,2003,6,REG,0,0,0,0,2,2,16,0,0,0
