CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,PIT,John Kuhn,KuhnJo00,2006-09-07,2006,1,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,John Kuhn,KuhnJo00,2006-09-18,2006,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,John Kuhn,KuhnJo00,2006-09-24,2006,3,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,John Kuhn,KuhnJo00,1970-01-01,2006,4,BYE,0,0,0,0,0,0,0,0,0,0
0,PIT,John Kuhn,KuhnJo00,2006-10-08,2006,5,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,John Kuhn,KuhnJo00,2006-10-15,2006,6,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,John Kuhn,KuhnJo00,2006-10-22,2006,7,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,John Kuhn,KuhnJo00,2006-10-29,2006,8,DNP,0,0,0,0,0,0,0,0,0,0
1,PIT,John Kuhn,KuhnJo00,2006-11-05,2006,9,REG,0,0,0,0,0,0,0,0,0,0
2,PIT,John Kuhn,KuhnJo00,2006-11-12,2006,10,REG,0,0,0,0,0,0,0,0,0,0
3,PIT,John Kuhn,KuhnJo00,2006-11-19,2006,11,REG,0,0,0,0,0,0,0,0,0,0
4,PIT,John Kuhn,KuhnJo00,2006-11-26,2006,12,REG,0,0,0,0,0,0,0,0,0,0
5,PIT,John Kuhn,KuhnJo00,2006-12-03,2006,13,REG,0,0,0,0,0,0,0,0,0,0
6,PIT,John Kuhn,KuhnJo00,2006-12-07,2006,14,REG,0,1,16,0,0,0,0,0,0,0
7,PIT,John Kuhn,KuhnJo00,2006-12-17,2006,15,REG,0,1,2,0,1,1,15,0,0,0
8,PIT,John Kuhn,KuhnJo00,2006-12-24,2006,16,REG,0,0,0,0,0,0,0,0,0,0
9,PIT,John Kuhn,KuhnJo00,2006-12-31,2006,17,REG,0,0,0,0,0,0,0,0,0,0
10,GNB,John Kuhn,KuhnJo00,2007-09-09,2007,1,REG,0,0,0,0,0,0,0,0,0,0
