CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,TEN,John Simon,SimoJo00,2002-09-08,2002,1,REG,0,0,0,0,1,1,6,0,0,0
2,TEN,John Simon,SimoJo00,2002-09-15,2002,2,REG,0,0,0,0,0,0,0,0,0,0
3,TEN,John Simon,SimoJo00,2002-09-22,2002,3,REG,0,1,1,0,2,2,15,1,0,0
4,TEN,John Simon,SimoJo00,2002-09-29,2002,4,REG,0,4,11,1,4,4,50,0,0,0
5,TEN,John Simon,SimoJo00,2002-10-06,2002,5,REG,0,2,7,0,2,2,15,1,0,0
6,TEN,John Simon,SimoJo00,2002-10-13,2002,6,REG,0,0,0,0,3,3,-1,0,0,0
0,TEN,John Simon,SimoJo00,,2002,7,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,John Simon,SimoJo00,2002-10-27,2002,8,DNP,0,0,0,0,0,0,0,0,0,0
7,TEN,John Simon,SimoJo00,2002-11-03,2002,9,REG,0,0,0,0,0,0,0,0,0,0
8,TEN,John Simon,SimoJo00,2002-11-10,2002,10,REG,0,1,-2,0,1,1,-4,0,0,0
0,TEN,John Simon,SimoJo00,2002-11-17,2002,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,John Simon,SimoJo00,2002-11-24,2002,12,DNP,0,0,0,0,0,0,0,0,0,0
9,TEN,John Simon,SimoJo00,2002-12-01,2002,13,REG,0,0,0,0,3,2,44,0,0,0
10,TEN,John Simon,SimoJo00,2002-12-08,2002,14,REG,0,0,0,0,1,1,42,1,0,0
11,TEN,John Simon,SimoJo00,2002-12-16,2002,15,REG,0,0,0,0,0,0,0,0,0,0
12,TEN,John Simon,SimoJo00,2002-12-22,2002,16,REG,0,1,1,0,0,0,0,0,0,0
0,TEN,John Simon,SimoJo00,2002-12-29,2002,17,DNP,0,0,0,0,0,0,0,0,0,0
13,TEN,John Simon,SimoJo00,2003-01-11,2002,19,POST,0,0,0,0,1,0,0,0,0,0
14,TEN,John Simon,SimoJo00,2003-01-19,2002,20,POST,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-09-04,2003,1,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-09-14,2003,2,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-09-21,2003,3,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-09-28,2003,4,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-10-05,2003,5,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-10-12,2003,6,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-10-19,2003,7,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,,2003,8,BYE,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-11-02,2003,9,DNP,0,0,0,0,0,0,0,0,0,0
15,WAS,John Simon,SimoJo00,2003-11-09,2003,10,REG,0,2,9,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-11-16,2003,11,DNP,0,0,0,0,0,0,0,0,0,0
16,WAS,John Simon,SimoJo00,2003-11-23,2003,12,REG,0,0,0,0,2,2,16,0,0,0
0,WAS,John Simon,SimoJo00,2003-11-30,2003,13,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-12-07,2003,14,DNP,0,0,0,0,0,0,0,0,0,0
0,WAS,John Simon,SimoJo00,2003-12-14,2003,15,DNP,0,0,0,0,0,0,0,0,0,0
17,WAS,John Simon,SimoJo00,2003-12-21,2003,16,REG,0,0,0,0,0,0,0,0,0,0
18,WAS,John Simon,SimoJo00,2003-12-27,2003,17,REG,0,1,0,0,1,1,5,0,0,0
