CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,BUF,Jonathan Linton,LintJo00,1998-09-06,1998,1,REG,0,1,2,0,0,0,0,0,0,0
2,BUF,Jonathan Linton,LintJo00,1998-09-13,1998,2,REG,0,0,0,0,0,0,0,0,0,0
3,BUF,Jonathan Linton,LintJo00,1998-09-20,1998,3,REG,0,0,0,0,0,0,0,0,0,0
0,BUF,Jonathan Linton,LintJo00,,1998,4,BYE,0,0,0,0,0,0,0,0,0,0
0,BUF,Jonathan Linton,LintJo00,1998-10-04,1998,5,DNP,0,0,0,0,0,0,0,0,0,0
0,BUF,Jonathan Linton,LintJo00,1998-10-11,1998,6,DNP,0,0,0,0,0,0,0,0,0,0
4,BUF,Jonathan Linton,LintJo00,1998-10-18,1998,7,REG,0,0,0,0,0,0,0,0,0,0
5,BUF,Jonathan Linton,LintJo00,1998-10-25,1998,8,REG,0,10,53,0,0,0,0,0,0,0
6,BUF,Jonathan Linton,LintJo00,1998-11-01,1998,9,REG,0,0,0,0,0,0,0,0,0,0
7,BUF,Jonathan Linton,LintJo00,1998-11-08,1998,10,REG,0,0,0,0,0,0,0,0,0,0
8,BUF,Jonathan Linton,LintJo00,1998-11-15,1998,11,REG,0,0,0,0,0,0,0,0,0,0
9,BUF,Jonathan Linton,LintJo00,1998-11-22,1998,12,REG,0,6,46,0,1,0,0,0,0,0
10,BUF,Jonathan Linton,LintJo00,1998-11-29,1998,13,REG,0,1,2,0,0,0,0,0,0,0
11,BUF,Jonathan Linton,LintJo00,1998-12-06,1998,14,REG,0,5,17,0,0,0,0,0,0,0
12,BUF,Jonathan Linton,LintJo00,1998-12-13,1998,15,REG,0,6,6,0,1,1,10,0,0,0
13,BUF,Jonathan Linton,LintJo00,1998-12-19,1998,16,REG,0,3,9,0,0,0,0,0,0,0
14,BUF,Jonathan Linton,LintJo00,1998-12-27,1998,17,REG,0,13,60,1,1,0,0,0,0,0
15,BUF,Jonathan Linton,LintJo00,1999-01-02,1998,18,POST,0,0,0,0,0,0,0,0,0,0
16,BUF,Jonathan Linton,LintJo00,1999-09-12,1999,1,REG,0,5,16,0,6,3,42,0,0,0
17,BUF,Jonathan Linton,LintJo00,1999-09-19,1999,2,REG,0,10,44,0,0,0,0,0,0,0
18,BUF,Jonathan Linton,LintJo00,1999-09-26,1999,3,REG,0,15,57,0,5,4,31,0,0,0
19,BUF,Jonathan Linton,LintJo00,1999-10-04,1999,4,REG,0,6,8,0,2,2,15,0,0,0
20,BUF,Jonathan Linton,LintJo00,1999-10-10,1999,5,REG,0,15,45,0,1,1,15,0,0,0
