CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,IND,Jonathan Taylor,TaylJo02,2020-09-13,2020,1,REG,0,9,22,0,6,6,67,0,26,0
2,IND,Jonathan Taylor,TaylJo02,2020-09-20,2020,2,REG,1,26,101,1,2,2,9,0,49,0
3,IND,Jonathan Taylor,TaylJo02,2020-09-27,2020,3,REG,1,13,59,1,1,1,3,0,24,0
4,IND,Jonathan Taylor,TaylJo02,2020-10-04,2020,4,REG,1,17,68,0,1,1,11,0,33,0
5,IND,Jonathan Taylor,TaylJo02,2020-10-11,2020,5,REG,1,12,57,1,3,2,17,0,31,0
6,IND,Jonathan Taylor,TaylJo02,2020-10-18,2020,6,REG,1,12,60,0,4,4,55,0,37,0
0,IND,Jonathan Taylor,TaylJo02,,2020,7,BYE,0,0,0,0,0,0,0,0,0,0
7,IND,Jonathan Taylor,TaylJo02,2020-11-01,2020,8,REG,1,11,22,0,2,2,9,0,26,0
8,IND,Jonathan Taylor,TaylJo02,2020-11-08,2020,9,REG,1,6,27,1,2,2,7,0,22,0
9,IND,Jonathan Taylor,TaylJo02,2020-11-12,2020,10,REG,1,7,12,0,2,2,25,0,17,0
10,IND,Jonathan Taylor,TaylJo02,2020-11-22,2020,11,REG,0,22,90,0,4,4,24,0,46,0
0,IND,Jonathan Taylor,TaylJo02,2020-11-29,2020,12,DNP,0,0,0,0,0,0,0,0,0,0
11,IND,Jonathan Taylor,TaylJo02,2020-12-06,2020,13,REG,1,13,91,0,3,3,44,1,33,0
12,IND,Jonathan Taylor,TaylJo02,2020-12-13,2020,14,REG,1,20,150,2,2,2,15,0,34,0
13,IND,Jonathan Taylor,TaylJo02,2020-12-20,2020,15,REG,1,16,83,1,5,4,12,0,38,0
14,IND,Jonathan Taylor,TaylJo02,2020-12-27,2020,16,REG,1,18,74,2,0,0,0,0,40,0
15,IND,Jonathan Taylor,TaylJo02,2021-01-03,2020,17,REG,1,30,253,2,2,1,1,0,55,0
16,IND,Jonathan Taylor,TaylJo02,2021-01-09,2020,18,POST,1,21,78,1,4,2,6,0,47,0
17,IND,Jonathan Taylor,TaylJo02,2021-09-12,2021,1,REG,1,17,56,0,7,6,60,0,42,0
18,IND,Jonathan Taylor,TaylJo02,2021-09-19,2021,2,REG,1,15,51,0,1,1,2,0,30,0
19,IND,Jonathan Taylor,TaylJo02,2021-09-26,2021,3,REG,1,10,64,0,1,1,8,0,29,0
20,IND,Jonathan Taylor,TaylJo02,2021-10-03,2021,4,REG,1,16,103,1,3,3,11,0,36,0
21,IND,Jonathan Taylor,TaylJo02,2021-10-11,2021,5,REG,1,15,53,1,4,3,116,1,36,0
22,IND,Jonathan Taylor,TaylJo02,2021-10-17,2021,6,REG,1,14,145,2,2,1,13,0,31,0
23,IND,Jonathan Taylor,TaylJo02,2021-10-24,2021,7,REG,1,18,107,1,3,3,3,0,47,0
24,IND,Jonathan Taylor,TaylJo02,2021-10-31,2021,8,REG,1,16,70,1,4,3,52,0,59,0
25,IND,Jonathan Taylor,TaylJo02,2021-11-04,2021,9,REG,1,19,172,2,2,2,28,0,43,0
26,IND,Jonathan Taylor,TaylJo02,2021-11-14,2021,10,REG,1,21,116,1,8,6,10,0,54,0
27,IND,Jonathan Taylor,TaylJo02,2021-11-21,2021,11,REG,1,32,185,4,3,3,19,1,57,0
28,IND,Jonathan Taylor,TaylJo02,2021-11-28,2021,12,REG,1,16,83,1,5,4,14,0,49,0
29,IND,Jonathan Taylor,TaylJo02,2021-12-05,2021,13,REG,1,32,143,2,0,0,0,0,55,0
0,IND,Jonathan Taylor,TaylJo02,,2021,14,BYE,0,0,0,0,0,0,0,0,0,0
30,IND,Jonathan Taylor,TaylJo02,2021-12-18,2021,15,REG,1,29,170,1,0,0,0,0,51,0
31,IND,Jonathan Taylor,TaylJo02,2021-12-25,2021,16,REG,1,27,108,0,2,0,0,0,55,0
32,IND,Jonathan Taylor,TaylJo02,2022-01-02,2021,17,REG,1,20,108,1,2,1,6,0,41,0
33,IND,Jonathan Taylor,TaylJo02,2022-01-09,2021,18,REG,1,15,77,0,4,3,18,0,52,0
34,IND,Jonathan Taylor,TaylJo02,2022-09-11,2022,1,REG,1,31,161,1,7,4,14,0,70,0
35,IND,Jonathan Taylor,TaylJo02,2022-09-18,2022,2,REG,1,9,54,0,1,1,9,0,37,0
36,IND,Jonathan Taylor,TaylJo02,2022-09-25,2022,3,REG,1,21,71,0,5,3,20,0,54,0
37,IND,Jonathan Taylor,TaylJo02,2022-10-02,2022,4,REG,1,20,42,0,3,1,1,0,58,0
0,IND,Jonathan Taylor,TaylJo02,2022-10-06,2022,5,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jonathan Taylor,TaylJo02,2022-10-16,2022,6,DNP,0,0,0,0,0,0,0,0,0,0
38,IND,Jonathan Taylor,TaylJo02,2022-10-23,2022,7,REG,1,10,58,0,8,7,27,0,35,0
39,IND,Jonathan Taylor,TaylJo02,2022-10-30,2022,8,REG,1,16,76,0,1,0,0,0,40,0
0,IND,Jonathan Taylor,TaylJo02,2022-11-06,2022,9,DNP,0,0,0,0,0,0,0,0,0,0
40,IND,Jonathan Taylor,TaylJo02,2022-11-13,2022,10,REG,1,22,147,1,2,2,16,0,61,0
41,IND,Jonathan Taylor,TaylJo02,2022-11-20,2022,11,REG,1,22,84,1,4,3,10,0,49,0
42,IND,Jonathan Taylor,TaylJo02,2022-11-28,2022,12,REG,1,20,86,1,4,3,12,0,59,0
43,IND,Jonathan Taylor,TaylJo02,2022-12-04,2022,13,REG,1,21,82,0,4,3,21,0,59,0
0,IND,Jonathan Taylor,TaylJo02,,2022,14,BYE,0,0,0,0,0,0,0,0,0,0
44,IND,Jonathan Taylor,TaylJo02,2022-12-17,2022,15,REG,1,0,0,0,1,1,13,0,2,0
0,IND,Jonathan Taylor,TaylJo02,2022-12-26,2022,16,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jonathan Taylor,TaylJo02,2023-01-01,2022,17,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jonathan Taylor,TaylJo02,2023-01-08,2022,18,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jonathan Taylor,TaylJo02,2023-09-10,2023,1,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Jonathan Taylor,TaylJo02,2023-09-17,2023,2,DNP,0,0,0,0,0,0,0,0,0,0
