CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,LAC,Justin Jackson,JackJu01,2018-09-09,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2018-09-16,2018,2,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2018-09-23,2018,3,DNP,0,0,0,0,0,0,0,0,0,0
1,LAC,Justin Jackson,JackJu01,2018-09-30,2018,4,REG,0,0,0,0,0,0,0,0,0,11
2,LAC,Justin Jackson,JackJu01,2018-10-07,2018,5,REG,0,0,0,0,0,0,0,0,0,6
3,LAC,Justin Jackson,JackJu01,2018-10-14,2018,6,REG,0,3,4,0,1,1,8,0,7,15
4,LAC,Justin Jackson,JackJu01,2018-10-21,2018,7,REG,0,2,3,0,1,1,11,0,5,11
0,LAC,Justin Jackson,JackJu01,1970-01-01,2018,8,BYE,0,0,0,0,0,0,0,0,0,0
5,LAC,Justin Jackson,JackJu01,2018-11-04,2018,9,REG,0,0,0,0,0,0,0,0,0,8
6,LAC,Justin Jackson,JackJu01,2018-11-11,2018,10,REG,0,0,0,0,0,0,0,0,0,12
7,LAC,Justin Jackson,JackJu01,2018-11-18,2018,11,REG,0,0,0,0,0,0,0,0,0,10
8,LAC,Justin Jackson,JackJu01,2018-11-25,2018,12,REG,0,7,57,0,0,0,0,0,13,16
9,LAC,Justin Jackson,JackJu01,2018-12-02,2018,13,REG,0,8,63,1,1,1,19,0,14,12
10,LAC,Justin Jackson,JackJu01,2018-12-09,2018,14,REG,0,7,12,0,2,2,23,0,21,12
11,LAC,Justin Jackson,JackJu01,2018-12-13,2018,15,REG,1,16,58,1,4,3,27,0,56,0
12,LAC,Justin Jackson,JackJu01,2018-12-22,2018,16,REG,0,1,-1,0,10,7,47,0,21,6
13,LAC,Justin Jackson,JackJu01,2018-12-30,2018,17,REG,0,6,10,0,0,0,0,0,12,3
14,LAC,Justin Jackson,JackJu01,2019-01-06,2018,18,POST,0,2,5,0,0,0,0,0,4,7
15,LAC,Justin Jackson,JackJu01,2019-01-13,2018,19,POST,0,1,4,0,4,3,22,0,13,12
16,LAC,Justin Jackson,JackJu01,2019-09-08,2019,1,REG,0,6,57,0,3,1,4,0,16,6
17,LAC,Justin Jackson,JackJu01,2019-09-15,2019,2,REG,0,7,59,0,1,1,5,0,17,3
18,LAC,Justin Jackson,JackJu01,2019-09-22,2019,3,REG,0,5,26,0,4,4,4,0,28,4
0,LAC,Justin Jackson,JackJu01,2019-09-29,2019,4,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2019-10-06,2019,5,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2019-10-13,2019,6,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2019-10-20,2019,7,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2019-10-27,2019,8,DNP,0,0,0,0,0,0,0,0,0,0
19,LAC,Justin Jackson,JackJu01,2019-11-03,2019,9,REG,0,2,7,0,1,1,7,0,5,4
0,LAC,Justin Jackson,JackJu01,2019-11-07,2019,10,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2019-11-18,2019,11,DNP,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,1970-01-01,2019,12,BYE,0,0,0,0,0,0,0,0,0,0
0,LAC,Justin Jackson,JackJu01,2019-12-01,2019,13,DNP,0,0,0,0,0,0,0,0,0,0
20,LAC,Justin Jackson,JackJu01,2019-12-08,2019,14,REG,0,3,25,0,0,0,0,0,12,15
21,LAC,Justin Jackson,JackJu01,2019-12-15,2019,15,REG,0,5,15,0,2,2,2,0,13,13
0,LAC,Justin Jackson,JackJu01,2019-12-22,2019,16,DNP,0,0,0,0,0,0,0,0,0,0
