CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DEN,Juwan Thompson,ThomJu01,2014-09-07,2014,1,REG,0,0,0,0,0,0,0,0,1,11
2,DEN,Juwan Thompson,ThomJu01,2014-09-14,2014,2,REG,0,0,0,0,0,0,0,0,0,6
3,DEN,Juwan Thompson,ThomJu01,2014-09-21,2014,3,REG,0,0,0,0,0,0,0,0,1,14
0,DEN,Juwan Thompson,ThomJu01,,2014,4,BYE,0,0,0,0,0,0,0,0,0,0
4,DEN,Juwan Thompson,ThomJu01,2014-10-05,2014,5,REG,0,3,15,1,0,0,0,0,8,5
5,DEN,Juwan Thompson,ThomJu01,2014-10-12,2014,6,REG,0,8,38,0,1,1,0,0,17,0
6,DEN,Juwan Thompson,ThomJu01,2014-10-19,2014,7,REG,0,6,30,0,0,0,0,0,14,7
7,DEN,Juwan Thompson,ThomJu01,2014-10-23,2014,8,REG,0,7,24,2,1,0,0,0,12,6
8,DEN,Juwan Thompson,ThomJu01,2014-11-02,2014,9,REG,0,2,6,0,1,1,6,0,11,19
9,DEN,Juwan Thompson,ThomJu01,2014-11-09,2014,10,REG,0,4,8,0,0,0,0,0,10,20
10,DEN,Juwan Thompson,ThomJu01,2014-11-16,2014,11,REG,0,0,0,0,1,1,5,0,2,13
11,DEN,Juwan Thompson,ThomJu01,2014-11-23,2014,12,REG,0,5,33,0,0,0,0,0,8,6
12,DEN,Juwan Thompson,ThomJu01,2014-11-30,2014,13,REG,0,10,39,0,0,0,0,0,12,4
13,DEN,Juwan Thompson,ThomJu01,2014-12-07,2014,14,REG,0,4,63,0,2,1,14,0,14,7
14,DEN,Juwan Thompson,ThomJu01,2014-12-14,2014,15,REG,0,4,14,0,0,0,0,0,8,6
15,DEN,Juwan Thompson,ThomJu01,2014-12-22,2014,16,REG,0,1,2,0,1,0,0,0,5,0
0,DEN,Juwan Thompson,ThomJu01,2014-12-28,2014,17,DNP,0,0,0,0,0,0,0,0,0,0
16,DEN,Juwan Thompson,ThomJu01,2015-09-13,2015,1,REG,0,0,0,0,0,0,0,0,0,21
17,DEN,Juwan Thompson,ThomJu01,2015-09-17,2015,2,REG,0,0,0,0,0,0,0,0,0,22
18,DEN,Juwan Thompson,ThomJu01,2015-09-27,2015,3,REG,0,3,11,0,0,0,0,0,5,5
19,DEN,Juwan Thompson,ThomJu01,2015-10-04,2015,4,REG,0,0,0,0,0,0,0,0,0,17
20,DEN,Juwan Thompson,ThomJu01,2015-10-11,2015,5,REG,0,0,0,0,1,1,16,0,2,9
0,DEN,Juwan Thompson,ThomJu01,2015-10-18,2015,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,,2015,7,BYE,0,0,0,0,0,0,0,0,0,0
21,DEN,Juwan Thompson,ThomJu01,2015-11-01,2015,8,REG,0,1,-1,0,0,0,0,0,2,7
22,DEN,Juwan Thompson,ThomJu01,2015-11-08,2015,9,REG,0,0,0,0,0,0,0,0,0,12
23,DEN,Juwan Thompson,ThomJu01,2015-11-15,2015,10,REG,0,0,0,0,1,0,0,0,9,15
24,DEN,Juwan Thompson,ThomJu01,2015-11-22,2015,11,REG,0,0,0,0,0,0,0,0,0,13
25,DEN,Juwan Thompson,ThomJu01,2015-11-29,2015,12,REG,0,1,3,0,0,0,0,0,2,23
26,DEN,Juwan Thompson,ThomJu01,2015-12-06,2015,13,REG,0,8,27,0,1,1,14,0,17,10
27,DEN,Juwan Thompson,ThomJu01,2015-12-13,2015,14,REG,0,5,8,0,6,4,21,0,26,4
28,DEN,Juwan Thompson,ThomJu01,2015-12-20,2015,15,REG,0,0,0,0,0,0,0,0,0,19
29,DEN,Juwan Thompson,ThomJu01,2015-12-28,2015,16,REG,1,0,0,0,0,0,0,0,3,17
30,DEN,Juwan Thompson,ThomJu01,2016-01-03,2015,17,REG,0,0,0,0,0,0,0,0,0,20
0,DEN,Juwan Thompson,ThomJu01,2016-09-08,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,2016-09-18,2016,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,2016-09-25,2016,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,2016-10-02,2016,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,2016-10-09,2016,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,2016-10-13,2016,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,2016-10-24,2016,7,DNP,0,0,0,0,0,0,0,0,0,0
31,DEN,Juwan Thompson,ThomJu01,2016-10-30,2016,8,REG,0,1,1,1,0,0,0,0,1,15
32,DEN,Juwan Thompson,ThomJu01,2016-11-06,2016,9,REG,0,0,0,0,0,0,0,0,0,9
0,DEN,Juwan Thompson,ThomJu01,2016-11-13,2016,10,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Juwan Thompson,ThomJu01,,2016,11,BYE,0,0,0,0,0,0,0,0,0,0
33,DEN,Juwan Thompson,ThomJu01,2016-11-27,2016,12,REG,0,0,0,0,0,0,0,0,0,13
34,DEN,Juwan Thompson,ThomJu01,2016-12-04,2016,13,REG,0,2,5,0,0,0,0,0,7,23
35,DEN,Juwan Thompson,ThomJu01,2016-12-11,2016,14,REG,0,0,0,0,0,0,0,0,0,15
36,DEN,Juwan Thompson,ThomJu01,2016-12-18,2016,15,REG,0,0,0,0,0,0,0,0,0,11
37,DEN,Juwan Thompson,ThomJu01,2016-12-25,2016,16,REG,1,3,19,0,1,0,0,0,13,13
38,DEN,Juwan Thompson,ThomJu01,2017-01-01,2016,17,REG,0,2,1,0,0,0,0,0,16,8
