CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CHI,KaDeem Carey,CareKa00,2014-09-07,2014,1,REG,0,1,4,0,0,0,0,0,4,0
2,CHI,KaDeem Carey,CareKa00,2014-09-14,2014,2,REG,0,0,0,0,0,0,0,0,0,5
3,CHI,KaDeem Carey,CareKa00,2014-09-22,2014,3,REG,0,1,0,0,0,0,0,0,2,0
4,CHI,KaDeem Carey,CareKa00,2014-09-28,2014,4,REG,0,14,72,0,0,0,0,0,21,0
5,CHI,KaDeem Carey,CareKa00,2014-10-05,2014,5,REG,0,2,2,0,0,0,0,0,12,0
6,CHI,KaDeem Carey,CareKa00,2014-10-12,2014,6,REG,0,4,19,0,0,0,0,0,7,0
7,CHI,KaDeem Carey,CareKa00,2014-10-19,2014,7,REG,0,0,0,0,0,0,0,0,1,0
8,CHI,KaDeem Carey,CareKa00,2014-10-26,2014,8,REG,0,6,33,0,0,0,0,0,13,1
0,CHI,KaDeem Carey,CareKa00,,2014,9,BYE,0,0,0,0,0,0,0,0,0,0
9,CHI,KaDeem Carey,CareKa00,2014-11-09,2014,10,REG,0,2,13,0,1,1,11,0,10,3
10,CHI,KaDeem Carey,CareKa00,2014-11-16,2014,11,REG,0,0,0,0,0,0,0,0,4,0
11,CHI,KaDeem Carey,CareKa00,2014-11-23,2014,12,REG,0,3,3,0,1,0,0,0,8,0
12,CHI,KaDeem Carey,CareKa00,2014-11-27,2014,13,REG,0,2,8,0,1,1,7,0,10,0
13,CHI,KaDeem Carey,CareKa00,2014-12-04,2014,14,REG,0,0,0,0,0,0,0,0,1,0
14,CHI,KaDeem Carey,CareKa00,2014-12-15,2014,15,REG,0,1,4,0,3,3,39,0,6,0
0,CHI,KaDeem Carey,CareKa00,2014-12-21,2014,16,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,KaDeem Carey,CareKa00,2014-12-28,2014,17,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,KaDeem Carey,CareKa00,2015-09-13,2015,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,KaDeem Carey,CareKa00,2015-09-20,2015,2,DNP,0,0,0,0,0,0,0,0,0,0
15,CHI,KaDeem Carey,CareKa00,2015-09-27,2015,3,REG,0,0,0,0,0,0,0,0,0,6
0,CHI,KaDeem Carey,CareKa00,2015-10-04,2015,4,DNP,0,0,0,0,0,0,0,0,0,0
16,CHI,KaDeem Carey,CareKa00,2015-10-11,2015,5,REG,0,0,0,0,0,0,0,0,0,4
17,CHI,KaDeem Carey,CareKa00,2015-10-18,2015,6,REG,0,0,0,0,0,0,0,0,0,6
0,CHI,KaDeem Carey,CareKa00,,2015,7,BYE,0,0,0,0,0,0,0,0,0,0
0,CHI,KaDeem Carey,CareKa00,2015-11-01,2015,8,DNP,0,0,0,0,0,0,0,0,0,0
18,CHI,KaDeem Carey,CareKa00,2015-11-09,2015,9,REG,1,7,28,0,0,0,0,0,16,5
19,CHI,KaDeem Carey,CareKa00,2015-11-15,2015,10,REG,0,14,56,0,0,0,0,0,22,4
20,CHI,KaDeem Carey,CareKa00,2015-11-22,2015,11,REG,0,9,32,0,0,0,0,0,13,2
0,CHI,KaDeem Carey,CareKa00,2015-11-26,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
21,CHI,KaDeem Carey,CareKa00,2015-12-06,2015,13,REG,0,5,17,1,0,0,0,0,6,4
22,CHI,KaDeem Carey,CareKa00,2015-12-13,2015,14,REG,0,0,0,0,0,0,0,0,0,5
23,CHI,KaDeem Carey,CareKa00,2015-12-20,2015,15,REG,0,0,0,0,2,2,18,0,6,6
24,CHI,KaDeem Carey,CareKa00,2015-12-27,2015,16,REG,0,7,16,1,1,1,1,1,10,10
25,CHI,KaDeem Carey,CareKa00,2016-01-03,2015,17,REG,0,1,10,0,0,0,0,0,4,12
26,CHI,KaDeem Carey,CareKa00,2016-09-11,2016,1,REG,0,1,4,0,0,0,0,0,2,19
27,CHI,KaDeem Carey,CareKa00,2016-09-19,2016,2,REG,0,2,3,0,1,1,3,0,10,4
0,CHI,KaDeem Carey,CareKa00,2016-09-25,2016,3,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,KaDeem Carey,CareKa00,2016-10-02,2016,4,DNP,0,0,0,0,0,0,0,0,0,0
28,CHI,KaDeem Carey,CareKa00,2016-10-09,2016,5,REG,0,1,2,0,1,1,15,0,2,0
29,CHI,KaDeem Carey,CareKa00,2016-10-16,2016,6,REG,0,9,50,0,1,0,0,0,25,6
30,CHI,KaDeem Carey,CareKa00,2016-10-20,2016,7,REG,0,10,48,0,1,1,9,0,26,5
31,CHI,KaDeem Carey,CareKa00,2016-10-31,2016,8,REG,0,2,3,0,0,0,0,0,6,0
0,CHI,KaDeem Carey,CareKa00,,2016,9,BYE,0,0,0,0,0,0,0,0,0,0
32,CHI,KaDeem Carey,CareKa00,2016-11-13,2016,10,REG,0,2,-1,0,1,1,16,0,8,12
33,CHI,KaDeem Carey,CareKa00,2016-11-20,2016,11,REG,0,0,0,0,0,0,0,0,0,17
34,CHI,KaDeem Carey,CareKa00,2016-11-27,2016,12,REG,0,1,6,0,1,1,12,0,4,10
35,CHI,KaDeem Carey,CareKa00,2016-12-04,2016,13,REG,0,2,8,0,1,0,0,0,6,17
36,CHI,KaDeem Carey,CareKa00,2016-12-11,2016,14,REG,0,1,2,0,0,0,0,0,2,14
37,CHI,KaDeem Carey,CareKa00,2016-12-18,2016,15,REG,0,1,1,0,0,0,0,0,7,6
0,CHI,KaDeem Carey,CareKa00,2016-12-24,2016,16,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,KaDeem Carey,CareKa00,2017-01-01,2016,17,DNP,0,0,0,0,0,0,0,0,0,0
