CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,STL,KayJay Harris,HarrKa00,2006-09-10,2006,1,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-09-17,2006,2,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-09-24,2006,3,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-10-01,2006,4,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-10-08,2006,5,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-10-15,2006,6,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,1970-01-01,2006,7,BYE,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-10-29,2006,8,DNP,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-11-05,2006,9,DNP,0,0,0,0,0,0,0,0,0,0
1,STL,KayJay Harris,HarrKa00,2006-11-12,2006,10,REG,0,0,0,0,0,0,0,0,0,0
2,STL,KayJay Harris,HarrKa00,2006-11-19,2006,11,REG,0,0,0,0,0,0,0,0,0,0
3,STL,KayJay Harris,HarrKa00,2006-11-26,2006,12,REG,0,0,0,0,0,0,0,0,0,0
0,STL,KayJay Harris,HarrKa00,2006-12-03,2006,13,DNP,0,0,0,0,0,0,0,0,0,0
4,STL,KayJay Harris,HarrKa00,2006-12-11,2006,14,REG,0,0,0,0,1,1,10,0,0,0
5,STL,KayJay Harris,HarrKa00,2006-12-17,2006,15,REG,0,0,0,0,0,0,0,0,0,0
6,STL,KayJay Harris,HarrKa00,2006-12-24,2006,16,REG,0,0,0,0,0,0,0,0,0,0
7,STL,KayJay Harris,HarrKa00,2006-12-31,2006,17,REG,0,3,9,0,0,0,0,0,0,0
