CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,BAL,Keaton Mitchell,MitcKe01,2023-09-10,2023,1,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2023-09-17,2023,2,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2023-09-24,2023,3,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2023-10-01,2023,4,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2023-10-08,2023,5,DNP,0,0,0,0,0,0,0,0,0,0
1,BAL,Keaton Mitchell,MitcKe01,2023-10-15,2023,6,REG,0,0,0,0,0,0,0,0,0,17
2,BAL,Keaton Mitchell,MitcKe01,2023-10-22,2023,7,REG,0,0,0,0,1,1,9,0,2,10
0,BAL,Keaton Mitchell,MitcKe01,2023-10-29,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
3,BAL,Keaton Mitchell,MitcKe01,2023-11-05,2023,9,REG,0,9,138,1,1,1,-4,0,14,13
4,BAL,Keaton Mitchell,MitcKe01,2023-11-12,2023,10,REG,0,3,34,1,2,1,32,0,13,7
5,BAL,Keaton Mitchell,MitcKe01,2023-11-16,2023,11,REG,0,8,33,0,1,1,8,0,24,5
6,BAL,Keaton Mitchell,MitcKe01,2023-11-26,2023,12,REG,1,9,64,0,2,2,25,0,33,2
0,BAL,Keaton Mitchell,MitcKe01,1970-01-01,2023,13,BYE,0,0,0,0,0,0,0,0,0,0
7,BAL,Keaton Mitchell,MitcKe01,2023-12-10,2023,14,REG,0,9,54,0,2,1,8,0,24,6
8,BAL,Keaton Mitchell,MitcKe01,2023-12-17,2023,15,REG,1,9,73,0,2,2,15,0,25,3
0,BAL,Keaton Mitchell,MitcKe01,2023-12-25,2023,16,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2023-12-31,2023,17,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-01-06,2023,18,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-09-05,2024,1,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-09-15,2024,2,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-09-22,2024,3,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-09-29,2024,4,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-10-06,2024,5,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-10-13,2024,6,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-10-21,2024,7,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-10-27,2024,8,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-11-03,2024,9,DNP,0,0,0,0,0,0,0,0,0,0
9,BAL,Keaton Mitchell,MitcKe01,2024-11-07,2024,10,REG,0,0,0,0,0,0,0,0,2,7
10,BAL,Keaton Mitchell,MitcKe01,2024-11-17,2024,11,REG,0,0,0,0,0,0,0,0,2,7
11,BAL,Keaton Mitchell,MitcKe01,2024-11-25,2024,12,REG,0,0,0,0,0,0,0,0,0,7
0,BAL,Keaton Mitchell,MitcKe01,2024-12-01,2024,13,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,1970-01-01,2024,14,BYE,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-12-15,2024,15,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Keaton Mitchell,MitcKe01,2024-12-21,2024,16,DNP,0,0,0,0,0,0,0,0,0,0
12,BAL,Keaton Mitchell,MitcKe01,2024-12-25,2024,17,REG,0,11,20,0,1,1,28,0,17,1
13,BAL,Keaton Mitchell,MitcKe01,2025-01-04,2024,18,REG,0,4,10,0,0,0,0,0,15,3
14,BAL,Keaton Mitchell,MitcKe01,2025-01-11,2024,19,POST,0,0,0,0,0,0,0,0,0,11
15,BAL,Keaton Mitchell,MitcKe01,2025-01-19,2024,20,POST,0,0,0,0,0,0,0,0,0,10
