CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PHI,Keith Byars,ByarKe00,1986-09-07,1986,1,REG,0,2,2,0,1,1,4,0,0,0
2,PHI,Keith Byars,ByarKe00,1986-09-14,1986,2,REG,1,19,32,0,2,1,2,0,0,0
3,PHI,Keith Byars,ByarKe00,1986-09-21,1986,3,REG,1,8,21,0,3,1,3,0,0,0
4,PHI,Keith Byars,ByarKe00,1986-09-28,1986,4,REG,1,17,78,0,1,1,6,0,0,0
5,PHI,Keith Byars,ByarKe00,1986-10-05,1986,5,REG,1,18,54,0,0,0,0,0,0,0
6,PHI,Keith Byars,ByarKe00,1986-10-12,1986,6,REG,1,11,27,0,0,0,0,0,0,0
7,PHI,Keith Byars,ByarKe00,1986-10-19,1986,7,REG,0,3,22,0,0,0,0,0,0,0
8,PHI,Keith Byars,ByarKe00,1986-10-26,1986,8,REG,0,10,0,1,1,0,0,0,0,0
9,PHI,Keith Byars,ByarKe00,1986-11-02,1986,9,REG,0,8,27,0,1,1,4,0,0,0
10,PHI,Keith Byars,ByarKe00,1986-11-09,1986,10,REG,0,1,8,0,1,0,0,0,0,0
11,PHI,Keith Byars,ByarKe00,1986-11-16,1986,11,REG,1,16,57,0,5,3,1,0,0,0
12,PHI,Keith Byars,ByarKe00,1986-11-23,1986,12,REG,1,6,14,0,0,0,0,0,0,0
13,PHI,Keith Byars,ByarKe00,1986-11-30,1986,13,REG,0,4,10,0,2,2,17,0,0,0
14,PHI,Keith Byars,ByarKe00,1986-12-07,1986,14,REG,0,24,127,0,0,0,0,0,0,0
15,PHI,Keith Byars,ByarKe00,1986-12-14,1986,15,REG,1,14,41,0,1,0,0,0,0,0
16,PHI,Keith Byars,ByarKe00,1986-12-21,1986,16,REG,0,16,57,0,2,1,7,0,0,0
17,PHI,Keith Byars,ByarKe00,1987-09-20,1987,2,REG,0,2,4,0,1,1,10,0,0,0
18,PHI,Keith Byars,ByarKe00,1987-10-25,1987,7,REG,1,20,94,1,1,0,0,0,0,0
19,PHI,Keith Byars,ByarKe00,1987-11-01,1987,8,REG,1,8,17,1,3,3,14,0,0,0
20,PHI,Keith Byars,ByarKe00,1987-11-08,1987,9,REG,1,12,26,0,2,1,12,0,0,0
21,PHI,Keith Byars,ByarKe00,1987-11-15,1987,10,REG,1,14,61,0,2,2,17,1,0,0
22,PHI,Keith Byars,ByarKe00,1987-11-22,1987,11,REG,1,7,4,0,3,1,21,0,0,0
23,PHI,Keith Byars,ByarKe00,1987-12-06,1987,13,REG,0,0,0,0,1,1,7,0,0,0
24,PHI,Keith Byars,ByarKe00,1987-12-13,1987,14,REG,1,14,67,0,7,7,41,0,0,0
25,PHI,Keith Byars,ByarKe00,1987-12-20,1987,15,REG,1,16,51,1,5,3,18,0,0,0
26,PHI,Keith Byars,ByarKe00,1987-12-27,1987,16,REG,1,23,102,0,2,2,37,0,0,0
27,PHI,Keith Byars,ByarKe00,1988-09-04,1988,1,REG,1,9,5,0,2,1,24,0,0,0
28,PHI,Keith Byars,ByarKe00,1988-09-11,1988,2,REG,1,13,52,0,5,5,50,0,0,0
29,PHI,Keith Byars,ByarKe00,1988-09-18,1988,3,REG,1,7,29,0,10,4,60,0,0,0
30,PHI,Keith Byars,ByarKe00,1988-09-25,1988,4,REG,1,12,21,1,3,2,14,0,0,0
31,PHI,Keith Byars,ByarKe00,1988-10-02,1988,5,REG,1,18,82,0,5,4,32,0,0,0
32,PHI,Keith Byars,ByarKe00,1988-10-10,1988,6,REG,1,7,13,0,13,9,77,1,0,0
33,PHI,Keith Byars,ByarKe00,1988-10-16,1988,7,REG,1,5,12,0,11,7,50,0,0,0
34,PHI,Keith Byars,ByarKe00,1988-10-23,1988,8,REG,1,4,9,0,7,5,50,1,0,0
35,PHI,Keith Byars,ByarKe00,1988-10-30,1988,9,REG,1,8,23,1,10,5,34,0,0,0
36,PHI,Keith Byars,ByarKe00,1988-11-06,1988,10,REG,1,8,24,0,10,5,68,1,0,0
37,PHI,Keith Byars,ByarKe00,1988-11-13,1988,11,REG,1,12,17,1,5,2,12,0,0,0
38,PHI,Keith Byars,ByarKe00,1988-11-20,1988,12,REG,1,8,16,0,11,7,82,0,0,0
39,PHI,Keith Byars,ByarKe00,1988-11-27,1988,13,REG,1,9,42,1,3,3,29,0,0,0
40,PHI,Keith Byars,ByarKe00,1988-12-04,1988,14,REG,1,12,65,1,6,6,62,1,0,0
41,PHI,Keith Byars,ByarKe00,1988-12-10,1988,15,REG,1,12,86,1,8,5,54,0,0,0
42,PHI,Keith Byars,ByarKe00,1988-12-18,1988,16,REG,1,8,21,0,3,2,7,0,0,0
43,PHI,Keith Byars,ByarKe00,1988-12-31,1988,18,POST,1,7,34,0,14,9,103,0,0,0
44,PHI,Keith Byars,ByarKe00,1989-09-10,1989,1,REG,1,4,8,0,5,1,16,0,0,0
45,PHI,Keith Byars,ByarKe00,1989-09-17,1989,2,REG,1,4,8,0,11,8,130,0,0,0
46,PHI,Keith Byars,ByarKe00,1989-09-24,1989,3,REG,1,6,7,0,5,3,29,0,0,0
47,PHI,Keith Byars,ByarKe00,1989-10-02,1989,4,REG,1,1,1,0,15,10,87,0,0,0
48,PHI,Keith Byars,ByarKe00,1989-10-08,1989,5,REG,1,11,41,0,6,3,16,0,0,0
49,PHI,Keith Byars,ByarKe00,1989-10-15,1989,6,REG,0,1,6,0,2,1,25,0,0,0
50,PHI,Keith Byars,ByarKe00,1989-10-22,1989,7,REG,1,7,16,0,3,2,15,0,0,0
