CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,SDG,Kenneth Farrow,FarrKe02,2016-09-11,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
1,SDG,Kenneth Farrow,FarrKe02,2016-09-18,2016,2,REG,0,4,13,0,1,0,0,0,13,0
2,SDG,Kenneth Farrow,FarrKe02,2016-09-25,2016,3,REG,0,0,0,0,0,0,0,0,0,2
3,SDG,Kenneth Farrow,FarrKe02,2016-10-02,2016,4,REG,0,0,0,0,0,0,0,0,0,2
0,SDG,Kenneth Farrow,FarrKe02,2016-10-09,2016,5,DNP,0,0,0,0,0,0,0,0,0,0
4,SDG,Kenneth Farrow,FarrKe02,2016-10-13,2016,6,REG,0,2,5,0,0,0,0,0,2,0
5,SDG,Kenneth Farrow,FarrKe02,2016-10-23,2016,7,REG,0,2,13,0,0,0,0,0,2,0
6,SDG,Kenneth Farrow,FarrKe02,2016-10-30,2016,8,REG,0,3,12,0,0,0,0,0,8,4
7,SDG,Kenneth Farrow,FarrKe02,2016-11-06,2016,9,REG,0,4,15,0,2,1,4,0,15,1
8,SDG,Kenneth Farrow,FarrKe02,2016-11-13,2016,10,REG,0,0,0,0,0,0,0,0,5,0
0,SDG,Kenneth Farrow,FarrKe02,1970-01-01,2016,11,BYE,0,0,0,0,0,0,0,0,0,0
9,SDG,Kenneth Farrow,FarrKe02,2016-11-27,2016,12,REG,0,1,-3,0,0,0,0,0,5,3
10,SDG,Kenneth Farrow,FarrKe02,2016-12-04,2016,13,REG,0,4,15,0,0,0,0,0,6,9
11,SDG,Kenneth Farrow,FarrKe02,2016-12-11,2016,14,REG,0,16,55,0,6,6,23,0,55,2
12,SDG,Kenneth Farrow,FarrKe02,2016-12-18,2016,15,REG,1,15,39,0,3,2,14,0,41,0
13,SDG,Kenneth Farrow,FarrKe02,2016-12-24,2016,16,REG,1,9,28,0,4,4,29,0,37,0
0,SDG,Kenneth Farrow,FarrKe02,2017-01-01,2016,17,DNP,0,0,0,0,0,0,0,0,0,0
