CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,SEA,Kenny McIntosh,McInKe00,2023-09-10,2023,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-09-17,2023,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-09-24,2023,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-10-02,2023,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,1970-01-01,2023,5,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-10-15,2023,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-10-22,2023,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-10-29,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-11-05,2023,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-11-12,2023,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-11-19,2023,11,DNP,0,0,0,0,0,0,0,0,0,0
1,SEA,Kenny McIntosh,McInKe00,2023-11-23,2023,12,REG,0,0,0,0,0,0,0,0,0,3
2,SEA,Kenny McIntosh,McInKe00,2023-11-30,2023,13,REG,0,0,0,0,0,0,0,0,0,5
3,SEA,Kenny McIntosh,McInKe00,2023-12-10,2023,14,REG,0,0,0,0,0,0,0,0,0,5
0,SEA,Kenny McIntosh,McInKe00,2023-12-18,2023,15,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-12-24,2023,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2023-12-31,2023,17,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Kenny McIntosh,McInKe00,2024-01-07,2023,18,DNP,0,0,0,0,0,0,0,0,0,0
4,SEA,Kenny McIntosh,McInKe00,2024-09-08,2024,1,REG,0,0,0,0,0,0,0,0,0,5
5,SEA,Kenny McIntosh,McInKe00,2024-09-15,2024,2,REG,0,0,0,0,0,0,0,0,2,5
6,SEA,Kenny McIntosh,McInKe00,2024-09-22,2024,3,REG,0,3,11,0,0,0,0,0,10,10
7,SEA,Kenny McIntosh,McInKe00,2024-09-30,2024,4,REG,0,0,0,0,0,0,0,0,0,16
8,SEA,Kenny McIntosh,McInKe00,2024-10-06,2024,5,REG,0,0,0,0,0,0,0,0,0,9
9,SEA,Kenny McIntosh,McInKe00,2024-10-10,2024,6,REG,0,0,0,0,0,0,0,0,0,16
10,SEA,Kenny McIntosh,McInKe00,2024-10-20,2024,7,REG,0,1,5,0,0,0,0,0,1,11
11,SEA,Kenny McIntosh,McInKe00,2024-10-27,2024,8,REG,0,0,0,0,0,0,0,0,0,13
12,SEA,Kenny McIntosh,McInKe00,2024-11-03,2024,9,REG,0,0,0,0,0,0,0,0,0,9
0,SEA,Kenny McIntosh,McInKe00,1970-01-01,2024,10,BYE,0,0,0,0,0,0,0,0,0,0
13,SEA,Kenny McIntosh,McInKe00,2024-11-17,2024,11,REG,0,0,0,0,0,0,0,0,0,8
14,SEA,Kenny McIntosh,McInKe00,2024-11-24,2024,12,REG,0,0,0,0,0,0,0,0,0,8
15,SEA,Kenny McIntosh,McInKe00,2024-12-01,2024,13,REG,0,0,0,0,0,0,0,0,0,13
16,SEA,Kenny McIntosh,McInKe00,2024-12-08,2024,14,REG,0,7,38,0,2,2,7,0,15,5
17,SEA,Kenny McIntosh,McInKe00,2024-12-15,2024,15,REG,0,3,9,0,0,0,0,0,9,12
18,SEA,Kenny McIntosh,McInKe00,2024-12-22,2024,16,REG,0,3,14,0,1,1,15,0,12,15
19,SEA,Kenny McIntosh,McInKe00,2024-12-26,2024,17,REG,0,7,46,0,0,0,0,0,13,8
20,SEA,Kenny McIntosh,McInKe00,2025-01-05,2024,18,REG,0,7,49,0,1,0,0,0,13,10
