CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NWE,Kyle Eckel,EckeKy00,2007-09-09,2007,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Kyle Eckel,EckeKy00,2007-09-16,2007,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NWE,Kyle Eckel,EckeKy00,2007-09-23,2007,3,DNP,0,0,0,0,0,0,0,0,0,0
1,NWE,Kyle Eckel,EckeKy00,2007-10-01,2007,4,REG,0,3,11,0,0,0,0,0,0,0
2,NWE,Kyle Eckel,EckeKy00,2007-10-07,2007,5,REG,0,6,16,0,0,0,0,0,0,0
3,NWE,Kyle Eckel,EckeKy00,2007-10-14,2007,6,REG,0,4,9,1,0,0,0,0,0,0
4,NWE,Kyle Eckel,EckeKy00,2007-10-21,2007,7,REG,0,6,12,0,0,0,0,0,0,0
5,NWE,Kyle Eckel,EckeKy00,2007-10-28,2007,8,REG,0,4,2,0,0,0,0,0,0,0
6,NWE,Kyle Eckel,EckeKy00,2007-11-04,2007,9,REG,0,0,0,0,0,0,0,0,0,0
0,NWE,Kyle Eckel,EckeKy00,1970-01-01,2007,10,BYE,0,0,0,0,0,0,0,0,0,0
7,NWE,Kyle Eckel,EckeKy00,2007-11-18,2007,11,REG,0,10,40,1,1,1,6,0,0,0
8,NWE,Kyle Eckel,EckeKy00,2007-11-25,2007,12,REG,0,0,0,0,0,0,0,0,0,0
9,NWE,Kyle Eckel,EckeKy00,2007-12-03,2007,13,REG,0,0,0,0,0,0,0,0,0,0
10,NWE,Kyle Eckel,EckeKy00,2007-12-09,2007,14,REG,0,0,0,0,0,0,0,0,0,0
11,NWE,Kyle Eckel,EckeKy00,2007-12-16,2007,15,REG,0,0,0,0,0,0,0,0,0,0
12,NWE,Kyle Eckel,EckeKy00,2007-12-23,2007,16,REG,0,0,0,0,0,0,0,0,0,0
0,NWE,Kyle Eckel,EckeKy00,2007-12-29,2007,17,DNP,0,0,0,0,0,0,0,0,0,0
13,NWE,Kyle Eckel,EckeKy00,2008-01-20,2007,20,POST,0,0,0,0,0,0,0,0,0,0
14,NWE,Kyle Eckel,EckeKy00,2008-02-03,2007,21,POST,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-09-07,2008,1,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-09-15,2008,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-09-21,2008,3,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-09-28,2008,4,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-10-05,2008,5,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-10-12,2008,6,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,1970-01-01,2008,7,BYE,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-10-26,2008,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-11-02,2008,9,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-11-09,2008,10,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-11-16,2008,11,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Kyle Eckel,EckeKy00,2008-11-23,2008,12,DNP,0,0,0,0,0,0,0,0,0,0
15,PHI,Kyle Eckel,EckeKy00,2008-11-27,2008,13,REG,0,6,27,0,0,0,0,0,0,0
16,PHI,Kyle Eckel,EckeKy00,2008-12-07,2008,14,REG,0,1,2,0,0,0,0,0,0,0
17,PHI,Kyle Eckel,EckeKy00,2008-12-15,2008,15,REG,0,9,28,0,0,0,0,0,0,0
18,PHI,Kyle Eckel,EckeKy00,2008-12-21,2008,16,REG,0,0,0,0,0,0,0,0,0,0
19,PHI,Kyle Eckel,EckeKy00,2008-12-28,2008,17,REG,0,8,22,0,0,0,0,0,0,0
20,PHI,Kyle Eckel,EckeKy00,2009-01-04,2008,18,POST,0,0,0,0,0,0,0,0,0,0
21,PHI,Kyle Eckel,EckeKy00,2009-01-11,2008,19,POST,0,0,0,0,0,0,0,0,0,0
22,PHI,Kyle Eckel,EckeKy00,2009-01-18,2008,20,POST,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-09-13,2009,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-09-20,2009,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-09-27,2009,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-10-04,2009,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,1970-01-01,2009,5,BYE,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-10-18,2009,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-10-25,2009,7,DNP,0,0,0,0,0,0,0,0,0,0
23,NOR,Kyle Eckel,EckeKy00,2009-11-02,2009,8,REG,0,0,0,0,0,0,0,0,0,0
24,NOR,Kyle Eckel,EckeKy00,2009-11-08,2009,9,REG,0,0,0,0,0,0,0,0,0,0
25,NOR,Kyle Eckel,EckeKy00,2009-11-15,2009,10,REG,1,2,6,0,0,0,0,0,0,0
26,NOR,Kyle Eckel,EckeKy00,2009-11-22,2009,11,REG,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-11-30,2009,12,DNP,0,0,0,0,0,0,0,0,0,0
27,NOR,Kyle Eckel,EckeKy00,2009-12-06,2009,13,REG,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-12-13,2009,14,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Kyle Eckel,EckeKy00,2009-12-19,2009,15,DNP,0,0,0,0,0,0,0,0,0,0
28,NOR,Kyle Eckel,EckeKy00,2009-12-27,2009,16,REG,0,0,0,0,1,1,8,0,0,0
29,NOR,Kyle Eckel,EckeKy00,2010-01-03,2009,17,REG,1,0,0,0,2,1,6,0,0,0
30,NOR,Kyle Eckel,EckeKy00,2010-01-16,2009,19,POST,0,0,0,0,0,0,0,0,0,0
31,NOR,Kyle Eckel,EckeKy00,2010-01-24,2009,20,POST,0,0,0,0,0,0,0,0,0,0
32,NOR,Kyle Eckel,EckeKy00,2010-02-07,2009,21,POST,0,0,0,0,0,0,0,0,0,0
