CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,ARI,LaRod StephensHowling,StepLa00,2009-09-13,2009,1,REG,1,0,0,0,0,0,0,0,0,0
2,ARI,LaRod StephensHowling,StepLa00,2009-09-20,2009,2,REG,0,1,2,0,2,2,14,0,0,0
3,ARI,LaRod StephensHowling,StepLa00,2009-09-27,2009,3,REG,0,0,0,0,1,1,8,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,,2009,4,BYE,0,0,0,0,0,0,0,0,0,0
4,ARI,LaRod StephensHowling,StepLa00,2009-10-11,2009,5,REG,0,0,0,0,2,0,0,0,0,0
5,ARI,LaRod StephensHowling,StepLa00,2009-10-18,2009,6,REG,0,0,0,0,1,0,0,0,0,0
6,ARI,LaRod StephensHowling,StepLa00,2009-10-25,2009,7,REG,0,1,-1,0,0,0,0,0,0,0
7,ARI,LaRod StephensHowling,StepLa00,2009-11-01,2009,8,REG,0,0,0,0,2,1,14,1,0,0
8,ARI,LaRod StephensHowling,StepLa00,2009-11-08,2009,9,REG,0,1,5,0,0,0,0,0,0,0
9,ARI,LaRod StephensHowling,StepLa00,2009-11-15,2009,10,REG,0,0,0,0,2,2,22,0,0,0
10,ARI,LaRod StephensHowling,StepLa00,2009-11-22,2009,11,REG,0,0,0,0,0,0,0,0,0,0
11,ARI,LaRod StephensHowling,StepLa00,2009-11-29,2009,12,REG,0,0,0,0,0,0,0,0,0,0
12,ARI,LaRod StephensHowling,StepLa00,2009-12-06,2009,13,REG,0,0,0,0,2,1,2,0,0,0
13,ARI,LaRod StephensHowling,StepLa00,2009-12-14,2009,14,REG,0,1,3,0,4,3,23,0,0,0
14,ARI,LaRod StephensHowling,StepLa00,2009-12-20,2009,15,REG,1,0,0,0,1,0,0,0,0,0
15,ARI,LaRod StephensHowling,StepLa00,2009-12-27,2009,16,REG,0,1,3,0,1,0,0,0,0,0
16,ARI,LaRod StephensHowling,StepLa00,2010-01-03,2009,17,REG,0,1,3,0,0,0,0,0,0,0
17,ARI,LaRod StephensHowling,StepLa00,2010-01-10,2009,18,POST,0,1,18,0,4,3,19,0,0,0
18,ARI,LaRod StephensHowling,StepLa00,2010-01-16,2009,19,POST,0,2,4,0,0,0,0,0,0,0
19,ARI,LaRod StephensHowling,StepLa00,2010-09-12,2010,1,REG,0,7,49,0,4,3,16,0,0,0
20,ARI,LaRod StephensHowling,StepLa00,2010-09-19,2010,2,REG,0,0,0,0,4,3,25,0,0,0
21,ARI,LaRod StephensHowling,StepLa00,2010-09-26,2010,3,REG,0,0,0,0,0,0,0,0,0,0
22,ARI,LaRod StephensHowling,StepLa00,2010-10-03,2010,4,REG,0,2,4,0,0,0,0,0,0,0
23,ARI,LaRod StephensHowling,StepLa00,2010-10-10,2010,5,REG,0,0,0,0,1,1,8,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,,2010,6,BYE,0,0,0,0,0,0,0,0,0,0
24,ARI,LaRod StephensHowling,StepLa00,2010-10-24,2010,7,REG,1,0,0,0,1,1,13,0,0,0
25,ARI,LaRod StephensHowling,StepLa00,2010-10-31,2010,8,REG,0,4,41,1,2,0,0,0,0,0
26,ARI,LaRod StephensHowling,StepLa00,2010-11-07,2010,9,REG,0,4,0,0,2,1,9,0,0,0
27,ARI,LaRod StephensHowling,StepLa00,2010-11-14,2010,10,REG,0,0,0,0,3,2,14,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,2010-11-21,2010,11,DNP,0,0,0,0,0,0,0,0,0,0
28,ARI,LaRod StephensHowling,StepLa00,2010-11-29,2010,12,REG,0,0,0,0,2,2,13,0,0,0
29,ARI,LaRod StephensHowling,StepLa00,2010-12-05,2010,13,REG,0,1,0,0,0,0,0,0,0,0
30,ARI,LaRod StephensHowling,StepLa00,2010-12-12,2010,14,REG,0,4,13,0,2,2,11,0,0,0
31,ARI,LaRod StephensHowling,StepLa00,2010-12-19,2010,15,REG,1,1,6,0,2,1,2,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,2010-12-25,2010,16,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,2011-01-02,2010,17,DNP,0,0,0,0,0,0,0,0,0,0
32,ARI,LaRod StephensHowling,StepLa00,2011-09-11,2011,1,REG,0,3,10,0,1,1,2,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,2011-09-18,2011,2,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,2011-09-25,2011,3,DNP,0,0,0,0,0,0,0,0,0,0
33,ARI,LaRod StephensHowling,StepLa00,2011-10-02,2011,4,REG,0,1,1,0,1,1,9,0,0,0
34,ARI,LaRod StephensHowling,StepLa00,2011-10-09,2011,5,REG,0,1,5,0,0,0,0,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,,2011,6,BYE,0,0,0,0,0,0,0,0,0,0
35,ARI,LaRod StephensHowling,StepLa00,2011-10-23,2011,7,REG,0,0,0,0,3,2,76,1,0,0
36,ARI,LaRod StephensHowling,StepLa00,2011-10-30,2011,8,REG,0,5,17,0,1,0,0,0,0,0
37,ARI,LaRod StephensHowling,StepLa00,2011-11-06,2011,9,REG,0,1,4,0,1,0,0,0,0,0
38,ARI,LaRod StephensHowling,StepLa00,2011-11-13,2011,10,REG,0,1,-1,0,2,2,39,0,0,0
39,ARI,LaRod StephensHowling,StepLa00,2011-11-20,2011,11,REG,0,1,4,0,0,0,0,0,0,0
40,ARI,LaRod StephensHowling,StepLa00,2011-11-27,2011,12,REG,0,2,9,0,1,1,14,0,0,0
41,ARI,LaRod StephensHowling,StepLa00,2011-12-04,2011,13,REG,0,2,16,0,2,1,52,1,0,0
42,ARI,LaRod StephensHowling,StepLa00,2011-12-11,2011,14,REG,0,2,3,0,2,2,22,0,0,0
43,ARI,LaRod StephensHowling,StepLa00,2011-12-18,2011,15,REG,0,3,6,0,2,2,18,0,0,0
44,ARI,LaRod StephensHowling,StepLa00,2011-12-24,2011,16,REG,0,0,0,0,1,1,2,0,0,0
45,ARI,LaRod StephensHowling,StepLa00,2012-01-01,2011,17,REG,1,21,93,0,0,0,0,0,0,0
46,ARI,LaRod StephensHowling,StepLa00,2012-09-09,2012,1,REG,0,2,4,1,1,1,4,0,20,5
47,ARI,LaRod StephensHowling,StepLa00,2012-09-16,2012,2,REG,0,2,11,0,2,1,10,0,13,6
48,ARI,LaRod StephensHowling,StepLa00,2012-09-23,2012,3,REG,0,8,-14,0,0,0,0,0,21,3
0,ARI,LaRod StephensHowling,StepLa00,2012-09-30,2012,4,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,LaRod StephensHowling,StepLa00,2012-10-04,2012,5,DNP,0,0,0,0,0,0,0,0,0,0
49,ARI,LaRod StephensHowling,StepLa00,2012-10-14,2012,6,REG,1,11,22,0,2,0,0,0,39,0
50,ARI,LaRod StephensHowling,StepLa00,2012-10-21,2012,7,REG,1,20,104,1,5,4,45,0,54,0
51,ARI,LaRod StephensHowling,StepLa00,2012-10-29,2012,8,REG,1,8,6,0,4,3,32,0,29,0
52,ARI,LaRod StephensHowling,StepLa00,2012-11-04,2012,9,REG,1,17,51,1,4,2,8,0,51,0
0,ARI,LaRod StephensHowling,StepLa00,,2012,10,BYE,0,0,0,0,0,0,0,0,0,0
53,ARI,LaRod StephensHowling,StepLa00,2012-11-18,2012,11,REG,1,22,127,1,4,2,6,0,46,0
54,ARI,LaRod StephensHowling,StepLa00,2012-11-25,2012,12,REG,0,1,1,0,1,0,0,0,6,0
55,ARI,LaRod StephensHowling,StepLa00,2012-12-02,2012,13,REG,0,1,1,0,3,1,-1,0,10,0
56,ARI,LaRod StephensHowling,StepLa00,2012-12-09,2012,14,REG,0,2,5,0,1,1,2,0,8,7
57,ARI,LaRod StephensHowling,StepLa00,2012-12-16,2012,15,REG,0,5,20,0,1,1,3,0,8,4
58,ARI,LaRod StephensHowling,StepLa00,2012-12-23,2012,16,REG,0,10,19,0,2,1,-3,0,29,5
59,ARI,LaRod StephensHowling,StepLa00,2012-12-30,2012,17,REG,0,1,-1,0,0,0,0,0,4,6
60,PIT,LaRod StephensHowling,StepLa00,2013-09-08,2013,1,REG,0,6,19,0,3,2,11,0,15,4
0,PIT,LaRod StephensHowling,StepLa00,2013-09-16,2013,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-09-22,2013,3,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-09-29,2013,4,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,,2013,5,BYE,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-10-13,2013,6,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-10-20,2013,7,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-10-27,2013,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-11-03,2013,9,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-11-10,2013,10,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-11-17,2013,11,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-11-24,2013,12,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-11-28,2013,13,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-12-08,2013,14,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-12-15,2013,15,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-12-22,2013,16,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,LaRod StephensHowling,StepLa00,2013-12-29,2013,17,DNP,0,0,0,0,0,0,0,0,0,0
