CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PIT,Leroy Thompson,ThomLe00,1991-09-01,1991,1,REG,0,0,0,0,0,0,0,0,0,0
0,PIT,Leroy Thompson,ThomLe00,1991-09-08,1991,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Leroy Thompson,ThomLe00,1991-09-15,1991,3,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Leroy Thompson,ThomLe00,1991-09-22,1991,4,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Leroy Thompson,ThomLe00,,1991,5,BYE,0,0,0,0,0,0,0,0,0,0
2,PIT,Leroy Thompson,ThomLe00,1991-10-06,1991,6,REG,0,2,12,0,1,1,6,0,0,0
3,PIT,Leroy Thompson,ThomLe00,1991-10-14,1991,7,REG,0,0,0,0,2,1,9,0,0,0
4,PIT,Leroy Thompson,ThomLe00,1991-10-20,1991,8,REG,0,1,14,0,2,2,8,0,0,0
5,PIT,Leroy Thompson,ThomLe00,1991-10-27,1991,9,REG,0,0,0,0,0,0,0,0,0,0
6,PIT,Leroy Thompson,ThomLe00,1991-11-03,1991,10,REG,0,3,3,0,3,0,0,0,0,0
7,PIT,Leroy Thompson,ThomLe00,1991-11-10,1991,11,REG,0,0,0,0,3,2,19,0,0,0
8,PIT,Leroy Thompson,ThomLe00,1991-11-17,1991,12,REG,0,1,4,0,3,2,9,0,0,0
9,PIT,Leroy Thompson,ThomLe00,1991-11-24,1991,13,REG,0,1,-1,0,1,0,0,0,0,0
10,PIT,Leroy Thompson,ThomLe00,1991-11-28,1991,14,REG,0,0,0,0,0,0,0,0,0,0
11,PIT,Leroy Thompson,ThomLe00,1991-12-08,1991,15,REG,0,10,23,0,7,6,67,0,0,0
12,PIT,Leroy Thompson,ThomLe00,1991-12-15,1991,16,REG,0,1,1,0,1,0,0,0,0,0
13,PIT,Leroy Thompson,ThomLe00,1991-12-22,1991,17,REG,0,1,4,0,1,0,0,0,0,0
0,PIT,Leroy Thompson,ThomLe00,1992-09-06,1992,1,DNP,0,0,0,0,0,0,0,0,0,0
14,PIT,Leroy Thompson,ThomLe00,1992-09-13,1992,2,REG,0,1,1,0,2,0,0,0,0,0
15,PIT,Leroy Thompson,ThomLe00,1992-09-20,1992,3,REG,0,0,0,0,1,1,7,0,0,0
16,PIT,Leroy Thompson,ThomLe00,1992-09-27,1992,4,REG,0,1,0,0,0,0,0,0,0,0
0,PIT,Leroy Thompson,ThomLe00,,1992,5,BYE,0,0,0,0,0,0,0,0,0,0
17,PIT,Leroy Thompson,ThomLe00,1992-10-11,1992,6,REG,1,0,0,0,0,0,0,0,0,0
18,PIT,Leroy Thompson,ThomLe00,1992-10-19,1992,7,REG,0,8,33,0,3,2,25,0,0,0
19,PIT,Leroy Thompson,ThomLe00,1992-10-25,1992,8,REG,1,6,32,0,4,4,47,0,0,0
20,PIT,Leroy Thompson,ThomLe00,1992-11-01,1992,9,REG,0,1,-4,0,2,1,20,0,0,0
21,PIT,Leroy Thompson,ThomLe00,1992-11-08,1992,10,REG,0,2,8,0,2,1,8,0,0,0
22,PIT,Leroy Thompson,ThomLe00,1992-11-15,1992,11,REG,0,1,13,0,1,1,15,0,0,0
23,PIT,Leroy Thompson,ThomLe00,1992-11-22,1992,12,REG,0,8,52,1,2,2,16,0,0,0
24,PIT,Leroy Thompson,ThomLe00,1992-11-29,1992,13,REG,0,2,-7,0,0,0,0,0,0,0
25,PIT,Leroy Thompson,ThomLe00,1992-12-06,1992,14,REG,0,0,0,0,3,3,41,0,0,0
26,PIT,Leroy Thompson,ThomLe00,1992-12-13,1992,15,REG,0,1,0,0,4,2,10,0,0,0
27,PIT,Leroy Thompson,ThomLe00,1992-12-20,1992,16,REG,0,3,30,0,3,3,56,0,0,0
28,PIT,Leroy Thompson,ThomLe00,1992-12-27,1992,17,REG,0,1,-1,0,2,2,33,0,0,0
29,PIT,Leroy Thompson,ThomLe00,1993-01-09,1992,19,POST,0,1,3,0,0,0,0,0,0,0
30,PIT,Leroy Thompson,ThomLe00,1993-09-05,1993,1,REG,0,1,2,0,3,3,44,0,0,0
31,PIT,Leroy Thompson,ThomLe00,1993-09-12,1993,2,REG,0,0,0,0,2,1,6,0,0,0
32,PIT,Leroy Thompson,ThomLe00,1993-09-19,1993,3,REG,0,8,41,0,4,3,3,0,0,0
33,PIT,Leroy Thompson,ThomLe00,1993-09-27,1993,4,REG,0,7,24,0,2,2,14,0,0,0
0,PIT,Leroy Thompson,ThomLe00,,1993,5,BYE,0,0,0,0,0,0,0,0,0,0
34,PIT,Leroy Thompson,ThomLe00,1993-10-10,1993,6,REG,0,8,22,0,1,1,1,0,0,0
35,PIT,Leroy Thompson,ThomLe00,1993-10-17,1993,7,REG,0,16,101,0,4,4,23,0,0,0
0,PIT,Leroy Thompson,ThomLe00,1993-10-24,1993,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Leroy Thompson,ThomLe00,,1993,9,BYE,0,0,0,0,0,0,0,0,0,0
36,PIT,Leroy Thompson,ThomLe00,1993-11-07,1993,10,REG,0,2,18,0,1,0,0,0,0,0
37,PIT,Leroy Thompson,ThomLe00,1993-11-15,1993,11,REG,0,30,108,1,3,2,16,0,0,0
38,PIT,Leroy Thompson,ThomLe00,1993-11-21,1993,12,REG,1,17,77,0,2,2,5,0,0,0
39,PIT,Leroy Thompson,ThomLe00,1993-11-28,1993,13,REG,0,15,31,0,1,1,0,0,0,0
