CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,BAL,Lorenzo Taliaferro,TaliLo00,2014-09-07,2014,1,REG,0,0,0,0,1,0,0,0,3,15
2,BAL,Lorenzo Taliaferro,TaliLo00,2014-09-11,2014,2,REG,0,0,0,0,0,0,0,0,0,12
3,BAL,Lorenzo Taliaferro,TaliLo00,2014-09-21,2014,3,REG,0,18,91,1,0,0,0,0,29,9
4,BAL,Lorenzo Taliaferro,TaliLo00,2014-09-28,2014,4,REG,0,15,58,1,0,0,0,0,22,4
5,BAL,Lorenzo Taliaferro,TaliLo00,2014-10-05,2014,5,REG,0,5,18,0,0,0,0,0,9,10
6,BAL,Lorenzo Taliaferro,TaliLo00,2014-10-12,2014,6,REG,0,2,29,0,2,2,18,0,10,15
7,BAL,Lorenzo Taliaferro,TaliLo00,2014-10-19,2014,7,REG,0,4,3,0,0,0,0,0,4,11
8,BAL,Lorenzo Taliaferro,TaliLo00,2014-10-26,2014,8,REG,0,7,27,2,3,2,42,0,17,11
9,BAL,Lorenzo Taliaferro,TaliLo00,2014-11-02,2014,9,REG,0,7,21,0,3,3,34,0,16,11
10,BAL,Lorenzo Taliaferro,TaliLo00,2014-11-09,2014,10,REG,0,3,10,0,0,0,0,0,3,15
0,BAL,Lorenzo Taliaferro,TaliLo00,,2014,11,BYE,0,0,0,0,0,0,0,0,0,0
11,BAL,Lorenzo Taliaferro,TaliLo00,2014-11-24,2014,12,REG,0,0,0,0,0,0,0,0,3,17
12,BAL,Lorenzo Taliaferro,TaliLo00,2014-11-30,2014,13,REG,0,0,0,0,0,0,0,0,3,18
13,BAL,Lorenzo Taliaferro,TaliLo00,2014-12-07,2014,14,REG,0,7,35,0,1,1,20,0,15,15
0,BAL,Lorenzo Taliaferro,TaliLo00,2014-12-14,2014,15,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2014-12-21,2014,16,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2014-12-28,2014,17,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-09-13,2015,1,DNP,0,0,0,0,0,0,0,0,0,0
14,BAL,Lorenzo Taliaferro,TaliLo00,2015-09-20,2015,2,REG,0,7,34,1,3,3,12,0,34,10
15,BAL,Lorenzo Taliaferro,TaliLo00,2015-09-27,2015,3,REG,0,3,0,0,1,1,6,0,7,5
16,BAL,Lorenzo Taliaferro,TaliLo00,2015-10-01,2015,4,REG,0,3,13,0,1,1,11,0,11,6
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-10-11,2015,5,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-10-18,2015,6,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-10-26,2015,7,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-11-01,2015,8,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,,2015,9,BYE,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-11-15,2015,10,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-11-22,2015,11,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-11-30,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-12-06,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-12-20,2015,15,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2015-12-27,2015,16,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2016-01-03,2015,17,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Lorenzo Taliaferro,TaliLo00,2016-09-11,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
