CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,MIA,Lynn Bowden,BowdLy00,2020-09-13,2020,1,DNP,0,0,0,0,0,0,0,0,0,0
1,MIA,Lynn Bowden,BowdLy00,2020-09-20,2020,2,REG,0,0,0,0,1,1,-1,0,4,0
0,MIA,Lynn Bowden,BowdLy00,2020-09-24,2020,3,DNP,0,0,0,0,0,0,0,0,0,0
2,MIA,Lynn Bowden,BowdLy00,2020-10-04,2020,4,REG,0,1,5,0,0,0,0,0,4,0
3,MIA,Lynn Bowden,BowdLy00,2020-10-11,2020,5,REG,1,3,4,0,0,0,0,0,10,0
4,MIA,Lynn Bowden,BowdLy00,2020-10-18,2020,6,REG,0,0,0,0,0,0,0,0,5,0
0,MIA,Lynn Bowden,BowdLy00,1970-01-01,2020,7,BYE,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2020-11-01,2020,8,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2020-11-08,2020,9,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2020-11-15,2020,10,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2020-11-22,2020,11,DNP,0,0,0,0,0,0,0,0,0,0
5,MIA,Lynn Bowden,BowdLy00,2020-11-29,2020,12,REG,0,0,0,0,1,0,0,0,22,0
6,MIA,Lynn Bowden,BowdLy00,2020-12-06,2020,13,REG,0,1,11,0,4,4,41,0,31,0
7,MIA,Lynn Bowden,BowdLy00,2020-12-13,2020,14,REG,0,1,2,0,9,7,82,0,59,0
8,MIA,Lynn Bowden,BowdLy00,2020-12-20,2020,15,REG,1,1,9,0,7,6,37,0,65,0
9,MIA,Lynn Bowden,BowdLy00,2020-12-26,2020,16,REG,1,1,8,0,3,2,8,0,58,0
10,MIA,Lynn Bowden,BowdLy00,2021-01-03,2020,17,REG,1,1,-7,0,12,8,44,0,78,0
0,MIA,Lynn Bowden,BowdLy00,2021-09-12,2021,1,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2021-09-19,2021,2,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2021-09-26,2021,3,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2021-10-03,2021,4,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2021-10-10,2021,5,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2021-10-17,2021,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2021-10-24,2021,7,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Lynn Bowden,BowdLy00,2021-10-31,2021,8,DNP,0,0,0,0,0,0,0,0,0,0
